# Marine coldspell statistics for individual detected events at Eastern_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1984, 1, 8, 1984, 1, 15, 1984, 1, 15, 8, -5.904, -3.602, -28.81, 0.981, 0.3807, 0.2011, -3.032, -0.7702, -6.161, 0.9765, 13.0, 15.38, 123.0, 0.9922, -2.056, -1.272
2, 1984, 2, 26, 1984, 2, 26, 1984, 3, 2, 6, -4.358, -3.196, -19.18, 0.6864, 3.995, 0.03217, -2.0, -0.8801, -5.281, 0.677, 14.0, 15.17, 91.0, 0.6872, -1.848, -1.379
3, 1984, 4, 2, 1984, 4, 2, 1984, 4, 6, 5, -4.335, -3.696, -18.48, 0.5071, 2.988, 0.0165, -1.858, -1.135, -5.677, 0.5416, 14.0, 14.6, 73.0, 0.4899, -1.75, -1.447
4, 1984, 6, 24, 1984, 6, 24, 1984, 6, 28, 5, -2.298, -2.258, -11.29, 0.02693, 1.978, 0.003246, -0.6731, -0.6365, -3.182, 0.02158, 15.0, 15.0, 75.0, 0.0, -1.414, -1.392
5, 1984, 11, 12, 1984, 11, 13, 1984, 11, 18, 7, -3.83, -2.891, -20.24, 0.6986, 0.6952, 0.00724, -2.0, -1.014, -7.097, 0.7378, 14.0, 15.0, 105.0, 0.7559, -2.093, -1.549
6, 1985, 12, 1, 1985, 12, 5, 1985, 12, 5, 5, -2.653, -2.596, -12.98, 0.04228, 0.1416, 0.000695, -0.6129, -0.5484, -2.742, 0.04562, 16.0, 16.0, 80.0, 0.0, -1.3, -1.268
7, 1986, 12, 20, 1986, 12, 23, 1986, 12, 25, 6, -5.009, -4.008, -24.05, 0.8194, 0.8613, 0.002285, -2.774, -1.79, -10.74, 0.7916, 14.0, 15.0, 90.0, 0.8165, -2.241, -1.804
8, 1988, 2, 10, 1988, 2, 13, 1988, 2, 15, 6, -4.535, -3.538, -21.23, 0.5719, 1.137, 0.002009, -2.155, -1.155, -6.929, 0.5774, 14.0, 15.0, 90.0, 0.5774, -1.905, -1.485
9, 1988, 3, 5, 1988, 3, 10, 1988, 3, 11, 7, -3.383, -2.539, -17.77, 0.3448, 0.2699, 0.001317, -1.213, -0.3558, -2.49, 0.3499, 15.0, 15.86, 111.0, 0.3499, -1.559, -1.163
10, 1988, 7, 1, 1988, 7, 1, 1988, 7, 5, 5, -2.177, -2.149, -10.74, 0.01985, 0.9842, 0.0003409, -0.6167, -0.6167, -3.083, 7.109e-16, 15.0, 15.0, 75.0, 0.0, -1.395, -1.403
11, 1988, 8, 21, 1988, 8, 25, 1988, 8, 25, 5, -1.157, -1.136, -5.681, 0.01488, 0.1216, 0.0002921, -0.02581, -0.01871, -0.09355, 0.008006, 16.0, 16.0, 80.0, 0.0, -1.023, -1.017
12, 1989, 1, 30, 1989, 2, 2, 1989, 2, 3, 5, -5.567, -3.99, -19.95, 1.209, 1.12, 0.002159, -3.155, -1.555, -7.774, 1.2, 13.0, 14.6, 73.0, 1.2, -2.308, -1.637
13, 1989, 6, 25, 1989, 6, 25, 1989, 6, 29, 5, -2.277, -2.241, -11.2, 0.02426, 0.9787, 0.0002872, -0.6478, -0.6252, -3.126, 0.01216, 15.0, 15.0, 75.0, 0.0, -1.398, -1.387
14, 1990, 4, 22, 1990, 4, 22, 1990, 4, 26, 5, -3.089, -3.061, -15.31, 0.02033, 0.9889, 0.0004617, -0.4194, -0.4194, -2.097, 1.421e-15, 15.0, 15.0, 75.0, 0.0, -1.157, -1.159
15, 1990, 8, 23, 1990, 8, 26, 1990, 8, 28, 6, -4.167, -3.162, -18.97, 0.8082, 0.7248, 0.001225, -3.026, -2.025, -12.15, 0.8158, 13.0, 14.0, 84.0, 0.8165, -3.65, -2.786
16, 1990, 9, 12, 1990, 9, 17, 1990, 9, 17, 6, -1.327, -1.313, -7.877, 0.01033, 0.2787, 0.0002033, -0.02581, -0.02581, -0.1548, 3.553e-15, 16.0, 16.0, 96.0, 0.0, -1.02, -1.02
17, 1991, 3, 26, 1991, 3, 30, 1991, 4, 1, 7, -3.356, -3.352, -23.46, 0.003573, 0.2247, 0.0001948, -1.052, -1.075, -7.526, 0.08678, 15.0, 15.0, 105.0, 0.0, -1.456, -1.474
18, 1991, 5, 3, 1991, 5, 5, 1991, 5, 7, 5, -3.948, -3.149, -15.74, 0.3993, 0.5985, 0.0005575, -1.677, -0.8774, -4.387, 0.4026, 14.0, 14.8, 74.0, 0.4, -1.739, -1.387
19, 1991, 5, 17, 1991, 5, 17, 1991, 5, 22, 6, -3.951, -3.432, -20.59, 0.5125, 1.995, 0.0005728, -2.0, -1.5, -9.0, 0.5, 14.0, 14.5, 87.0, 0.5, -2.025, -1.775
