# Marine coldspell statistics for individual detected events at Knysna
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1995, 4, 11, 1995, 4, 14, 1995, 5, 2, 22, -5.439, -3.947, -86.84, 0.8587, 0.4304, 0.07577, -1.996, -0.8755, -19.26, 0.6523, 10.85, 12.23, 269.2, 0.7947, -1.58, -1.278
2, 1995, 6, 1, 1995, 6, 3, 1995, 6, 9, 9, -3.043, -2.231, -20.08, 0.3708, 0.4767, 0.0179, -1.37, -0.5507, -4.956, 0.3788, 12.86, 13.6, 122.4, 0.3076, -1.819, -1.329
3, 1995, 6, 13, 1995, 6, 14, 1995, 6, 17, 5, -2.009, -1.865, -9.326, 0.1028, 0.2404, 0.003986, -0.3209, -0.1896, -0.948, 0.09794, 13.49, 13.6, 68.0, 0.1074, -1.19, -1.113
4, 1995, 12, 8, 1995, 12, 13, 1995, 12, 27, 20, -8.177, -5.611, -112.2, 1.507, 1.229, 0.01882, -5.302, -2.704, -54.09, 1.491, 11.31, 14.09, 281.7, 1.509, -2.845, -1.928
5, 1996, 1, 17, 1996, 1, 22, 1996, 1, 23, 7, -8.555, -6.367, -44.57, 1.307, 0.957, 0.0135, -4.764, -2.608, -18.26, 1.294, 11.93, 14.08, 98.57, 1.285, -2.257, -1.693
6, 1996, 2, 27, 1996, 3, 6, 1996, 3, 18, 21, -7.884, -5.672, -119.1, 1.321, 0.6025, 0.01004, -3.705, -1.504, -31.59, 1.257, 11.2, 13.27, 278.6, 1.242, -1.886, -1.358
7, 1996, 4, 2, 1996, 4, 4, 1996, 4, 6, 5, -6.308, -5.695, -28.47, 0.6306, 0.7682, 0.006468, -2.715, -2.103, -10.51, 0.6306, 10.72, 11.33, 56.67, 0.5807, -1.755, -1.585
8, 1996, 4, 17, 1996, 4, 23, 1996, 4, 26, 10, -5.317, -4.246, -42.46, 0.7757, 0.3593, 0.006868, -2.285, -1.144, -11.44, 0.7859, 10.77, 11.87, 118.7, 0.7901, -1.754, -1.371
9, 1996, 5, 14, 1996, 5, 17, 1996, 5, 19, 6, -2.18, -1.959, -11.75, 0.1556, 0.1521, 0.001385, -0.5269, -0.2804, -1.683, 0.1756, 14.16, 14.38, 86.29, 0.1533, -1.319, -1.169
10, 1996, 6, 1, 1996, 6, 11, 1996, 6, 26, 26, -2.202, -1.929, -50.16, 0.1869, 0.03777, 0.002396, -0.5085, -0.3062, -7.962, 0.1611, 13.4, 13.62, 354.1, 0.2114, -1.3, -1.189
