# Annual average marine coldspell statistics at Hamburg
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 12, 13.33, -5.007, -3.37, -45.33, 160.0, -543.9, 1.037, 0.7115, 0.02294, -3.172, -1.562, -21.02, 1.016, 16.63, 18.28, 243.2, 1.037, -2.781, -1.867, 19.64, 24.47, 14.76
1983, 10, 10.3, -4.544, -3.194, -32.38, 103.0, -323.8, 0.8381, 0.9213, 0.005292, -2.617, -1.256, -13.01, 0.8461, 17.65, 19.0, 198.5, 0.8479, -2.387, -1.637, 20.76, 26.05, 15.24
1984, 8, 17.62, -4.766, -3.088, -59.44, 141.0, -475.5, 0.9277, 0.7673, 0.003427, -3.032, -1.348, -24.37, 0.9148, 16.65, 18.3, 331.5, 0.903, -2.776, -1.796, 20.01, 25.23, 15.03
1985, 1, 7.0, -2.063, -1.833, -12.83, 7.0, -12.83, 0.1855, 0.226, 0.0004853, -0.5275, -0.3084, -2.159, 0.1815, 18.79, 18.99, 132.9, 0.1823, -1.344, -1.202, 21.57, 25.56, 18.33
1986, 1, 5.0, -2.298, -2.103, -10.52, 5.0, -10.52, 0.1898, 0.1904, 0.0002413, -0.777, -0.5813, -2.907, 0.1918, 17.69, 17.86, 89.31, 0.1622, -1.511, -1.382, 21.75, 25.49, 17.69
1987, 1, 5.0, -2.542, -2.363, -11.82, 5.0, -11.82, 0.1609, 0.3963, 0.0003602, -0.6821, -0.4928, -2.464, 0.1721, 19.44, 19.64, 98.21, 0.1886, -1.367, -1.264, 21.7, 25.61, 18.47
1988, 1, 5.0, -1.581, -1.397, -6.984, 5.0, -6.984, 0.09846, 0.3308, 0.0001416, -0.2572, -0.08559, -0.4279, 0.0913, 18.58, 18.72, 93.62, 0.0771, -1.194, -1.065, 21.98, 25.24, 18.41
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.99, 25.8, 18.07
1990, 2, 7.0, -2.595, -2.133, -15.45, 14.0, -30.91, 0.3582, 0.4467, 0.000376, -1.161, -0.6869, -5.298, 0.366, 17.11, 17.59, 122.6, 0.3693, -1.809, -1.475, 21.74, 26.24, 16.75
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.18, 26.29, 18.22
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.08, 25.83, 17.95
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.3, 25.65, 18.04
1994, 1, 5.0, -2.029, -1.727, -8.635, 5.0, -8.635, 0.2094, 0.3893, 0.0001447, -0.6155, -0.313, -1.565, 0.2105, 17.64, 17.93, 89.67, 0.2032, -1.436, -1.222, 21.72, 25.77, 17.64
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.71, 25.58, 16.52
1996, 1, 5.0, -2.771, -2.456, -12.28, 5.0, -12.28, 0.2619, 0.3468, 0.0001816, -0.8416, -0.5254, -2.627, 0.2625, 20.52, 20.84, 104.2, 0.2655, -1.436, -1.272, 21.9, 25.96, 17.83
1997, 1, 7.0, -3.076, -2.662, -18.64, 7.0, -18.64, 0.4087, 0.2364, 0.0001748, -1.173, -0.76, -5.32, 0.4092, 19.79, 20.28, 142.0, 0.4801, -1.616, -1.4, 21.89, 25.87, 17.92
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.14, 25.43, 18.51
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.73, 26.64, 18.62
2000, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.64, 26.94, 18.28
2001, 1, 6.0, -2.89, -2.4, -14.4, 6.0, -14.4, 0.5652, 0.9377, 0.0001274, -1.559, -1.07, -6.422, 0.577, 17.29, 17.77, 106.6, 0.5905, -2.172, -1.809, 22.01, 25.75, 17.29
2002, 1, 5.0, -2.868, -2.337, -11.68, 5.0, -11.68, 0.3673, 0.4375, 0.000198, -1.009, -0.4888, -2.444, 0.355, 18.89, 19.39, 96.94, 0.3272, -1.543, -1.263, 21.92, 26.01, 18.57
2003, 2, 9.5, -2.183, -1.848, -18.13, 19.0, -36.26, 0.2103, 0.1867, 8.595e-05, -0.7171, -0.4075, -4.808, 0.1924, 17.67, 18.03, 170.4, 0.2233, -1.498, -1.29, 21.79, 26.62, 17.29
2004, 1, 5.0, -1.718, -1.542, -7.71, 5.0, -7.71, 0.1459, 0.1088, 4.855e-05, -0.4373, -0.2585, -1.292, 0.1468, 18.29, 18.48, 92.42, 0.1524, -1.342, -1.201, 21.85, 25.5, 18.29
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.79, 26.34, 17.85
2006, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.47, 26.22, 18.36
