# Annual average marine coldspell statistics at Hout_Bay
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 8, 16.38, -2.907, -2.2, -36.27, 131.0, -290.2, 0.4542, 0.2744, 0.01115, -1.511, -0.818, -15.06, 0.4502, 12.77, 13.42, 218.5, 0.4583, -2.153, -1.628, 14.92, 19.87, 12.29
1983, 7, 12.0, -2.509, -1.919, -25.09, 84.0, -175.6, 0.3404, 0.1766, 0.002113, -1.187, -0.599, -8.753, 0.3422, 13.23, 13.75, 163.1, 0.3202, -1.925, -1.487, 15.19, 19.81, 12.25
1984, 7, 7.286, -2.867, -2.441, -17.66, 51.0, -123.6, 0.3672, 0.3982, 0.00128, -1.149, -0.7207, -5.296, 0.3686, 13.95, 14.37, 105.6, 0.3716, -1.689, -1.432, 15.65, 19.23, 12.9
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.36, 19.4, 13.47
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.93, 19.81, 15.04
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.73, 20.46, 14.18
1988, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.13, 20.11, 13.9
1989, 2, 7.0, -1.917, -1.607, -11.25, 14.0, -22.5, 0.2049, 0.1768, 0.0002764, -0.6871, -0.359, -2.513, 0.2017, 13.58, 13.91, 97.38, 0.2019, -1.577, -1.302, 16.11, 19.74, 13.15
1990, 2, 12.5, -1.719, -1.391, -18.33, 25.0, -36.66, 0.2153, 0.1738, 0.0002113, -0.7665, -0.412, -5.763, 0.2311, 13.37, 13.7, 170.5, 0.2187, -1.784, -1.42, 15.73, 18.7, 12.95
1991, 3, 10.0, -1.732, -1.418, -14.57, 30.0, -43.7, 0.1905, 0.2031, 0.0001754, -0.6938, -0.3666, -4.189, 0.1998, 13.34, 13.65, 135.3, 0.1895, -1.672, -1.35, 16.39, 19.52, 12.64
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.0, 22.3, 13.71
1993, 1, 9.0, -1.774, -1.486, -13.38, 9.0, -13.38, 0.213, 0.1312, 0.0001807, -0.6075, -0.3397, -3.058, 0.1882, 13.39, 13.67, 123.1, 0.2054, -1.521, -1.294, 16.7, 21.28, 13.39
1994, 1, 5.0, -1.451, -1.231, -6.156, 5.0, -6.156, 0.1531, 0.1963, 0.0001205, -0.5363, -0.3162, -1.581, 0.1525, 13.57, 13.79, 68.95, 0.1544, -1.586, -1.345, 16.36, 18.92, 13.57
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.63, 20.73, 14.19
1996, 1, 16.0, -1.435, -1.207, -19.31, 16.0, -19.31, 0.1383, 0.1299, 5.16e-05, -0.3667, -0.1197, -1.916, 0.1424, 13.57, 13.75, 220.0, 0.1364, -1.343, -1.111, 15.66, 19.33, 13.5
1997, 2, 27.0, -1.723, -1.432, -41.51, 54.0, -83.02, 0.1523, 0.1958, 0.0001198, -0.6065, -0.3306, -11.34, 0.1476, 13.32, 13.55, 365.9, 0.1667, -1.538, -1.299, 16.06, 20.4, 13.08
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.7, 20.51, 14.0
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.61, 19.77, 13.59
2000, 1, 5.0, -1.684, -1.489, -7.444, 5.0, -7.444, 0.1444, 0.2097, 6.484e-05, -0.3368, -0.1582, -0.7912, 0.1347, 14.09, 14.27, 71.33, 0.1328, -1.25, -1.118, 16.48, 20.5, 14.09
2001, 1, 6.0, -2.935, -2.431, -14.58, 6.0, -14.58, 0.3271, 0.2024, 0.0001076, -1.164, -0.6355, -3.813, 0.3406, 12.89, 13.39, 80.35, 0.326, -1.658, -1.356, 16.45, 20.25, 12.89
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.46, 21.24, 14.07
