# Annual average marine coldspell statistics at Humewood
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 11, 17.09, -2.762, -2.084, -38.61, 188.0, -424.7, 0.3399, 0.2641, 0.008312, -1.35, -0.6792, -13.89, 0.3336, 16.21, 16.91, 284.2, 0.3438, -1.963, -1.491, 17.73, 22.36, 14.78
1983, 6, 8.333, -2.392, -1.941, -15.43, 50.0, -92.57, 0.2638, 0.4106, 0.001876, -1.033, -0.5775, -4.553, 0.2662, 16.5, 16.95, 139.0, 0.2676, -1.777, -1.43, 18.79, 22.52, 15.5
1984, 9, 17.78, -2.957, -2.148, -41.6, 160.0, -374.4, 0.4331, 0.6137, 0.001701, -1.567, -0.7628, -15.14, 0.4406, 15.91, 16.76, 300.7, 0.4648, -2.134, -1.572, 17.85, 22.55, 14.5
1985, 1, 5.0, -2.163, -1.882, -9.41, 5.0, -9.41, 0.2057, 0.1696, 0.0006297, -0.62, -0.3298, -1.649, 0.2111, 17.67, 17.92, 89.58, 0.1912, -1.402, -1.213, 19.38, 22.67, 16.76
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.53, 23.04, 16.71
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.36, 23.31, 16.62
1988, 1, 17.0, -3.195, -2.515, -42.75, 17.0, -42.75, 0.4303, 0.8078, 0.000441, -1.522, -0.7812, -13.28, 0.4368, 17.81, 18.34, 311.7, 0.4703, -1.91, -1.452, 19.57, 22.82, 16.71
1989, 1, 5.0, -2.047, -1.888, -9.439, 5.0, -9.439, 0.1351, 0.2383, 0.0001926, -0.3879, -0.2449, -1.224, 0.1234, 18.98, 19.17, 95.87, 0.1639, -1.234, -1.149, 19.36, 22.39, 17.0
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.39, 23.77, 16.02
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.89, 23.55, 16.95
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.21, 23.56, 16.61
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.98, 23.3, 15.34
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.69, 24.16, 16.67
1995, 1, 5.0, -1.684, -1.525, -7.625, 5.0, -7.625, 0.1261, 0.09779, 7.602e-05, -0.5363, -0.3587, -1.793, 0.1353, 16.12, 16.28, 81.41, 0.1281, -1.467, -1.308, 19.5, 23.31, 15.89
1996, 1, 6.0, -1.65, -1.304, -7.824, 6.0, -7.824, 0.1834, 0.2508, 0.0001065, -0.6013, -0.2659, -1.595, 0.1764, 16.25, 16.59, 99.53, 0.1782, -1.574, -1.255, 18.94, 22.7, 16.25
1997, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.29, 23.27, 16.63
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.81, 22.97, 16.19
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.76, 24.22, 16.93
2000, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.01, 24.04, 16.99
2001, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.38, 23.44, 16.77
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.42, 22.74, 16.84
2003, 1, 17.0, -1.666, -1.336, -22.71, 17.0, -22.71, 0.1856, 0.06192, 6.681e-05, -0.6934, -0.3507, -5.961, 0.1987, 16.13, 16.42, 279.1, 0.1365, -1.713, -1.359, 19.4, 23.85, 16.13
2004, 1, 8.0, -1.416, -1.302, -10.41, 8.0, -10.41, 0.05736, 0.2259, 2.84e-05, -0.2033, -0.09006, -0.7205, 0.05504, 16.54, 16.6, 132.8, 0.06869, -1.168, -1.074, 19.72, 23.28, 16.5
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.54, 22.89, 17.16
2006, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.67, 22.62, 16.49
2007, 2, 7.5, -3.356, -2.711, -20.35, 15.0, -40.7, 0.3436, 0.2869, 0.0001603, -1.462, -0.8033, -5.984, 0.3404, 16.63, 17.28, 129.6, 0.3419, -1.788, -1.425, 19.37, 24.26, 16.28
2008, 5, 14.6, -3.052, -2.395, -34.73, 73.0, -173.7, 0.3441, 0.4429, 0.0001492, -1.518, -0.8315, -13.95, 0.3536, 16.89, 17.58, 248.8, 0.4004, -2.054, -1.557, 18.36, 21.83, 14.49
2009, 8, 8.75, -2.916, -2.265, -21.04, 70.0, -168.4, 0.3703, 0.56, 0.0001461, -1.488, -0.8241, -8.048, 0.3789, 16.21, 16.82, 146.9, 0.3657, -2.025, -1.564, 18.31, 23.24, 13.92
2010, 8, 12.5, -2.392, -1.868, -23.6, 100.0, -188.8, 0.3237, 0.3937, 0.0001022, -1.089, -0.5718, -8.021, 0.3247, 16.71, 17.23, 217.0, 0.3333, -1.856, -1.455, 18.5, 23.31, 15.7
2011, 4, 16.75, -3.358, -2.375, -39.93, 67.0, -159.7, 0.5456, 0.3936, 0.0001858, -1.956, -0.9771, -16.71, 0.5561, 16.56, 17.54, 292.1, 0.5446, -2.358, -1.68, 18.52, 21.35, 15.56
2012, 4, 7.5, -2.663, -2.227, -17.11, 30.0, -68.43, 0.2783, 0.5371, 0.000114, -1.08, -0.6361, -5.127, 0.2716, 17.03, 17.45, 132.4, 0.2639, -1.69, -1.401, 19.06, 24.31, 16.27
2013, 2, 13.0, -2.746, -2.213, -30.85, 26.0, -61.7, 0.2772, 0.2306, 9.35e-05, -0.9888, -0.4503, -6.974, 0.2759, 17.3, 17.81, 231.0, 0.2989, -1.542, -1.245, 18.95, 22.16, 15.9
2014, 3, 13.0, -3.262, -2.561, -35.21, 39.0, -105.6, 0.4508, 0.2445, 0.0001245, -1.71, -1.012, -14.77, 0.4489, 16.61, 17.26, 218.9, 0.4477, -2.082, -1.639, 18.69, 23.13, 14.67
