# Annual average marine coldspell statistics at Knysna
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 12, 13.67, -2.403, -1.873, -28.85, 164.0, -346.2, 0.3145, 0.2213, 0.007977, -1.159, -0.6331, -11.52, 0.3096, 15.97, 16.53, 222.4, 0.2994, -1.925, -1.503, 17.52, 21.87, 14.63
1983, 4, 19.0, -2.469, -1.773, -34.14, 76.0, -136.5, 0.3329, 0.13, 0.002458, -1.237, -0.564, -11.16, 0.3199, 15.25, 15.93, 301.3, 0.3151, -1.978, -1.458, 18.54, 22.54, 14.89
1984, 10, 13.4, -2.203, -1.812, -24.68, 134.0, -246.8, 0.233, 0.2292, 0.001036, -0.9463, -0.549, -7.795, 0.2335, 16.62, 17.02, 228.4, 0.2442, -1.761, -1.438, 17.76, 21.67, 14.74
1985, 1, 6.0, -1.748, -1.584, -9.504, 6.0, -9.504, 0.1086, 0.08138, 0.0004947, -0.4095, -0.2385, -1.431, 0.1119, 17.88, 17.98, 107.9, 0.1115, -1.306, -1.178, 18.76, 22.0, 16.03
1986, 1, 7.0, -2.152, -1.768, -12.38, 7.0, -12.38, 0.3116, 0.3471, 0.0005876, -0.8075, -0.4089, -2.862, 0.3248, 19.03, 19.4, 135.8, 0.2916, -1.601, -1.303, 18.89, 22.45, 16.25
1987, 1, 9.0, -1.575, -1.387, -12.48, 9.0, -12.48, 0.1341, 0.3238, 0.0002679, -0.4846, -0.2844, -2.56, 0.1403, 15.97, 16.19, 145.7, 0.1506, -1.444, -1.259, 18.94, 23.72, 15.97
1988, 2, 22.5, -2.872, -1.99, -43.92, 45.0, -87.84, 0.4012, 0.288, 0.0005547, -1.502, -0.6503, -13.9, 0.3996, 17.29, 18.32, 412.5, 0.5219, -2.084, -1.478, 18.9, 22.97, 16.36
1989, 3, 11.33, -1.841, -1.599, -17.99, 34.0, -53.97, 0.1564, 0.1017, 0.0002009, -0.5131, -0.2681, -3.112, 0.156, 18.34, 18.58, 213.7, 0.1645, -1.387, -1.202, 18.65, 21.3, 16.21
1990, 1, 9.0, -2.285, -2.041, -18.37, 9.0, -18.37, 0.2193, 0.138, 0.0002579, -0.8695, -0.6131, -5.518, 0.2244, 18.47, 18.8, 169.2, 0.2597, -1.614, -1.43, 18.67, 23.33, 15.96
1991, 1, 11.0, -2.107, -1.711, -18.82, 11.0, -18.82, 0.1962, 0.09265, 0.000206, -0.7638, -0.3586, -3.945, 0.2006, 15.77, 16.23, 178.5, 0.2374, -1.569, -1.266, 18.85, 22.74, 15.77
1992, 1, 8.0, -1.708, -1.548, -12.39, 8.0, -12.39, 0.1438, 0.121, 0.0001096, -0.5627, -0.4244, -3.395, 0.1334, 16.04, 16.16, 129.3, 0.13, -1.491, -1.377, 19.69, 23.81, 16.04
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.24, 22.97, 16.04
