# Annual average marine coldspell statistics at Mossel_Bay
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 8, 20.62, -2.282, -1.782, -36.26, 165.0, -290.0, 0.3092, 0.2301, 0.006223, -1.056, -0.5766, -11.36, 0.3006, 15.85, 16.32, 332.0, 0.3222, -1.862, -1.478, 17.54, 22.11, 14.82
1983, 5, 10.4, -1.893, -1.461, -15.68, 52.0, -78.38, 0.2195, 0.2865, 0.001464, -0.7871, -0.3448, -3.782, 0.223, 15.22, 15.67, 163.7, 0.2258, -1.695, -1.306, 18.44, 22.17, 14.99
1984, 11, 8.727, -2.025, -1.704, -15.11, 96.0, -166.2, 0.2052, 0.2171, 0.0009799, -0.7212, -0.4022, -3.702, 0.2034, 16.89, 17.2, 149.5, 0.2171, -1.549, -1.305, 17.7, 21.51, 14.79
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.57, 22.08, 15.71
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.69, 22.13, 16.08
1987, 2, 7.0, -2.068, -1.822, -12.59, 14.0, -25.17, 0.1746, 0.3151, 0.0002361, -0.6548, -0.3876, -2.613, 0.1771, 16.78, 17.06, 119.1, 0.1719, -1.461, -1.27, 18.71, 23.13, 15.79
1988, 3, 18.0, -2.211, -1.803, -35.07, 54.0, -105.2, 0.2299, 0.07198, 0.0003406, -0.8761, -0.4294, -9.466, 0.2423, 17.66, 17.92, 328.3, 0.3214, -1.633, -1.303, 18.38, 22.56, 16.06
1989, 5, 10.6, -1.773, -1.534, -17.1, 53.0, -85.5, 0.1506, 0.1184, 0.0002182, -0.538, -0.3047, -3.685, 0.1453, 16.96, 17.23, 183.0, 0.159, -1.432, -1.239, 18.28, 21.81, 15.08
1990, 4, 6.75, -1.816, -1.61, -11.28, 27.0, -45.12, 0.159, 0.2623, 0.0001402, -0.499, -0.2955, -2.388, 0.1564, 17.21, 17.39, 117.9, 0.147, -1.363, -1.208, 18.2, 22.53, 15.77
1991, 3, 8.0, -1.68, -1.483, -12.13, 24.0, -36.39, 0.1519, 0.1301, 0.0001538, -0.5324, -0.3396, -3.066, 0.1485, 15.27, 15.48, 123.3, 0.1649, -1.465, -1.297, 18.56, 22.67, 14.93
1992, 1, 10.0, -2.384, -1.762, -17.62, 10.0, -17.62, 0.4047, 0.5851, 0.0003337, -1.362, -0.7284, -7.284, 0.4146, 15.24, 15.94, 159.4, 0.46, -2.332, -1.709, 19.37, 24.13, 15.24
1993, 1, 16.0, -2.088, -1.564, -25.02, 16.0, -25.02, 0.3336, 0.09744, 0.0002651, -1.082, -0.5652, -9.043, 0.3296, 15.46, 15.93, 254.9, 0.3052, -2.075, -1.565, 18.97, 23.57, 15.46
1994, 3, 9.667, -2.185, -1.751, -17.24, 29.0, -51.73, 0.2581, 0.3639, 0.000174, -0.8418, -0.4152, -4.006, 0.2573, 17.34, 17.82, 174.5, 0.2786, -1.645, -1.301, 18.39, 21.5, 15.25
1995, 3, 8.333, -2.265, -1.975, -17.08, 25.0, -51.24, 0.2467, 0.317, 0.0001554, -0.8933, -0.6145, -5.898, 0.2473, 17.04, 17.42, 146.0, 0.2805, -1.668, -1.463, 18.27, 22.54, 15.34
1996, 9, 7.889, -1.816, -1.579, -12.66, 71.0, -113.9, 0.1605, 0.2486, 0.0001092, -0.5648, -0.3375, -2.694, 0.1574, 16.26, 16.45, 130.5, 0.1436, -1.444, -1.27, 17.91, 22.73, 15.1
1997, 1, 5.0, -1.616, -1.415, -7.073, 5.0, -7.073, 0.1123, 0.06598, 0.0001154, -0.412, -0.1943, -0.9714, 0.1197, 15.48, 15.72, 78.6, 0.1331, -1.342, -1.16, 18.51, 23.35, 15.48
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.79, 23.01, 16.27
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.92, 23.44, 16.19
2000, 2, 17.0, -1.82, -1.455, -27.91, 34.0, -55.82, 0.2306, 0.1119, 0.0001316, -0.6722, -0.3145, -7.604, 0.2237, 15.67, 16.02, 275.6, 0.2792, -1.564, -1.263, 18.55, 22.85, 15.51
2001, 4, 6.0, -1.72, -1.497, -9.021, 24.0, -36.08, 0.1614, 0.2558, 7.476e-05, -0.4951, -0.2759, -1.732, 0.1614, 17.22, 17.43, 105.4, 0.166, -1.414, -1.231, 18.55, 21.64, 15.37
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.87, 22.71, 16.23
2003, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.27, 24.22, 15.71
2004, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.31, 22.95, 15.35
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.0, 23.13, 16.15
