# Annual average marine coldspell statistics at Muizenberg
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 12, 14.42, -2.281, -1.578, -24.23, 173.0, -290.7, 0.356, 0.2303, 0.006786, -1.174, -0.4768, -8.062, 0.3536, 14.72, 15.37, 218.8, 0.3534, -2.053, -1.43, 16.45, 20.77, 13.3
1983, 5, 24.8, -2.272, -1.604, -39.21, 124.0, -196.1, 0.3549, 0.2571, 0.001964, -1.218, -0.5847, -14.73, 0.3517, 14.04, 14.58, 362.5, 0.3812, -2.187, -1.59, 16.81, 21.13, 13.28
1984, 9, 11.22, -2.258, -1.739, -19.18, 101.0, -172.6, 0.2942, 0.4893, 0.001133, -1.095, -0.5796, -6.619, 0.2949, 15.49, 16.01, 179.9, 0.2878, -1.961, -1.505, 16.74, 20.32, 13.9
1985, 1, 16.0, -2.31, -1.655, -26.49, 16.0, -26.49, 0.2838, 0.09498, 0.0007892, -1.101, -0.439, -7.024, 0.2829, 16.0, 16.5, 264.0, 0.3391, -1.91, -1.361, 17.5, 21.11, 15.0
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.11, 21.3, 15.78
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.74, 21.11, 14.68
1988, 5, 10.4, -2.409, -1.81, -20.26, 52.0, -101.3, 0.3012, 0.359, 0.0004466, -1.06, -0.4566, -5.269, 0.3046, 15.9, 16.41, 172.4, 0.2699, -1.72, -1.32, 17.09, 21.17, 15.03
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.29, 20.6, 13.81
1990, 2, 10.0, -2.178, -1.756, -18.25, 20.0, -36.49, 0.3179, 0.2678, 0.0002945, -0.9759, -0.5654, -6.027, 0.2984, 15.64, 16.08, 162.3, 0.3442, -1.712, -1.418, 16.95, 20.39, 14.42
1991, 5, 11.6, -1.765, -1.386, -17.24, 58.0, -86.2, 0.2215, 0.1154, 0.000242, -0.7126, -0.3278, -5.5, 0.2156, 15.15, 15.53, 171.7, 0.2334, -1.714, -1.317, 17.44, 20.81, 13.13
1992, 1, 8.0, -1.511, -1.271, -10.16, 8.0, -10.16, 0.1396, 0.1119, 0.000114, -0.5321, -0.2907, -2.325, 0.1399, 15.0, 15.17, 121.3, 0.07745, -1.544, -1.297, 18.09, 22.65, 15.0
1993, 2, 5.5, -1.43, -1.147, -6.377, 11.0, -12.75, 0.1527, 0.1564, 0.0001293, -0.5176, -0.2342, -1.327, 0.1513, 14.6, 14.88, 81.9, 0.145, -1.573, -1.252, 17.8, 22.61, 14.34
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.69, 20.68, 13.84
1995, 1, 5.0, -1.967, -1.793, -8.963, 5.0, -8.963, 0.2014, 0.35, 0.0001697, -0.4326, -0.2672, -1.336, 0.2003, 16.18, 16.3, 81.52, 0.2059, -1.282, -1.175, 17.38, 21.64, 14.7
1996, 10, 12.6, -1.998, -1.591, -20.56, 126.0, -205.6, 0.2384, 0.1669, 0.0001545, -0.759, -0.3572, -4.712, 0.2392, 15.26, 15.7, 197.0, 0.2702, -1.582, -1.28, 16.59, 20.47, 13.74
1997, 2, 14.0, -2.236, -1.733, -24.52, 28.0, -49.04, 0.3053, 0.1469, 0.0001522, -1.028, -0.5393, -7.791, 0.2942, 13.64, 14.17, 198.6, 0.3502, -1.849, -1.449, 17.32, 21.19, 13.42
1998, 1, 6.0, -1.395, -1.206, -7.233, 6.0, -7.233, 0.09688, 0.232, 5.77e-05, -0.2931, -0.116, -0.6962, 0.08672, 18.32, 18.55, 111.3, 0.1387, -1.266, -1.106, 17.86, 21.68, 15.29
1999, 1, 8.0, -1.505, -1.249, -9.994, 8.0, -9.994, 0.1376, 0.1802, 8.317e-05, -0.4839, -0.2289, -1.831, 0.1373, 15.52, 15.76, 126.1, 0.1361, -1.474, -1.225, 17.78, 21.54, 15.39
2000, 2, 12.0, -1.745, -1.399, -18.03, 24.0, -36.06, 0.1812, 0.2009, 0.0001155, -0.7006, -0.3813, -5.598, 0.171, 16.9, 17.18, 196.0, 0.1595, -1.655, -1.368, 17.63, 21.48, 15.02
2001, 2, 15.5, -2.364, -2.038, -31.82, 31.0, -63.65, 0.2202, 0.2507, 0.0001083, -0.8103, -0.556, -10.12, 0.2341, 15.86, 16.02, 244.2, 0.2699, -1.526, -1.392, 17.54, 20.84, 14.62
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.78, 21.73, 15.0
2003, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.56, 22.69, 15.18
2004, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.07, 21.67, 14.53
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.14, 21.97, 15.28
2006, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.55, 22.02, 14.46
2007, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.24, 21.87, 16.01
