# Annual average marine coldspell statistics at Pollock_Beach
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 10, 23.0, -3.336, -2.313, -55.36, 230.0, -553.6, 0.4925, 0.3009, 0.01098, -1.802, -0.8143, -20.79, 0.4756, 16.03, 17.01, 385.3, 0.4797, -2.191, -1.556, 17.66, 22.47, 14.74
1983, 8, 10.12, -2.403, -1.857, -19.14, 81.0, -153.1, 0.3052, 0.2624, 0.002057, -1.104, -0.5446, -5.451, 0.3131, 16.26, 16.83, 171.5, 0.3161, -1.828, -1.409, 18.74, 22.37, 15.48
1984, 9, 22.67, -3.47, -2.574, -57.23, 204.0, -515.1, 0.4882, 0.8007, 0.002014, -1.814, -0.9098, -22.15, 0.4904, 16.2, 17.14, 387.7, 0.5213, -2.2, -1.6, 17.78, 22.24, 14.35
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.63, 23.05, 17.04
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.83, 23.32, 16.99
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.61, 23.44, 16.99
1988, 1, 6.0, -3.084, -2.798, -16.79, 6.0, -16.79, 0.2404, 0.2461, 0.000509, -1.208, -0.9242, -5.545, 0.2381, 17.94, 18.25, 109.5, 0.2607, -1.644, -1.493, 19.84, 23.12, 17.13
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.74, 22.95, 16.94
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.73, 24.15, 16.27
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.26, 24.12, 17.18
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.39, 23.94, 16.73
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.29, 23.72, 15.83
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.03, 24.47, 16.84
