# Annual average marine coldspell statistics at Port_Nolloth
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 11, 16.55, -2.104, -1.615, -25.5, 182.0, -280.5, 0.2987, 0.2582, 0.006792, -1.043, -0.5441, -8.9, 0.3044, 13.49, 13.99, 226.1, 0.3292, -2.001, -1.511, 14.61, 18.55, 11.97
1983, 4, 15.75, -1.922, -1.466, -21.94, 63.0, -87.75, 0.2679, 0.09428, 0.001799, -0.8808, -0.4335, -6.356, 0.2641, 13.59, 14.01, 215.7, 0.2574, -1.87, -1.422, 15.04, 18.51, 12.31
1984, 5, 5.8, -1.655, -1.419, -8.372, 29.0, -41.86, 0.1854, 0.2385, 0.0005817, -0.5768, -0.3422, -1.959, 0.1891, 13.98, 14.22, 83.21, 0.1942, -1.574, -1.35, 15.66, 20.23, 11.93
1985, 1, 6.0, -1.904, -1.688, -10.13, 6.0, -10.13, 0.1199, 0.2023, 0.0009235, -0.5512, -0.3444, -2.066, 0.1201, 15.55, 15.78, 94.66, 0.1283, -1.407, -1.256, 15.87, 19.78, 13.54
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.9, 19.41, 13.94
1987, 1, 5.0, -1.163, -1.03, -5.15, 5.0, -5.15, 0.1047, 0.1061, 0.000209, -0.2665, -0.1402, -0.7008, 0.1033, 13.59, 13.7, 68.48, 0.1032, -1.297, -1.157, 15.74, 19.86, 12.98
1988, 2, 8.5, -1.913, -1.587, -13.55, 17.0, -27.1, 0.2213, 0.1457, 0.0002204, -0.6611, -0.3517, -2.995, 0.2085, 14.53, 14.77, 125.7, 0.1653, -1.533, -1.285, 15.61, 20.32, 12.91
1989, 2, 6.5, -1.82, -1.63, -10.54, 13.0, -21.09, 0.1657, 0.1501, 0.0002849, -0.7641, -0.5531, -3.635, 0.1759, 13.61, 13.86, 89.64, 0.2077, -1.758, -1.542, 15.76, 20.24, 12.64
1990, 8, 9.0, -1.409, -1.182, -10.83, 72.0, -86.61, 0.1566, 0.1601, 0.0001256, -0.4869, -0.2627, -2.505, 0.1535, 13.24, 13.46, 121.3, 0.1512, -1.542, -1.293, 15.51, 19.45, 12.15
1991, 2, 10.5, -1.85, -1.449, -15.7, 21.0, -31.39, 0.233, 0.242, 0.0002801, -0.7694, -0.3625, -3.501, 0.2323, 14.3, 14.72, 160.0, 0.2407, -1.741, -1.366, 15.6, 18.84, 12.83
