# Annual average marine coldspell statistics at Sodwana
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 5, 13.4, -1.563, -1.213, -16.66, 67.0, -83.29, 0.2431, 0.217, 0.006237, -0.7343, -0.3806, -4.94, 0.242, 24.29, 24.5, 329.9, 0.2533, -1.876, -1.455, 24.34, 27.76, 21.95
1983, 2, 7.5, -1.359, -1.095, -8.075, 15.0, -16.15, 0.1311, 0.4187, 0.000742, -0.5349, -0.249, -1.81, 0.1419, 22.03, 22.31, 166.2, 0.1597, -1.663, -1.296, 24.76, 28.33, 21.1
1984, 8, 11.88, -1.429, -1.134, -13.8, 95.0, -110.4, 0.1873, 0.1933, 0.0007739, -0.6553, -0.3538, -4.471, 0.1861, 23.64, 23.95, 282.0, 0.22, -1.844, -1.45, 24.17, 27.08, 20.98
1985, 3, 8.667, -1.128, -0.9762, -8.344, 26.0, -25.03, 0.09552, 0.09648, 0.000386, -0.3958, -0.242, -2.001, 0.09601, 22.88, 23.07, 199.8, 0.1477, -1.541, -1.33, 24.72, 28.69, 21.53
1986, 2, 10.5, -1.646, -1.321, -13.94, 21.0, -27.88, 0.1616, 0.2047, 0.0005141, -0.7111, -0.3904, -4.286, 0.1593, 22.02, 22.42, 237.9, 0.2332, -1.765, -1.42, 24.43, 27.69, 20.83
1987, 1, 5.0, -1.328, -1.206, -6.031, 5.0, -6.031, 0.1149, 0.231, 0.0001627, -0.3863, -0.2631, -1.316, 0.1152, 22.17, 22.29, 111.5, 0.09432, -1.41, -1.279, 24.76, 28.22, 21.1
1988, 3, 7.333, -1.328, -1.066, -8.419, 22.0, -25.26, 0.1612, 0.1857, 0.000224, -0.5136, -0.2511, -2.238, 0.1599, 24.2, 24.43, 178.8, 0.1524, -1.612, -1.294, 24.68, 28.52, 21.53
1989, 3, 6.333, -1.162, -1.012, -6.47, 19.0, -19.41, 0.1263, 0.1547, 0.0001551, -0.3652, -0.2139, -1.394, 0.125, 24.35, 24.45, 155.2, 0.1292, -1.467, -1.269, 24.6, 27.77, 21.9
1990, 1, 13.0, -2.055, -1.361, -17.69, 13.0, -17.69, 0.44, 0.1577, 0.0003741, -1.146, -0.4526, -5.883, 0.4406, 22.59, 23.25, 302.2, 0.4522, -2.261, -1.499, 24.54, 28.37, 21.2
1991, 1, 8.0, -1.171, -0.9983, -7.986, 8.0, -7.986, 0.1087, 0.07694, 0.0001132, -0.3595, -0.1913, -1.531, 0.1089, 25.31, 25.57, 204.6, 0.1407, -1.443, -1.237, 24.81, 29.47, 21.6
1992, 1, 5.0, -0.761, -0.739, -3.695, 5.0, -3.695, 0.01698, 0.03028, 5.1e-05, -0.09265, -0.07503, -0.3752, 0.01162, 21.62, 21.64, 108.2, 0.01414, -1.139, -1.113, 24.78, 28.8, 21.23
