# Annual average marine coldspell statistics at Tsitsikamma_West
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 8, 21.62, -2.5, -1.833, -46.54, 173.0, -372.3, 0.3761, 0.2329, 0.008496, -1.317, -0.6594, -19.0, 0.37, 15.35, 16.04, 353.8, 0.4355, -2.073, -1.553, 17.46, 22.22, 14.5
1983, 5, 12.8, -2.134, -1.653, -21.01, 64.0, -105.1, 0.3098, 0.3403, 0.00167, -1.013, -0.5453, -7.127, 0.3056, 15.48, 15.96, 202.9, 0.3198, -1.926, -1.516, 18.55, 22.38, 14.83
1984, 12, 12.92, -2.283, -1.72, -24.14, 155.0, -289.7, 0.3096, 0.2019, 0.00117, -1.057, -0.4923, -7.811, 0.3099, 16.39, 16.99, 221.3, 0.3367, -1.844, -1.395, 17.68, 21.51, 15.14
1985, 2, 5.0, -1.732, -1.498, -7.489, 10.0, -14.98, 0.1779, 0.3241, 0.0004538, -0.5891, -0.359, -1.795, 0.1764, 16.64, 16.9, 84.49, 0.1997, -1.46, -1.28, 18.71, 21.96, 16.18
1986, 1, 8.0, -1.978, -1.732, -13.86, 8.0, -13.86, 0.1537, 0.1634, 0.0003158, -0.5736, -0.3206, -2.565, 0.1566, 19.07, 19.31, 154.5, 0.1535, -1.408, -1.227, 18.82, 22.43, 16.56
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.97, 23.33, 16.14
1988, 3, 11.67, -2.507, -1.752, -22.04, 35.0, -66.12, 0.3663, 0.23, 0.0004883, -1.184, -0.4323, -6.178, 0.3645, 17.62, 18.35, 214.0, 0.3658, -1.848, -1.318, 18.88, 23.22, 16.08
1989, 2, 5.5, -1.791, -1.657, -9.164, 11.0, -18.33, 0.1268, 0.1356, 0.0001528, -0.4531, -0.3217, -1.758, 0.1279, 19.2, 19.33, 106.3, 0.1201, -1.342, -1.244, 18.66, 21.84, 16.29
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.72, 22.91, 16.26
1991, 1, 9.0, -2.124, -1.578, -14.2, 9.0, -14.2, 0.2828, 0.1378, 0.0003155, -0.8865, -0.3411, -3.07, 0.2819, 15.64, 16.24, 146.1, 0.3192, -1.716, -1.276, 18.98, 22.84, 15.64
