# Annual average marine coldspell statistics at Ystervarkpunt
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 9, 16.11, -2.201, -1.791, -29.02, 145.0, -261.2, 0.2659, 0.1876, 0.005232, -0.99, -0.5968, -9.94, 0.2644, 16.13, 16.49, 263.3, 0.2914, -1.83, -1.506, 17.8, 22.49, 14.82
1983, 4, 8.0, -1.869, -1.538, -12.27, 32.0, -49.09, 0.2026, 0.1607, 0.001137, -0.7297, -0.393, -3.07, 0.2065, 15.6, 15.96, 128.0, 0.2242, -1.631, -1.344, 18.7, 22.07, 15.28
1984, 11, 6.909, -1.93, -1.679, -11.43, 76.0, -125.8, 0.1811, 0.3632, 0.0007833, -0.6219, -0.3762, -2.536, 0.1774, 17.38, 17.62, 120.8, 0.1737, -1.473, -1.285, 18.07, 22.09, 15.41
1985, 2, 5.0, -1.43, -1.341, -6.704, 10.0, -13.41, 0.06784, 0.1881, 0.0002059, -0.231, -0.1273, -0.6367, 0.0709, 18.03, 18.12, 90.6, 0.09151, -1.199, -1.107, 18.77, 22.27, 15.9
1986, 1, 7.0, -1.53, -1.461, -10.23, 7.0, -10.23, 0.05126, 0.1349, 0.0001226, -0.2788, -0.1748, -1.224, 0.08332, 20.05, 20.1, 140.7, 0.03573, -1.223, -1.138, 18.89, 22.31, 16.34
1987, 2, 9.5, -1.995, -1.605, -15.33, 19.0, -30.66, 0.1988, 0.1547, 0.0003906, -0.7873, -0.4119, -3.915, 0.2007, 16.53, 16.86, 160.3, 0.2196, -1.671, -1.352, 18.9, 23.09, 16.18
1988, 3, 16.0, -2.477, -1.969, -34.32, 48.0, -103.0, 0.2743, 0.1403, 0.0004303, -1.139, -0.6103, -12.45, 0.2855, 18.09, 18.57, 295.5, 0.3391, -1.849, -1.451, 18.59, 22.54, 15.98
1989, 3, 12.0, -1.946, -1.659, -20.67, 36.0, -62.02, 0.1841, 0.07548, 0.0002461, -0.6708, -0.4058, -5.675, 0.1713, 17.07, 17.42, 208.8, 0.1997, -1.529, -1.322, 18.51, 22.15, 15.26
1990, 6, 8.167, -1.671, -1.46, -11.29, 49.0, -67.74, 0.141, 0.2397, 0.0001573, -0.4296, -0.2187, -1.625, 0.1371, 17.74, 17.94, 143.8, 0.1447, -1.337, -1.169, 18.36, 22.47, 16.07
1991, 3, 10.33, -1.882, -1.613, -16.65, 31.0, -49.96, 0.1972, 0.2458, 0.0001938, -0.7908, -0.5232, -5.275, 0.1999, 15.37, 15.61, 161.5, 0.1941, -1.735, -1.488, 18.74, 22.72, 15.23
1992, 1, 11.0, -2.008, -1.642, -18.06, 11.0, -18.06, 0.2607, 0.2765, 0.0002487, -0.9978, -0.625, -6.875, 0.2689, 15.87, 16.3, 179.3, 0.3265, -1.988, -1.617, 19.57, 24.07, 15.85
1993, 2, 10.5, -1.541, -1.285, -14.68, 21.0, -29.37, 0.1603, 0.0948, 0.0001226, -0.5411, -0.2881, -4.17, 0.1602, 15.9, 16.12, 169.8, 0.1524, -1.537, -1.287, 19.14, 23.66, 15.78
1994, 4, 9.75, -2.127, -1.696, -16.75, 39.0, -67.01, 0.2746, 0.2907, 0.0002055, -0.9172, -0.4865, -4.735, 0.2772, 18.08, 18.52, 179.2, 0.2766, -1.751, -1.393, 18.64, 21.61, 15.49
1995, 5, 11.2, -2.34, -1.905, -20.9, 56.0, -104.5, 0.2838, 0.2266, 0.0002161, -1.033, -0.6061, -6.594, 0.2856, 16.71, 17.19, 190.4, 0.3272, -1.789, -1.465, 18.42, 22.54, 15.55
1996, 9, 9.0, -1.782, -1.502, -14.39, 81.0, -129.5, 0.1929, 0.1961, 0.0001204, -0.6245, -0.3467, -3.564, 0.1907, 16.37, 16.6, 151.1, 0.1908, -1.521, -1.295, 18.18, 22.87, 15.41
1997, 1, 6.0, -1.726, -1.449, -8.695, 6.0, -8.695, 0.1824, 0.345, 0.0001037, -0.5012, -0.2364, -1.418, 0.1801, 15.75, 16.0, 95.98, 0.1787, -1.409, -1.195, 18.76, 23.29, 15.75
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.09, 23.2, 16.49
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.19, 23.48, 16.18
2000, 1, 17.0, -2.345, -1.984, -33.73, 17.0, -33.73, 0.2536, 0.07123, 0.0001675, -1.1, -0.7397, -12.57, 0.2558, 15.91, 16.36, 278.1, 0.2103, -1.884, -1.595, 18.8, 23.4, 15.75
