# Marine coldspell statistics for individual detected events at Hermanus
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 3, 10, 1982, 3, 13, 1982, 3, 21, 12, -4.04, -3.013, -36.16, 0.7024, 0.5392, 0.03037, -2.346, -1.321, -15.86, 0.7019, 15.57, 16.51, 198.1, 0.6184, -2.385, -1.781
2, 1982, 3, 30, 1982, 4, 1, 1982, 4, 5, 7, -2.204, -1.955, -13.68, 0.1809, 0.4532, 0.008436, -0.6392, -0.3994, -2.796, 0.1887, 16.64, 16.84, 117.9, 0.218, -1.409, -1.258
3, 1982, 4, 10, 1982, 4, 13, 1982, 5, 6, 27, -2.364, -1.822, -49.2, 0.2746, 0.4104, 0.01052, -0.9048, -0.4663, -12.59, 0.2329, 15.86, 15.98, 431.4, 0.2601, -1.62, -1.342
4, 1982, 6, 19, 1982, 6, 23, 1982, 6, 24, 6, -1.711, -1.399, -8.393, 0.1671, 0.1968, 0.003821, -0.6181, -0.3142, -1.885, 0.1617, 14.37, 14.72, 88.32, 0.1958, -1.566, -1.289
5, 1982, 9, 29, 1982, 9, 30, 1982, 10, 3, 5, -1.42, -1.165, -5.824, 0.2041, 0.2983, 0.002612, -0.6104, -0.3524, -1.762, 0.207, 14.7, 14.97, 74.86, 0.2291, -1.754, -1.435
6, 1982, 10, 14, 1982, 11, 5, 1982, 11, 8, 26, -2.283, -1.38, -35.88, 0.3678, 0.06361, 0.004325, -1.335, -0.4936, -12.83, 0.3551, 14.98, 15.5, 403.1, 0.3739, -2.407, -1.554
7, 1982, 11, 12, 1982, 11, 17, 1982, 11, 18, 7, -1.702, -1.382, -9.677, 0.177, 0.1278, 0.001808, -0.6316, -0.3322, -2.325, 0.1595, 16.11, 16.34, 114.4, 0.1091, -1.59, -1.314
8, 1983, 1, 2, 1983, 1, 4, 1983, 1, 6, 5, -1.32, -1.193, -5.965, 0.1006, 0.1093, 0.001054, -0.2791, -0.1527, -0.7633, 0.1004, 18.55, 18.67, 93.37, 0.09362, -1.268, -1.147
9, 1983, 6, 27, 1983, 7, 1, 1983, 7, 3, 7, -1.806, -1.588, -11.12, 0.1955, 0.1362, 0.0009366, -0.6946, -0.4785, -3.35, 0.1966, 14.1, 14.34, 100.3, 0.2058, -1.625, -1.431
10, 1983, 7, 22, 1983, 7, 24, 1983, 7, 27, 6, -1.619, -1.311, -7.866, 0.2287, 0.2375, 0.00123, -0.7191, -0.4124, -2.474, 0.2258, 14.0, 14.31, 85.83, 0.2246, -1.799, -1.458
11, 1983, 8, 7, 1983, 8, 15, 1983, 8, 17, 11, -1.442, -1.287, -14.16, 0.09898, 0.05602, 0.0009806, -0.558, -0.4091, -4.5, 0.09471, 14.16, 14.3, 157.3, 0.09273, -1.631, -1.465
12, 1983, 9, 7, 1983, 9, 10, 1983, 9, 12, 6, -1.652, -1.382, -8.292, 0.1797, 0.2154, 0.001148, -0.7664, -0.4938, -2.963, 0.1816, 14.13, 14.4, 86.38, 0.1779, -1.865, -1.556
13, 1983, 9, 18, 1983, 9, 20, 1983, 10, 24, 37, -2.207, -1.376, -50.91, 0.3481, 0.4567, 0.002099, -1.365, -0.5428, -20.08, 0.3498, 13.71, 14.89, 551.1, 0.4992, -2.62, -1.653
14, 1983, 10, 28, 1983, 11, 5, 1983, 11, 11, 15, -2.08, -1.52, -22.8, 0.3672, 0.149, 0.001531, -1.131, -0.5798, -8.698, 0.3526, 15.19, 15.7, 235.6, 0.3408, -2.193, -1.613
15, 1984, 1, 13, 1984, 1, 23, 1984, 1, 24, 12, -3.034, -1.875, -22.5, 0.6109, 0.2033, 0.002283, -2.035, -0.8882, -10.66, 0.611, 17.3, 18.37, 220.4, 0.5529, -3.038, -1.901
16, 1984, 2, 16, 1984, 2, 21, 1984, 2, 27, 12, -2.859, -2.151, -25.81, 0.4889, 0.2988, 0.001703, -1.469, -0.7442, -8.931, 0.4667, 17.34, 18.03, 216.4, 0.5263, -2.057, -1.526
17, 1984, 3, 7, 1984, 3, 9, 1984, 3, 11, 5, -2.362, -2.079, -10.4, 0.2381, 0.2955, 0.001022, -0.6704, -0.3888, -1.944, 0.2362, 17.36, 17.65, 88.23, 0.2539, -1.396, -1.23
18, 1984, 7, 29, 1984, 8, 8, 1984, 8, 12, 15, -2.001, -1.42, -21.3, 0.3043, 0.1069, 0.001191, -1.132, -0.5489, -8.234, 0.3052, 13.58, 14.16, 212.4, 0.3062, -2.302, -1.631
19, 1984, 8, 29, 1984, 9, 12, 1984, 9, 12, 15, -1.435, -1.217, -18.26, 0.1233, 0.03637, 0.0002892, -0.5582, -0.3098, -4.647, 0.1316, 14.37, 14.52, 217.9, 0.1128, -1.636, -1.343
20, 1984, 10, 5, 1984, 10, 10, 1984, 10, 23, 19, -1.264, -1.082, -20.56, 0.1233, 0.06157, 0.0005703, -0.4281, -0.2401, -4.562, 0.1249, 15.07, 15.37, 292.0, 0.2046, -1.512, -1.286
21, 1984, 11, 9, 1984, 11, 16, 1984, 11, 17, 9, -2.151, -1.361, -12.25, 0.3475, 0.1449, 0.0009652, -1.091, -0.3307, -2.976, 0.3359, 15.61, 16.27, 146.4, 0.3095, -2.029, -1.318
22, 1985, 12, 1, 1985, 12, 3, 1985, 12, 10, 10, -1.943, -1.706, -17.06, 0.1892, 0.3076, 0.0006133, -0.8083, -0.5688, -5.688, 0.19, 16.58, 16.93, 169.3, 0.2025, -1.712, -1.5
23, 1985, 12, 20, 1985, 12, 21, 1985, 12, 24, 5, -1.662, -1.375, -6.873, 0.2243, 0.3626, 0.0004959, -0.5597, -0.2784, -1.392, 0.2226, 17.69, 18.02, 90.11, 0.249, -1.508, -1.254
24, 1988, 3, 7, 1988, 3, 10, 1988, 3, 25, 19, -4.069, -2.631, -49.99, 0.6629, 0.7016, 0.00102, -2.377, -0.9407, -17.87, 0.6618, 15.63, 16.87, 320.4, 0.5427, -2.404, -1.556
25, 1988, 4, 3, 1988, 4, 4, 1988, 4, 16, 14, -3.349, -2.077, -29.08, 0.5671, 0.8189, 0.0009183, -1.817, -0.5902, -8.263, 0.5407, 15.35, 16.34, 228.7, 0.4088, -2.186, -1.391
26, 1988, 5, 1, 1988, 5, 3, 1988, 5, 7, 7, -1.552, -1.457, -10.2, 0.06565, 0.1055, 0.0001545, -0.313, -0.2371, -1.66, 0.07222, 15.88, 15.94, 111.6, 0.08666, -1.253, -1.195
27, 1988, 5, 15, 1988, 5, 16, 1988, 5, 20, 6, -1.457, -1.273, -7.635, 0.1236, 0.2739, 0.0002622, -0.399, -0.2285, -1.371, 0.1117, 15.63, 15.77, 94.62, 0.09031, -1.377, -1.218
28, 1988, 12, 21, 1988, 12, 30, 1989, 1, 9, 20, -1.681, -1.313, -26.26, 0.2027, 0.0703, 0.0002085, -0.6333, -0.2567, -5.134, 0.2065, 18.03, 18.4, 367.9, 0.2767, -1.604, -1.244
29, 1989, 6, 25, 1989, 6, 26, 1989, 7, 8, 14, -1.703, -1.355, -18.98, 0.1397, 0.5091, 0.0002796, -0.5991, -0.2551, -3.572, 0.1334, 14.31, 14.54, 203.6, 0.1079, -1.543, -1.231
30, 1990, 2, 20, 1990, 2, 22, 1990, 2, 28, 9, -2.23, -1.928, -17.35, 0.1804, 0.3666, 0.0002032, -0.8244, -0.4676, -4.209, 0.1802, 17.95, 18.19, 163.7, 0.2082, -1.587, -1.322
31, 1990, 8, 30, 1990, 9, 2, 1990, 9, 4, 6, -1.317, -1.154, -6.926, 0.1163, 0.1199, 0.0001195, -0.3964, -0.2319, -1.391, 0.1144, 14.4, 14.56, 87.35, 0.1211, -1.431, -1.251
32, 1991, 1, 15, 1991, 1, 19, 1991, 1, 20, 6, -1.706, -1.447, -8.681, 0.1628, 0.1682, 0.0001382, -0.7316, -0.4686, -2.812, 0.1659, 18.55, 18.78, 112.7, 0.1301, -1.751, -1.48
