# Marine coldspell statistics for individual detected events at Hout_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 3, 6, 1982, 3, 13, 1982, 3, 19, 14, -4.738, -3.584, -50.18, 0.7866, 0.2812, 0.03875, -2.606, -1.443, -20.2, 0.796, 12.64, 13.8, 193.2, 0.804, -2.223, -1.676
2, 1982, 4, 29, 1982, 4, 30, 1982, 5, 4, 6, -2.458, -2.205, -13.23, 0.2111, 0.3681, 0.006428, -0.6345, -0.3858, -2.315, 0.2066, 13.37, 13.62, 81.72, 0.209, -1.348, -1.212
3, 1982, 5, 9, 1982, 5, 11, 1982, 5, 13, 5, -3.107, -2.565, -12.82, 0.4664, 0.8307, 0.01083, -1.393, -0.8536, -4.268, 0.4497, 12.72, 13.26, 66.31, 0.4668, -1.813, -1.497
4, 1982, 6, 8, 1982, 6, 24, 1982, 6, 27, 20, -2.886, -1.998, -39.95, 0.4559, 0.1025, 0.01066, -1.749, -0.8333, -16.67, 0.4594, 12.35, 13.35, 267.0, 0.4792, -2.537, -1.717
5, 1982, 7, 12, 1982, 7, 18, 1982, 7, 20, 9, -1.748, -1.38, -12.42, 0.2152, 0.1025, 0.003871, -0.6637, -0.301, -2.709, 0.2119, 13.19, 13.58, 122.2, 0.2295, -1.612, -1.279
6, 1982, 8, 28, 1982, 9, 7, 1982, 9, 11, 15, -2.048, -1.526, -22.88, 0.4018, 0.1134, 0.004991, -1.124, -0.5957, -8.936, 0.4068, 12.96, 13.47, 202.0, 0.3884, -2.216, -1.643
7, 1982, 9, 15, 1982, 9, 19, 1982, 10, 2, 18, -2.776, -2.013, -36.23, 0.5257, 0.3361, 0.006369, -1.872, -1.091, -19.64, 0.5409, 12.29, 13.07, 235.3, 0.5414, -3.071, -2.194
8, 1982, 10, 6, 1982, 11, 16, 1982, 11, 18, 44, -3.499, -2.328, -102.5, 0.5706, 0.06086, 0.00727, -2.044, -1.04, -45.76, 0.5305, 12.63, 13.19, 580.3, 0.548, -2.405, -1.805
9, 1983, 5, 10, 1983, 5, 19, 1983, 5, 23, 14, -3.447, -2.339, -32.75, 0.5588, 0.1838, 0.004308, -1.95, -0.7748, -10.85, 0.6137, 12.38, 13.48, 188.8, 0.5585, -2.303, -1.513
10, 1983, 5, 28, 1983, 5, 30, 1983, 6, 1, 5, -1.898, -1.735, -8.673, 0.204, 0.2483, 0.00123, -0.6323, -0.4674, -2.337, 0.216, 13.78, 13.94, 69.72, 0.2196, -1.499, -1.371
11, 1983, 6, 5, 1983, 6, 13, 1983, 6, 16, 12, -2.333, -1.805, -21.66, 0.2787, 0.12, 0.001894, -1.149, -0.612, -7.344, 0.285, 13.09, 13.66, 163.9, 0.3111, -1.971, -1.514
12, 1983, 9, 8, 1983, 9, 12, 1983, 9, 12, 5, -1.71, -1.443, -7.216, 0.1931, 0.1367, 0.0007027, -0.8008, -0.5282, -2.641, 0.1962, 13.32, 13.58, 67.89, 0.1882, -1.881, -1.578
13, 1983, 10, 3, 1983, 10, 5, 1983, 10, 7, 5, -1.928, -1.652, -8.261, 0.2414, 0.3281, 0.001484, -0.9108, -0.6349, -3.175, 0.237, 13.2, 13.48, 67.38, 0.2409, -1.896, -1.624
14, 1983, 10, 14, 1983, 11, 13, 1983, 11, 17, 35, -3.773, -2.274, -79.58, 0.7521, 0.08368, 0.003629, -2.356, -0.9451, -33.08, 0.699, 12.25, 13.31, 465.9, 0.5587, -2.664, -1.693
15, 1983, 12, 6, 1983, 12, 11, 1983, 12, 13, 8, -2.476, -2.183, -17.47, 0.1549, 0.1358, 0.001544, -0.5106, -0.2307, -1.845, 0.1489, 14.56, 14.79, 118.3, 0.1645, -1.26, -1.118
16, 1984, 1, 10, 1984, 1, 12, 1984, 1, 22, 13, -3.126, -2.342, -30.45, 0.6637, 0.5124, 0.001475, -1.518, -0.6291, -8.178, 0.7008, 14.88, 15.69, 204.0, 0.6728, -1.943, -1.379
17, 1984, 2, 5, 1984, 2, 8, 1984, 2, 9, 5, -2.994, -2.678, -13.39, 0.2648, 0.2585, 0.001092, -0.8097, -0.5101, -2.551, 0.2525, 15.1, 15.42, 77.1, 0.2685, -1.371, -1.235
18, 1984, 2, 26, 1984, 2, 29, 1984, 3, 2, 6, -3.749, -3.289, -19.73, 0.3421, 0.5252, 0.001642, -1.567, -1.113, -6.68, 0.3403, 13.97, 14.44, 86.67, 0.3517, -1.718, -1.512
19, 1984, 3, 26, 1984, 3, 27, 1984, 3, 31, 6, -2.878, -2.482, -14.89, 0.3202, 0.4832, 0.001534, -0.947, -0.5893, -3.536, 0.2811, 14.01, 14.35, 86.09, 0.2625, -1.491, -1.309
20, 1984, 10, 18, 1984, 10, 22, 1984, 10, 23, 6, -1.847, -1.605, -9.631, 0.1777, 0.1302, 0.0008885, -0.5743, -0.349, -2.094, 0.1835, 13.44, 13.65, 81.91, 0.1922, -1.451, -1.279
21, 1984, 10, 28, 1984, 10, 30, 1984, 11, 2, 6, -2.598, -2.22, -13.32, 0.3336, 0.6277, 0.001042, -1.264, -0.8842, -5.305, 0.3411, 12.91, 13.3, 79.83, 0.3723, -1.948, -1.664
22, 1984, 11, 14, 1984, 11, 19, 1984, 11, 22, 9, -2.876, -2.469, -22.22, 0.4683, 0.2499, 0.001288, -1.361, -0.9701, -8.731, 0.4805, 13.35, 13.72, 123.5, 0.4811, -1.898, -1.651
23, 1989, 5, 22, 1989, 5, 27, 1989, 5, 28, 7, -1.718, -1.528, -10.69, 0.1247, 0.05628, 0.0002167, -0.4037, -0.1773, -1.241, 0.1196, 14.02, 14.24, 99.69, 0.1186, -1.307, -1.131
24, 1989, 6, 19, 1989, 6, 22, 1989, 6, 25, 7, -2.117, -1.687, -11.81, 0.285, 0.2973, 0.0003361, -0.9704, -0.5408, -3.785, 0.2838, 13.15, 13.58, 95.07, 0.2851, -1.846, -1.472
25, 1990, 9, 11, 1990, 9, 16, 1990, 9, 18, 8, -1.261, -1.181, -9.447, 0.06697, 0.0969, 9.535e-05, -0.36, -0.2759, -2.207, 0.06838, 13.79, 13.86, 110.9, 0.06833, -1.399, -1.305
26, 1990, 9, 29, 1990, 10, 4, 1990, 10, 15, 17, -2.176, -1.601, -27.21, 0.3637, 0.2508, 0.0003273, -1.173, -0.5482, -9.319, 0.3938, 12.95, 13.54, 230.1, 0.369, -2.169, -1.535
27, 1991, 6, 14, 1991, 6, 16, 1991, 6, 18, 5, -1.71, -1.518, -7.591, 0.1504, 0.3184, 0.0001457, -0.5423, -0.3494, -1.747, 0.1537, 13.66, 13.85, 69.26, 0.1619, -1.464, -1.299
28, 1991, 8, 4, 1991, 8, 18, 1991, 8, 20, 17, -2.255, -1.581, -26.88, 0.3436, 0.07866, 0.0003215, -1.25, -0.535, -9.095, 0.3662, 12.64, 13.29, 225.9, 0.332, -2.243, -1.52
