# Marine coldspell statistics for individual detected events at Humewood
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 2, 22, 1982, 2, 26, 1982, 3, 1, 8, -2.333, -2.05, -16.4, 0.1817, 0.1435, 0.01274, -0.7153, -0.4339, -3.471, 0.191, 18.78, 19.07, 152.5, 0.1712, -1.442, -1.269
2, 1982, 3, 17, 1982, 3, 26, 1982, 3, 26, 10, -2.751, -2.265, -22.65, 0.2524, 0.08305, 0.006738, -0.8484, -0.4439, -4.439, 0.2379, 17.75, 18.32, 183.2, 0.2784, -1.446, -1.243
3, 1982, 3, 31, 1982, 4, 11, 1982, 5, 8, 39, -5.119, -3.156, -123.1, 0.8672, 0.2987, 0.0304, -3.123, -1.273, -49.64, 0.8354, 15.08, 16.88, 658.2, 0.7956, -2.564, -1.674
4, 1982, 6, 3, 1982, 6, 25, 1982, 7, 4, 32, -3.375, -2.318, -74.17, 0.5348, 0.09945, 0.01268, -2.114, -0.9944, -31.82, 0.5503, 14.89, 16.18, 517.7, 0.6282, -2.675, -1.761
5, 1982, 7, 15, 1982, 7, 19, 1982, 8, 18, 35, -3.024, -1.637, -57.3, 0.4494, 0.4145, 0.01001, -1.876, -0.5587, -19.55, 0.4314, 14.78, 16.07, 562.3, 0.4211, -2.635, -1.513
6, 1982, 9, 2, 1982, 9, 5, 1982, 9, 6, 5, -1.66, -1.414, -7.07, 0.1241, 0.1333, 0.002181, -0.6255, -0.3773, -1.887, 0.1251, 15.96, 16.19, 80.97, 0.1203, -1.605, -1.364
7, 1982, 9, 17, 1982, 9, 23, 1982, 9, 26, 10, -1.708, -1.403, -14.03, 0.2144, 0.1791, 0.002899, -0.7327, -0.4271, -4.271, 0.215, 16.12, 16.41, 164.1, 0.2098, -1.751, -1.438
8, 1982, 10, 7, 1982, 10, 8, 1982, 10, 11, 5, -2.037, -1.853, -9.263, 0.1286, 0.6246, 0.003139, -0.9575, -0.7613, -3.807, 0.1284, 15.88, 16.07, 80.35, 0.1281, -1.887, -1.698
9, 1982, 10, 19, 1982, 10, 24, 1982, 11, 16, 29, -2.726, -2.277, -66.04, 0.3442, 0.2787, 0.003438, -1.35, -0.7753, -22.48, 0.3288, 15.34, 16.06, 465.8, 0.3581, -1.981, -1.52
10, 1982, 11, 30, 1982, 12, 3, 1982, 12, 5, 6, -2.411, -2.096, -12.58, 0.2008, 0.2116, 0.001927, -0.8012, -0.4874, -2.924, 0.2024, 17.05, 17.35, 104.1, 0.1634, -1.498, -1.303
11, 1982, 12, 12, 1982, 12, 15, 1982, 12, 20, 9, -3.241, -2.459, -22.13, 0.4412, 0.4391, 0.005283, -1.707, -0.9393, -8.454, 0.424, 16.63, 17.46, 157.1, 0.5078, -2.112, -1.615
12, 1983, 1, 15, 1983, 1, 15, 1983, 1, 19, 5, -2.621, -2.174, -10.87, 0.3896, 1.356, 0.003135, -1.321, -0.8563, -4.282, 0.4027, 18.37, 18.86, 94.32, 0.4211, -2.017, -1.653
13, 1983, 5, 17, 1983, 5, 20, 1983, 5, 23, 7, -2.542, -1.93, -13.51, 0.276, 0.2723, 0.001932, -0.9912, -0.3768, -2.637, 0.2797, 16.86, 17.47, 122.3, 0.2942, -1.639, -1.243
