# Marine coldspell statistics for individual detected events at Kommetjie
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 3, 10, 1982, 3, 13, 1982, 3, 21, 12, -5.26, -3.775, -45.3, 1.03, 0.8305, 0.04191, -3.303, -1.838, -22.06, 1.011, 12.64, 14.05, 168.6, 0.9607, -2.687, -1.945
2, 1982, 4, 29, 1982, 4, 30, 1982, 5, 3, 5, -2.259, -2.049, -10.24, 0.1633, 0.2744, 0.00488, -0.6081, -0.4056, -2.028, 0.1549, 13.92, 14.12, 70.6, 0.1519, -1.368, -1.246
3, 1982, 6, 8, 1982, 6, 24, 1982, 6, 26, 19, -2.31, -1.66, -31.54, 0.4302, 0.0729, 0.007444, -1.171, -0.5126, -9.739, 0.4316, 12.95, 13.75, 261.2, 0.4791, -2.028, -1.447
4, 1982, 7, 3, 1982, 7, 18, 1982, 7, 22, 20, -2.057, -1.494, -29.87, 0.2979, 0.03851, 0.005198, -0.9739, -0.404, -8.08, 0.2953, 12.85, 13.48, 269.6, 0.3077, -1.899, -1.37
5, 1982, 8, 31, 1982, 9, 7, 1982, 9, 11, 12, -1.912, -1.441, -17.3, 0.3103, 0.1489, 0.004994, -1.016, -0.5396, -6.475, 0.313, 13.13, 13.59, 163.0, 0.3057, -2.134, -1.6
6, 1982, 9, 15, 1982, 9, 19, 1982, 10, 1, 17, -3.045, -1.976, -33.6, 0.7701, 0.43, 0.008288, -2.216, -1.147, -19.5, 0.7683, 12.11, 13.22, 224.8, 0.7947, -3.673, -2.381
7, 1982, 10, 6, 1982, 11, 15, 1982, 12, 8, 64, -3.66, -2.164, -138.5, 0.6142, 0.06702, 0.007608, -2.397, -0.9056, -57.96, 0.6493, 12.81, 14.03, 897.6, 0.8823, -2.897, -1.757
8, 1982, 12, 12, 1982, 12, 12, 1982, 12, 16, 5, -2.447, -2.144, -10.72, 0.1583, 0.9433, 0.004253, -0.7792, -0.4667, -2.333, 0.1641, 15.1, 15.49, 77.45, 0.2137, -1.467, -1.279
9, 1983, 1, 14, 1983, 1, 14, 1983, 1, 18, 5, -1.518, -1.49, -7.45, 0.02994, 0.7554, 0.000903, -0.1497, -0.1172, -0.5859, 0.02852, 17.11, 17.16, 85.82, 0.032, -1.109, -1.085
10, 1983, 5, 16, 1983, 5, 19, 1983, 5, 23, 8, -3.0, -2.343, -18.75, 0.4684, 0.4009, 0.003128, -1.671, -1.022, -8.172, 0.4676, 13.04, 13.69, 109.5, 0.4617, -2.259, -1.774
11, 1983, 6, 6, 1983, 6, 12, 1983, 6, 16, 11, -1.807, -1.505, -16.56, 0.206, 0.09389, 0.001333, -0.6554, -0.3563, -3.92, 0.2037, 13.71, 14.03, 154.4, 0.2447, -1.569, -1.31
12, 1983, 6, 30, 1983, 7, 1, 1983, 7, 5, 6, -2.18, -1.643, -9.861, 0.345, 0.5367, 0.001861, -1.05, -0.5203, -3.122, 0.339, 12.96, 13.47, 80.83, 0.3254, -1.929, -1.462
13, 1983, 9, 7, 1983, 9, 11, 1983, 9, 13, 7, -1.966, -1.624, -11.37, 0.327, 0.2142, 0.001738, -1.089, -0.7429, -5.2, 0.3277, 13.11, 13.44, 94.11, 0.3255, -2.242, -1.844
14, 1983, 9, 19, 1983, 10, 5, 1983, 10, 7, 19, -1.962, -1.281, -24.33, 0.3408, 0.058, 0.001212, -1.058, -0.4322, -8.212, 0.3113, 13.36, 13.97, 265.5, 0.3079, -2.171, -1.498
15, 1983, 10, 11, 1983, 11, 13, 1983, 11, 22, 43, -4.279, -2.318, -99.69, 0.9027, 0.0984, 0.004634, -3.028, -1.126, -48.42, 0.858, 12.11, 13.64, 586.6, 0.7419, -3.422, -1.923
