# Marine coldspell statistics for individual detected events at Mossel_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 4, 3, 1982, 4, 11, 1982, 4, 24, 22, -2.973, -2.332, -51.31, 0.3987, 0.1764, 0.01396, -1.572, -0.9579, -21.07, 0.3953, 16.05, 16.6, 365.2, 0.4643, -2.122, -1.699
2, 1982, 4, 28, 1982, 4, 29, 1982, 5, 7, 10, -2.873, -2.354, -23.54, 0.5418, 0.8106, 0.01541, -1.653, -1.15, -11.5, 0.5386, 15.51, 15.97, 159.7, 0.5063, -2.355, -1.954
3, 1982, 6, 3, 1982, 6, 20, 1982, 7, 25, 53, -2.373, -1.627, -86.23, 0.3162, 0.04938, 0.006425, -1.113, -0.4468, -23.68, 0.2832, 14.92, 15.53, 823.3, 0.3325, -1.884, -1.375
4, 1982, 7, 30, 1982, 8, 4, 1982, 8, 17, 19, -1.97, -1.516, -28.81, 0.1931, 0.1515, 0.003832, -0.864, -0.4208, -7.995, 0.1888, 14.82, 15.26, 290.0, 0.188, -1.782, -1.384
5, 1982, 9, 21, 1982, 9, 24, 1982, 9, 25, 5, -1.505, -1.296, -6.478, 0.1386, 0.1735, 0.001631, -0.5389, -0.3328, -1.664, 0.1365, 15.7, 15.89, 79.45, 0.124, -1.558, -1.345
6, 1982, 10, 7, 1982, 10, 15, 1982, 11, 2, 27, -2.045, -1.574, -42.49, 0.3231, 0.1431, 0.003054, -1.029, -0.5265, -14.22, 0.3196, 15.54, 16.14, 435.7, 0.3259, -2.013, -1.504
7, 1982, 11, 8, 1982, 11, 21, 1982, 11, 27, 20, -2.212, -1.741, -34.83, 0.2206, 0.07633, 0.002368, -0.7587, -0.3377, -6.754, 0.2005, 16.61, 16.94, 338.8, 0.2746, -1.522, -1.24
8, 1982, 12, 12, 1982, 12, 15, 1982, 12, 20, 9, -2.301, -1.819, -16.37, 0.3415, 0.2598, 0.003107, -0.9141, -0.4403, -3.963, 0.3423, 17.66, 18.2, 163.8, 0.3621, -1.659, -1.32
9, 1983, 5, 16, 1983, 5, 25, 1983, 6, 1, 17, -2.48, -1.627, -27.65, 0.3095, 0.1633, 0.00247, -1.246, -0.3858, -6.559, 0.3162, 15.39, 16.26, 276.5, 0.3083, -2.009, -1.312
10, 1983, 6, 25, 1983, 7, 1, 1983, 7, 3, 9, -2.063, -1.681, -15.13, 0.1977, 0.1064, 0.001309, -0.874, -0.4767, -4.291, 0.2054, 14.99, 15.41, 138.7, 0.2201, -1.735, -1.397
11, 1983, 7, 7, 1983, 7, 17, 1983, 7, 19, 13, -1.861, -1.462, -19.01, 0.2448, 0.06584, 0.001888, -0.8089, -0.3751, -4.876, 0.2512, 15.03, 15.45, 200.9, 0.2491, -1.769, -1.347
12, 1983, 8, 7, 1983, 8, 7, 1983, 8, 13, 7, -1.759, -1.367, -9.567, 0.2128, 0.8205, 0.00112, -0.6524, -0.2659, -1.861, 0.2094, 15.02, 15.4, 107.8, 0.2096, -1.59, -1.241
13, 1983, 9, 10, 1983, 9, 12, 1983, 9, 15, 6, -1.303, -1.169, -7.014, 0.1328, 0.2765, 0.0005355, -0.3548, -0.2205, -1.323, 0.1329, 15.66, 15.81, 94.84, 0.1417, -1.374, -1.233
14, 1984, 1, 18, 1984, 1, 22, 1984, 1, 24, 7, -1.986, -1.486, -10.4, 0.2331, 0.1665, 0.001497, -0.8412, -0.3467, -2.427, 0.231, 19.34, 19.82, 138.7, 0.2265, -1.735, -1.304
