# Marine coldspell statistics for individual detected events at Pollock_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 2, 20, 1982, 2, 26, 1982, 3, 13, 22, -2.731, -2.158, -47.47, 0.3718, 0.1535, 0.009196, -0.9605, -0.3541, -7.791, 0.378, 18.66, 19.13, 420.9, 0.3799, -1.542, -1.197
2, 1982, 3, 17, 1982, 3, 26, 1982, 3, 27, 11, -3.909, -2.722, -29.94, 0.4901, 0.211, 0.0238, -1.927, -0.7916, -8.707, 0.4625, 16.94, 18.2, 200.1, 0.5305, -1.972, -1.407
3, 1982, 3, 31, 1982, 4, 9, 1982, 5, 8, 39, -5.603, -3.464, -135.1, 0.8729, 0.3826, 0.03034, -3.539, -1.45, -56.57, 0.8596, 14.95, 16.87, 657.9, 0.799, -2.715, -1.72
4, 1982, 6, 3, 1982, 6, 24, 1982, 7, 9, 37, -3.834, -2.532, -93.68, 0.7905, 0.1382, 0.01542, -2.478, -1.125, -41.63, 0.7673, 14.74, 16.17, 598.3, 0.7518, -2.828, -1.797
5, 1982, 7, 15, 1982, 7, 19, 1982, 8, 18, 35, -3.263, -1.871, -65.47, 0.4706, 0.4094, 0.00956, -1.989, -0.6885, -24.1, 0.4462, 14.82, 16.08, 563.0, 0.4415, -2.56, -1.578
6, 1982, 8, 25, 1982, 8, 26, 1982, 9, 10, 17, -2.27, -1.587, -26.98, 0.2969, 0.7997, 0.003463, -1.159, -0.4819, -8.192, 0.297, 15.46, 16.21, 275.5, 0.3002, -2.043, -1.436
7, 1982, 9, 17, 1982, 9, 25, 1982, 9, 27, 11, -2.442, -1.809, -19.9, 0.4039, 0.1792, 0.00526, -1.401, -0.7633, -8.396, 0.4062, 15.59, 16.19, 178.1, 0.3972, -2.344, -1.731
8, 1982, 10, 6, 1982, 11, 5, 1982, 11, 16, 42, -3.519, -2.318, -97.36, 0.647, 0.0808, 0.005845, -1.914, -0.9455, -39.71, 0.5645, 15.14, 16.14, 678.0, 0.6028, -2.193, -1.699
9, 1982, 11, 29, 1982, 12, 3, 1982, 12, 5, 7, -2.51, -2.147, -15.03, 0.2138, 0.1961, 0.002147, -0.9019, -0.537, -3.759, 0.2166, 17.19, 17.52, 122.6, 0.1784, -1.561, -1.334
10, 1982, 12, 12, 1982, 12, 15, 1982, 12, 20, 9, -3.279, -2.522, -22.7, 0.3671, 0.4586, 0.004818, -1.752, -1.005, -9.048, 0.3581, 16.79, 17.59, 158.3, 0.416, -2.148, -1.662
11, 1983, 1, 13, 1983, 1, 16, 1983, 1, 22, 10, -3.187, -2.245, -22.45, 0.6338, 0.5322, 0.004886, -1.812, -0.865, -8.65, 0.6326, 18.04, 19.01, 190.1, 0.6396, -2.317, -1.626
12, 1983, 5, 6, 1983, 5, 20, 1983, 5, 23, 18, -3.03, -2.289, -41.2, 0.2692, 0.06851, 0.00235, -1.367, -0.5515, -9.927, 0.3189, 16.68, 17.54, 315.7, 0.3532, -1.822, -1.324
13, 1983, 6, 29, 1983, 7, 4, 1983, 7, 10, 12, -2.777, -1.896, -22.75, 0.4106, 0.309, 0.002785, -1.505, -0.6155, -7.386, 0.4162, 15.48, 16.36, 196.3, 0.4134, -2.182, -1.482
14, 1983, 7, 16, 1983, 7, 19, 1983, 7, 20, 5, -2.113, -1.879, -9.397, 0.2141, 0.3604, 0.001234, -0.8386, -0.5978, -2.989, 0.2212, 15.97, 16.21, 81.03, 0.2166, -1.658, -1.468
15, 1983, 8, 7, 1983, 8, 13, 1983, 8, 15, 9, -1.509, -1.366, -12.29, 0.1156, 0.07809, 0.0006166, -0.4021, -0.2536, -2.283, 0.1136, 16.3, 16.47, 148.2, 0.1118, -1.363, -1.228
16, 1983, 8, 22, 1983, 9, 3, 1983, 9, 5, 15, -1.987, -1.448, -21.73, 0.2069, 0.08157, 0.00151, -0.8819, -0.3406, -5.109, 0.2077, 15.81, 16.31, 244.6, 0.2045, -1.798, -1.308
17, 1983, 9, 12, 1983, 9, 15, 1983, 9, 16, 5, -1.624, -1.407, -7.034, 0.165, 0.1481, 0.0009015, -0.557, -0.3337, -1.669, 0.1699, 16.31, 16.52, 82.58, 0.1572, -1.522, -1.312
18, 1983, 10, 29, 1983, 11, 1, 1983, 11, 4, 7, -3.0, -2.325, -16.27, 0.4261, 0.5213, 0.002169, -1.472, -0.7991, -5.594, 0.425, 15.51, 16.19, 113.3, 0.4324, -1.964, -1.524
19, 1984, 1, 14, 1984, 1, 26, 1984, 2, 16, 34, -3.15, -2.442, -83.02, 0.5268, 0.1466, 0.001891, -1.684, -0.9429, -32.06, 0.5648, 18.26, 18.99, 645.7, 0.5656, -2.149, -1.642
20, 1984, 3, 1, 1984, 3, 20, 1984, 4, 10, 41, -4.591, -3.002, -123.1, 0.7049, 0.1936, 0.002921, -2.695, -1.075, -44.08, 0.6896, 16.36, 17.93, 735.2, 0.7951, -2.422, -1.557
21, 1984, 4, 15, 1984, 4, 17, 1984, 4, 19, 5, -3.304, -2.707, -13.53, 0.4204, 0.4795, 0.001858, -1.152, -0.5592, -2.796, 0.4176, 17.05, 17.65, 88.24, 0.4251, -1.536, -1.26
22, 1984, 4, 24, 1984, 4, 24, 1984, 4, 28, 5, -2.848, -2.626, -13.13, 0.1672, 1.38, 0.0009463, -0.8297, -0.6468, -3.234, 0.141, 17.36, 17.54, 87.72, 0.1418, -1.411, -1.326
23, 1984, 5, 4, 1984, 5, 9, 1984, 5, 12, 9, -3.285, -2.709, -24.38, 0.421, 0.2102, 0.002131, -1.469, -0.8784, -7.905, 0.4203, 16.66, 17.25, 155.3, 0.4207, -1.809, -1.48
24, 1984, 5, 28, 1984, 6, 8, 1984, 6, 17, 21, -2.788, -1.929, -40.52, 0.3912, 0.1318, 0.001642, -1.224, -0.3622, -7.606, 0.3821, 16.38, 17.25, 362.3, 0.3979, -1.783, -1.231
25, 1984, 6, 30, 1984, 7, 15, 1984, 8, 14, 46, -3.264, -2.09, -96.16, 0.5269, 0.1508, 0.002016, -1.965, -0.8685, -39.95, 0.5094, 14.83, 15.96, 734.3, 0.5143, -2.513, -1.709
26, 1984, 10, 3, 1984, 10, 5, 1984, 10, 25, 23, -3.751, -2.661, -61.21, 0.7396, 1.019, 0.002493, -2.709, -1.54, -35.41, 0.7859, 14.35, 15.52, 357.0, 0.7751, -3.6, -2.412
27, 1984, 11, 8, 1984, 11, 8, 1984, 11, 27, 20, -4.248, -3.003, -60.05, 0.4957, 3.494, 0.002227, -2.599, -1.316, -26.32, 0.5032, 14.54, 16.16, 323.3, 0.6565, -2.577, -1.782
28, 1988, 3, 12, 1988, 3, 16, 1988, 3, 17, 6, -3.084, -2.798, -16.79, 0.2404, 0.2461, 0.000509, -1.208, -0.9242, -5.545, 0.2381, 17.94, 18.25, 109.5, 0.2607, -1.644, -1.493
29, 1995, 7, 14, 1995, 7, 16, 1995, 7, 19, 6, -1.55, -1.411, -8.468, 0.1001, 0.1475, 0.0001573, -0.2557, -0.1214, -0.7283, 0.09687, 16.54, 16.68, 100.1, 0.1001, -1.198, -1.094
30, 1996, 10, 1, 1996, 10, 4, 1996, 10, 5, 5, -1.856, -1.484, -7.42, 0.2353, 0.2176, 0.0001451, -0.8136, -0.4409, -2.205, 0.2357, 16.24, 16.61, 83.03, 0.2319, -1.781, -1.423
31, 2003, 9, 9, 2003, 9, 21, 2003, 9, 24, 16, -1.724, -1.373, -21.97, 0.1614, 0.05063, 8.408e-05, -0.6783, -0.3094, -4.95, 0.1762, 16.27, 16.57, 265.2, 0.1288, -1.649, -1.293
32, 2004, 7, 4, 2004, 7, 6, 2004, 7, 8, 5, -1.747, -1.601, -8.005, 0.1399, 0.1704, 5.228e-05, -0.4662, -0.32, -1.6, 0.1402, 16.46, 16.61, 83.04, 0.1444, -1.364, -1.25
33, 2007, 4, 8, 2007, 4, 9, 2007, 4, 18, 11, -3.873, -3.214, -35.36, 0.2917, 0.9923, 0.0001687, -1.809, -1.096, -12.05, 0.3188, 16.68, 17.24, 189.6, 0.2343, -1.877, -1.519
34, 2007, 4, 24, 2007, 4, 28, 2007, 5, 1, 8, -3.664, -2.793, -22.34, 0.4062, 0.3481, 0.0002357, -1.722, -0.8387, -6.709, 0.4168, 16.47, 17.35, 138.8, 0.4153, -1.887, -1.431
35, 2008, 1, 15, 2008, 1, 16, 2008, 1, 19, 5, -3.427, -2.592, -12.96, 0.6475, 1.216, 0.000265, -2.052, -1.211, -6.056, 0.6534, 17.8, 18.66, 93.29, 0.673, -2.492, -1.879
36, 2008, 2, 24, 2008, 2, 25, 2008, 2, 28, 5, -2.74, -2.267, -11.34, 0.3077, 0.6017, 0.0001372, -0.9718, -0.4961, -2.481, 0.3109, 18.67, 19.12, 95.62, 0.2853, -1.55, -1.28
37, 2008, 4, 2, 2008, 4, 3, 2008, 4, 6, 5, -3.715, -3.1, -15.5, 0.3741, 0.835, 0.0001497, -1.716, -1.093, -5.467, 0.3805, 16.98, 17.57, 87.86, 0.3537, -1.858, -1.546
38, 2008, 5, 29, 2008, 6, 20, 2008, 7, 8, 41, -3.247, -2.338, -95.84, 0.5071, 0.06701, 0.0002137, -1.849, -0.8976, -36.8, 0.4831, 15.47, 16.46, 675.0, 0.5246, -2.322, -1.627
39, 2008, 12, 23, 2009, 1, 2, 2009, 1, 8, 17, -2.774, -1.972, -33.53, 0.4495, 0.1491, 0.0001628, -1.474, -0.6273, -10.66, 0.4492, 18.04, 18.75, 318.8, 0.5241, -2.133, -1.468
40, 2009, 2, 11, 2009, 2, 13, 2009, 2, 18, 8, -4.53, -3.155, -25.24, 1.044, 1.32, 0.000283, -2.952, -1.548, -12.39, 1.061, 17.02, 18.39, 147.1, 1.039, -2.871, -1.971
41, 2009, 3, 2, 2009, 3, 5, 2009, 3, 8, 7, -2.896, -2.565, -17.95, 0.2255, 0.3527, 0.0001149, -1.071, -0.7405, -5.184, 0.2301, 18.34, 18.67, 130.7, 0.2137, -1.587, -1.406
42, 2009, 4, 24, 2009, 5, 2, 2009, 5, 3, 10, -2.8, -2.33, -23.3, 0.2749, 0.1544, 8.028e-05, -0.9079, -0.3893, -3.893, 0.2903, 17.26, 17.79, 177.9, 0.2975, -1.48, -1.202
43, 2009, 5, 15, 2009, 5, 17, 2009, 6, 1, 18, -3.825, -2.606, -46.91, 0.68, 0.8211, 0.0002482, -2.137, -0.9411, -16.94, 0.6753, 15.96, 17.0, 306.1, 0.6381, -2.266, -1.564
44, 2009, 9, 1, 2009, 9, 4, 2009, 9, 5, 5, -1.618, -1.301, -6.506, 0.1902, 0.1675, 5.021e-05, -0.5126, -0.196, -0.98, 0.1904, 16.19, 16.5, 82.48, 0.1785, -1.464, -1.177
45, 2009, 10, 27, 2009, 10, 29, 2009, 11, 7, 12, -4.163, -2.83, -33.96, 0.6102, 0.9498, 0.0002475, -2.705, -1.299, -15.59, 0.6561, 14.26, 15.71, 188.5, 0.6857, -2.854, -1.865
46, 2009, 11, 18, 2009, 11, 26, 2009, 11, 29, 12, -3.164, -2.418, -29.02, 0.4539, 0.1807, 0.0001541, -1.524, -0.7518, -9.021, 0.4503, 16.31, 16.97, 203.6, 0.4863, -1.93, -1.451
47, 2009, 12, 12, 2009, 12, 17, 2009, 12, 18, 7, -2.914, -2.364, -16.55, 0.4228, 0.2518, 8.657e-05, -1.41, -0.8369, -5.859, 0.4436, 17.23, 17.71, 124.0, 0.3581, -1.937, -1.552
48, 2010, 1, 13, 2010, 1, 14, 2010, 1, 31, 19, -2.846, -1.828, -34.74, 0.3598, 0.9974, 0.0001049, -1.485, -0.4002, -7.603, 0.3657, 18.33, 19.51, 370.6, 0.3886, -2.091, -1.283
49, 2010, 3, 12, 2010, 3, 13, 2010, 3, 16, 5, -2.588, -2.338, -11.69, 0.2546, 0.651, 7.941e-05, -0.7139, -0.4658, -2.329, 0.2522, 18.49, 18.72, 93.61, 0.2658, -1.381, -1.249
50, 2010, 3, 23, 2010, 3, 26, 2010, 3, 27, 5, -2.399, -2.194, -10.97, 0.1669, 0.1664, 4.613e-05, -0.4174, -0.2234, -1.117, 0.1526, 18.45, 18.67, 93.36, 0.1881, -1.211, -1.113
