# Marine coldspell statistics for individual detected events at Port_Nolloth
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 2, 28, 1982, 3, 15, 1982, 3, 18, 19, -2.912, -2.18, -41.42, 0.47, 0.08416, 0.02367, -1.528, -0.8388, -15.94, 0.4703, 14.31, 15.23, 289.4, 0.5261, -2.104, -1.627
2, 1982, 3, 30, 1982, 4, 3, 1982, 4, 4, 6, -2.368, -1.999, -11.99, 0.3382, 0.1958, 0.01151, -1.107, -0.7142, -4.285, 0.3433, 14.19, 14.61, 87.68, 0.3577, -1.877, -1.557
3, 1982, 4, 12, 1982, 5, 4, 1982, 5, 8, 27, -2.449, -1.623, -43.83, 0.4204, 0.06772, 0.01031, -1.543, -0.6241, -16.85, 0.4792, 12.93, 14.06, 379.7, 0.6391, -2.702, -1.66
4, 1982, 5, 24, 1982, 5, 27, 1982, 6, 1, 9, -1.913, -1.524, -13.71, 0.3671, 0.3087, 0.006643, -1.04, -0.6465, -5.819, 0.3665, 12.9, 13.26, 119.4, 0.3875, -2.192, -1.737
5, 1982, 6, 18, 1982, 6, 19, 1982, 6, 29, 12, -1.738, -1.333, -15.99, 0.1753, 0.6126, 0.004285, -0.8515, -0.4511, -5.414, 0.174, 12.54, 12.87, 154.4, 0.1552, -1.961, -1.511
6, 1982, 7, 10, 1982, 7, 12, 1982, 7, 15, 6, -1.077, -0.9663, -5.798, 0.08573, 0.1216, 0.001702, -0.2465, -0.1382, -0.8294, 0.08531, 12.87, 12.97, 77.84, 0.08812, -1.297, -1.167
7, 1982, 7, 30, 1982, 9, 29, 1982, 10, 3, 66, -2.173, -1.272, -83.95, 0.389, 0.0216, 0.00588, -1.307, -0.42, -27.72, 0.3811, 12.43, 12.84, 847.6, 0.3976, -2.51, -1.49
8, 1982, 10, 9, 1982, 10, 11, 1982, 10, 22, 14, -1.965, -1.498, -20.97, 0.3057, 0.4337, 0.003196, -1.026, -0.5456, -7.638, 0.3085, 12.97, 13.57, 189.9, 0.3298, -2.092, -1.574
9, 1982, 10, 31, 1982, 11, 2, 1982, 11, 4, 5, -1.912, -1.614, -8.069, 0.2236, 0.3301, 0.002686, -0.8155, -0.5179, -2.59, 0.2239, 13.75, 14.04, 70.22, 0.2352, -1.743, -1.473
10, 1982, 11, 24, 1982, 11, 26, 1982, 12, 5, 12, -2.409, -2.025, -24.3, 0.2538, 0.4394, 0.0019, -1.13, -0.7139, -8.567, 0.254, 14.1, 14.63, 175.5, 0.2869, -1.884, -1.545
