# Marine coldspell statistics for individual detected events at Sea_Point
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 3, 6, 1982, 3, 13, 1982, 3, 19, 14, -4.929, -3.632, -50.84, 0.8533, 0.3251, 0.04265, -2.851, -1.541, -21.58, 0.8621, 12.76, 14.07, 197.0, 0.8647, -2.372, -1.74
2, 1982, 4, 29, 1982, 4, 30, 1982, 5, 4, 6, -2.534, -2.232, -13.39, 0.194, 0.3707, 0.00665, -0.7683, -0.47, -2.82, 0.1899, 13.67, 13.97, 83.81, 0.1912, -1.435, -1.267
3, 1982, 5, 9, 1982, 5, 11, 1982, 5, 13, 5, -3.164, -2.598, -12.99, 0.4826, 0.8689, 0.01104, -1.502, -0.939, -4.695, 0.469, 13.03, 13.59, 67.97, 0.4819, -1.904, -1.564
4, 1982, 6, 8, 1982, 6, 24, 1982, 6, 27, 20, -2.833, -1.894, -37.88, 0.4487, 0.1078, 0.01086, -1.769, -0.8047, -16.09, 0.4549, 12.7, 13.76, 275.2, 0.4839, -2.662, -1.742
5, 1982, 8, 28, 1982, 9, 8, 1982, 9, 11, 15, -2.001, -1.456, -21.85, 0.4114, 0.09787, 0.005012, -1.11, -0.5679, -8.518, 0.409, 13.23, 13.76, 206.3, 0.3987, -2.247, -1.638
6, 1982, 9, 15, 1982, 9, 18, 1982, 10, 2, 18, -2.661, -1.896, -34.13, 0.4671, 0.3854, 0.005716, -1.762, -0.9724, -17.5, 0.4862, 12.61, 13.4, 241.3, 0.4846, -2.961, -2.064
7, 1982, 10, 6, 1982, 11, 16, 1982, 11, 18, 44, -3.507, -2.13, -93.72, 0.5492, 0.06273, 0.007674, -2.163, -0.9178, -40.38, 0.5283, 12.9, 13.64, 600.1, 0.5739, -2.61, -1.756
8, 1982, 11, 25, 1982, 11, 27, 1982, 11, 29, 5, -2.479, -2.235, -11.17, 0.2076, 0.3002, 0.002053, -0.8816, -0.6394, -3.197, 0.2124, 14.29, 14.53, 72.67, 0.2206, -1.552, -1.401
9, 1983, 5, 15, 1983, 5, 19, 1983, 5, 23, 9, -3.402, -2.522, -22.7, 0.603, 0.3539, 0.004243, -1.967, -1.086, -9.777, 0.6216, 12.77, 13.65, 122.8, 0.6022, -2.371, -1.765
10, 1983, 5, 27, 1983, 5, 30, 1983, 6, 1, 6, -1.778, -1.584, -9.505, 0.2047, 0.2286, 0.001233, -0.5745, -0.3728, -2.237, 0.2238, 14.23, 14.44, 86.63, 0.2317, -1.477, -1.311
