# Marine coldspell statistics for individual detected events at Tsitsikamma_West
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 2, 24, 1982, 4, 18, 1982, 5, 7, 73, -4.405, -2.534, -185.0, 0.8174, 0.05213, 0.03813, -3.006, -1.131, -82.59, 0.8293, 14.5, 17.05, 1.245e+03, 1.371, -3.149, -1.815
2, 1982, 6, 5, 1982, 6, 10, 1982, 7, 11, 37, -2.822, -2.138, -79.12, 0.462, 0.2842, 0.008349, -1.608, -0.9164, -33.91, 0.456, 15.25, 15.66, 579.3, 0.4329, -2.325, -1.748
3, 1982, 7, 16, 1982, 7, 18, 1982, 7, 26, 11, -2.118, -1.564, -17.2, 0.3268, 0.3268, 0.005211, -0.9717, -0.4518, -4.97, 0.302, 15.25, 15.77, 173.4, 0.2972, -1.848, -1.401
4, 1982, 7, 30, 1982, 7, 31, 1982, 8, 6, 8, -1.983, -1.715, -13.72, 0.2035, 0.6077, 0.004725, -0.9624, -0.7056, -5.645, 0.2013, 15.22, 15.46, 123.7, 0.1991, -1.943, -1.698
5, 1982, 9, 4, 1982, 9, 9, 1982, 9, 9, 6, -1.492, -1.295, -7.771, 0.1346, 0.107, 0.001271, -0.5554, -0.3647, -2.188, 0.1325, 15.7, 15.87, 95.21, 0.127, -1.593, -1.392
6, 1982, 10, 6, 1982, 10, 16, 1982, 10, 22, 17, -2.155, -1.698, -28.86, 0.3317, 0.09416, 0.003361, -1.014, -0.5732, -9.744, 0.3155, 15.41, 15.86, 269.6, 0.3205, -1.889, -1.507
7, 1982, 10, 27, 1982, 11, 2, 1982, 11, 2, 7, -2.037, -1.625, -11.38, 0.2564, 0.1295, 0.001705, -0.8001, -0.4124, -2.887, 0.2438, 15.88, 16.2, 113.4, 0.2042, -1.647, -1.338
8, 1982, 11, 11, 1982, 11, 17, 1982, 11, 24, 14, -2.987, -2.092, -29.29, 0.4762, 0.262, 0.005215, -1.621, -0.7196, -10.07, 0.4799, 15.57, 16.48, 230.7, 0.532, -2.187, -1.525
9, 1983, 5, 16, 1983, 5, 25, 1983, 5, 25, 10, -2.206, -1.607, -16.07, 0.3442, 0.1046, 0.001522, -0.9473, -0.3619, -3.619, 0.3358, 16.23, 16.91, 169.1, 0.3898, -1.753, -1.289
10, 1983, 6, 30, 1983, 7, 4, 1983, 7, 16, 17, -2.16, -1.584, -26.93, 0.2816, 0.223, 0.002142, -0.9374, -0.3812, -6.481, 0.2785, 15.39, 15.92, 270.6, 0.2887, -1.767, -1.317
11, 1983, 8, 6, 1983, 8, 8, 1983, 8, 29, 24, -2.283, -1.661, -39.87, 0.5234, 0.5395, 0.00231, -1.303, -0.7155, -17.17, 0.5142, 14.83, 15.41, 369.8, 0.5208, -2.329, -1.752
12, 1983, 9, 14, 1983, 9, 18, 1983, 9, 20, 7, -1.955, -1.709, -11.97, 0.164, 0.157, 0.001175, -1.001, -0.7559, -5.291, 0.1638, 15.37, 15.6, 109.2, 0.1578, -2.049, -1.793
13, 1983, 10, 22, 1983, 10, 23, 1983, 10, 27, 6, -2.066, -1.705, -10.23, 0.2359, 0.6774, 0.001199, -0.8746, -0.5117, -3.07, 0.236, 15.59, 15.98, 95.88, 0.2418, -1.734, -1.429
14, 1984, 1, 12, 1984, 1, 22, 1984, 1, 28, 17, -3.423, -2.302, -39.14, 0.6303, 0.1984, 0.002801, -2.193, -1.077, -18.3, 0.6443, 17.57, 18.65, 317.0, 0.6373, -2.783, -1.886
15, 1984, 2, 1, 1984, 2, 8, 1984, 2, 8, 8, -2.44, -1.942, -15.53, 0.3397, 0.1524, 0.0008048, -1.025, -0.5503, -4.402, 0.3378, 18.6, 19.12, 153.0, 0.3407, -1.724, -1.395
16, 1984, 2, 26, 1984, 3, 2, 1984, 3, 3, 7, -2.203, -1.929, -13.5, 0.1775, 0.1214, 0.0008406, -0.7437, -0.4614, -3.23, 0.18, 18.37, 18.69, 130.8, 0.1918, -1.51, -1.315
