# Marine coldspell statistics for individual detected events at Ystervarkpunt
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 4, 3, 1982, 4, 11, 1982, 4, 24, 22, -2.665, -2.128, -46.82, 0.28, 0.1546, 0.01112, -1.28, -0.7673, -16.88, 0.2745, 16.7, 17.15, 377.3, 0.353, -1.924, -1.565
2, 1982, 4, 28, 1982, 5, 3, 1982, 5, 7, 10, -2.645, -2.263, -22.63, 0.4186, 0.1845, 0.0111, -1.44, -1.049, -10.49, 0.4174, 16.02, 16.42, 164.2, 0.3852, -2.195, -1.863
3, 1982, 6, 3, 1982, 6, 12, 1982, 6, 24, 22, -2.11, -1.801, -39.62, 0.2029, 0.05549, 0.00398, -0.8481, -0.5438, -11.96, 0.2029, 15.7, 15.97, 351.3, 0.2694, -1.672, -1.433
4, 1982, 7, 6, 1982, 7, 11, 1982, 7, 15, 10, -2.372, -1.877, -18.77, 0.3033, 0.188, 0.006478, -1.297, -0.789, -7.89, 0.3046, 14.82, 15.32, 153.2, 0.3001, -2.206, -1.726
5, 1982, 7, 22, 1982, 7, 31, 1982, 8, 17, 27, -2.097, -1.492, -40.29, 0.2877, 0.1061, 0.004635, -1.052, -0.4554, -12.3, 0.2887, 14.98, 15.57, 420.3, 0.2968, -2.007, -1.44
6, 1982, 9, 21, 1982, 9, 23, 1982, 9, 25, 5, -1.383, -1.248, -6.239, 0.1193, 0.1547, 0.001546, -0.3625, -0.228, -1.14, 0.1191, 16.04, 16.18, 80.9, 0.1082, -1.355, -1.224
7, 1982, 10, 8, 1982, 10, 31, 1982, 11, 2, 26, -2.35, -1.795, -46.67, 0.4053, 0.04686, 0.004335, -1.239, -0.7602, -19.77, 0.3914, 15.89, 16.16, 420.2, 0.3618, -2.116, -1.732
8, 1982, 11, 8, 1982, 11, 20, 1982, 11, 24, 17, -2.053, -1.736, -29.51, 0.1705, 0.05309, 0.00163, -0.6581, -0.3966, -6.742, 0.1822, 16.98, 17.13, 291.3, 0.266, -1.472, -1.299
9, 1982, 12, 15, 1982, 12, 15, 1982, 12, 20, 6, -2.136, -1.777, -10.66, 0.2052, 0.7446, 0.002266, -0.7332, -0.3819, -2.292, 0.1986, 18.04, 18.52, 111.1, 0.2821, -1.523, -1.273
10, 1983, 5, 18, 1983, 5, 25, 1983, 5, 26, 9, -2.503, -1.863, -16.77, 0.3687, 0.1653, 0.002035, -1.256, -0.6191, -5.572, 0.3679, 15.73, 16.44, 147.9, 0.4195, -2.008, -1.498
11, 1983, 6, 25, 1983, 7, 1, 1983, 7, 2, 8, -1.662, -1.357, -10.85, 0.1288, 0.08616, 0.0009088, -0.4865, -0.1606, -1.285, 0.1401, 15.68, 16.04, 128.3, 0.1618, -1.414, -1.136
12, 1983, 7, 9, 1983, 7, 11, 1983, 7, 18, 10, -1.562, -1.364, -13.64, 0.1158, 0.1837, 0.0008436, -0.4868, -0.2924, -2.924, 0.1165, 15.63, 15.81, 158.1, 0.1147, -1.453, -1.273
13, 1983, 7, 22, 1983, 7, 26, 1983, 7, 26, 5, -1.748, -1.566, -7.832, 0.1971, 0.2075, 0.0007604, -0.6893, -0.5, -2.5, 0.2015, 15.36, 15.55, 77.74, 0.2007, -1.651, -1.47
14, 1984, 2, 8, 1984, 2, 12, 1984, 2, 14, 7, -2.082, -1.796, -12.57, 0.1871, 0.1899, 0.0008662, -0.7261, -0.4592, -3.215, 0.1804, 19.44, 19.73, 138.1, 0.1963, -1.535, -1.343
15, 1984, 2, 20, 1984, 2, 21, 1984, 2, 24, 5, -2.207, -2.016, -10.08, 0.2362, 0.548, 0.001184, -0.7752, -0.5902, -2.951, 0.2307, 19.11, 19.27, 96.34, 0.2008, -1.542, -1.413
16, 1984, 3, 15, 1984, 3, 18, 1984, 3, 21, 7, -2.575, -2.026, -14.18, 0.3753, 0.3947, 0.001096, -1.204, -0.6541, -4.578, 0.3727, 17.89, 18.43, 129.0, 0.433, -1.878, -1.476
17, 1984, 3, 26, 1984, 3, 31, 1984, 4, 1, 7, -1.929, -1.717, -12.02, 0.1792, 0.07135, 0.001045, -0.4703, -0.2713, -1.899, 0.1869, 17.97, 18.27, 127.9, 0.1554, -1.322, -1.188
18, 1984, 4, 16, 1984, 4, 16, 1984, 4, 21, 6, -1.993, -1.764, -10.59, 0.1504, 0.7687, 0.000653, -0.6671, -0.4577, -2.746, 0.14, 17.16, 17.29, 103.8, 0.1044, -1.503, -1.35
19, 1984, 4, 26, 1984, 4, 26, 1984, 4, 30, 5, -1.384, -1.347, -6.733, 0.03409, 0.5085, 0.0003105, -0.1331, -0.1108, -0.5538, 0.02468, 17.44, 17.43, 87.14, 0.009695, -1.106, -1.089
20, 1984, 5, 15, 1984, 5, 19, 1984, 5, 22, 8, -1.903, -1.645, -13.16, 0.2251, 0.1454, 0.001206, -0.6606, -0.4007, -3.205, 0.2255, 16.47, 16.74, 133.9, 0.2377, -1.532, -1.322
21, 1984, 6, 5, 1984, 6, 7, 1984, 6, 15, 11, -1.949, -1.534, -16.87, 0.1953, 0.2734, 0.0008014, -0.6875, -0.2724, -2.996, 0.1953, 15.98, 16.32, 179.6, 0.1851, -1.545, -1.216
22, 1984, 9, 4, 1984, 9, 8, 1984, 9, 12, 9, -1.356, -1.176, -10.59, 0.1101, 0.0916, 0.0004928, -0.3485, -0.1699, -1.529, 0.1086, 15.8, 15.99, 143.9, 0.1156, -1.346, -1.169
23, 1984, 11, 9, 1984, 11, 10, 1984, 11, 14, 6, -2.005, -1.743, -10.46, 0.2268, 0.8956, 0.0006701, -0.7439, -0.4612, -2.767, 0.2191, 16.62, 16.94, 101.7, 0.2084, -1.59, -1.359
24, 1984, 11, 20, 1984, 11, 23, 1984, 11, 24, 5, -1.843, -1.701, -8.507, 0.07265, 0.1081, 0.0002921, -0.4244, -0.2907, -1.454, 0.06727, 17.32, 17.42, 87.09, 0.06375, -1.299, -1.206
25, 1985, 10, 29, 1985, 10, 30, 1985, 11, 2, 5, -1.393, -1.252, -6.261, 0.1058, 0.2971, 0.0002298, -0.2978, -0.141, -0.7048, 0.1076, 16.81, 16.99, 84.93, 0.1165, -1.272, -1.127
26, 1985, 12, 24, 1985, 12, 27, 1985, 12, 28, 5, -1.466, -1.429, -7.146, 0.02986, 0.07915, 0.0001819, -0.1642, -0.1137, -0.5685, 0.03421, 19.26, 19.25, 96.26, 0.06652, -1.126, -1.087
27, 1986, 2, 5, 1986, 2, 6, 1986, 2, 11, 7, -1.53, -1.461, -10.23, 0.05126, 0.1349, 0.0001226, -0.2788, -0.1748, -1.224, 0.08332, 20.05, 20.1, 140.7, 0.03573, -1.223, -1.138
28, 1987, 10, 21, 1987, 10, 24, 1987, 10, 29, 9, -1.833, -1.446, -13.01, 0.1974, 0.224, 0.0003326, -0.8115, -0.4088, -3.679, 0.2041, 16.18, 16.6, 149.4, 0.2228, -1.794, -1.396
29, 1987, 11, 12, 1987, 11, 20, 1987, 11, 21, 10, -2.158, -1.765, -17.65, 0.2001, 0.08548, 0.0004485, -0.7631, -0.4151, -4.151, 0.1972, 16.88, 17.12, 171.2, 0.2163, -1.547, -1.308
30, 1988, 2, 25, 1988, 3, 9, 1988, 3, 24, 29, -3.333, -2.404, -69.71, 0.4551, 0.1209, 0.0007881, -1.966, -1.028, -29.82, 0.4607, 17.46, 18.33, 531.6, 0.6156, -2.437, -1.749
31, 1988, 12, 10, 1988, 12, 12, 1988, 12, 19, 10, -2.084, -1.724, -17.24, 0.1968, 0.2167, 0.0003038, -0.6748, -0.3206, -3.206, 0.1923, 17.96, 18.43, 184.3, 0.2964, -1.479, -1.228
32, 1988, 12, 23, 1988, 12, 31, 1988, 12, 31, 9, -2.014, -1.78, -16.02, 0.1708, 0.08322, 0.000199, -0.778, -0.482, -4.338, 0.2034, 18.86, 18.94, 170.4, 0.1052, -1.63, -1.376
33, 1989, 2, 7, 1989, 2, 20, 1989, 2, 20, 14, -2.262, -1.969, -27.56, 0.2121, 0.06436, 0.000165, -0.8306, -0.6022, -8.43, 0.195, 19.08, 19.51, 273.2, 0.2587, -1.58, -1.44
34, 1989, 5, 13, 1989, 5, 17, 1989, 5, 18, 6, -1.561, -1.369, -8.216, 0.1145, 0.08257, 0.0001734, -0.3139, -0.1251, -0.7508, 0.1123, 16.85, 17.08, 102.5, 0.133, -1.252, -1.1
35, 1989, 6, 26, 1989, 7, 4, 1989, 7, 11, 16, -2.016, -1.64, -26.24, 0.2257, 0.07952, 0.0003997, -0.8679, -0.4902, -7.844, 0.2067, 15.27, 15.67, 250.7, 0.2073, -1.756, -1.424
36, 1990, 2, 26, 1990, 2, 27, 1990, 3, 3, 6, -2.379, -1.83, -10.98, 0.3883, 0.6317, 0.0003525, -0.9864, -0.4473, -2.684, 0.3794, 18.75, 19.24, 115.4, 0.3353, -1.708, -1.322
37, 1990, 4, 7, 1990, 4, 9, 1990, 4, 11, 5, -1.856, -1.691, -8.457, 0.1455, 0.1113, 0.0001781, -0.4467, -0.2822, -1.411, 0.1351, 17.61, 17.77, 88.86, 0.114, -1.317, -1.2
38, 1990, 4, 28, 1990, 5, 1, 1990, 5, 7, 10, -1.623, -1.53, -15.3, 0.06029, 0.08465, 0.0001604, -0.4068, -0.3154, -3.154, 0.05738, 17.09, 17.15, 171.5, 0.07181, -1.335, -1.26
39, 1990, 10, 4, 1990, 10, 17, 1990, 10, 20, 17, -1.338, -1.092, -18.57, 0.1314, 0.02399, 9.347e-05, -0.327, -0.08641, -1.469, 0.1285, 16.52, 16.67, 283.4, 0.1323, -1.323, -1.086
40, 1990, 11, 5, 1990, 11, 5, 1990, 11, 9, 5, -1.286, -1.276, -6.378, 0.008171, 0.4863, 2.02e-05, -0.0898, -0.05248, -0.2624, 0.024, 17.14, 17.23, 86.15, 0.05949, -1.075, -1.043
41, 1990, 12, 30, 1991, 1, 1, 1991, 1, 4, 6, -1.542, -1.342, -8.052, 0.1124, 0.1002, 0.000139, -0.3209, -0.1282, -0.7693, 0.09821, 19.36, 19.58, 117.5, 0.1553, -1.263, -1.105
42, 1991, 6, 16, 1991, 6, 17, 1991, 6, 26, 11, -2.027, -1.738, -19.12, 0.2672, 0.4931, 0.0002111, -0.7709, -0.4937, -5.431, 0.2649, 15.66, 15.85, 174.3, 0.2593, -1.614, -1.396
43, 1991, 7, 27, 1991, 8, 2, 1991, 8, 8, 13, -1.838, -1.522, -19.78, 0.197, 0.1062, 0.0001878, -0.7949, -0.4772, -6.204, 0.1978, 15.23, 15.54, 202.1, 0.1957, -1.762, -1.457
44, 1991, 8, 14, 1991, 8, 18, 1991, 8, 20, 7, -1.78, -1.579, -11.05, 0.1274, 0.138, 0.0001826, -0.8066, -0.5986, -4.19, 0.1371, 15.24, 15.44, 108.1, 0.1273, -1.829, -1.612
45, 1992, 10, 16, 1992, 10, 18, 1992, 10, 26, 11, -2.008, -1.642, -18.06, 0.2607, 0.2765, 0.0002487, -0.9978, -0.625, -6.875, 0.2689, 15.87, 16.3, 179.3, 0.3265, -1.988, -1.617
46, 1993, 8, 31, 1993, 9, 3, 1993, 9, 4, 5, -1.084, -1.067, -5.337, 0.01885, 0.09958, 2.367e-05, -0.09299, -0.0799, -0.3995, 0.01991, 16.02, 16.02, 80.12, 0.02437, -1.094, -1.081
47, 1993, 10, 2, 1993, 10, 13, 1993, 10, 17, 16, -1.999, -1.502, -24.03, 0.3018, 0.09002, 0.0002215, -0.9892, -0.4962, -7.94, 0.3005, 15.78, 16.22, 259.5, 0.2803, -1.98, -1.493
48, 1994, 1, 13, 1994, 1, 17, 1994, 1, 18, 6, -1.804, -1.47, -8.818, 0.2488, 0.1909, 0.0001857, -0.7689, -0.4212, -2.527, 0.256, 19.61, 19.9, 119.4, 0.2283, -1.743, -1.404
49, 1994, 2, 12, 1994, 2, 20, 1994, 2, 24, 13, -2.462, -1.954, -25.4, 0.3293, 0.1253, 0.0002264, -1.031, -0.5452, -7.087, 0.3303, 18.88, 19.43, 252.6, 0.3489, -1.72, -1.387
50, 1994, 3, 2, 1994, 3, 6, 1994, 3, 10, 9, -2.564, -2.092, -18.82, 0.3108, 0.3287, 0.0002425, -1.203, -0.7259, -6.533, 0.3133, 18.32, 18.8, 169.2, 0.3135, -1.885, -1.532
51, 1994, 9, 8, 1994, 9, 9, 1994, 9, 18, 11, -1.678, -1.269, -13.96, 0.2093, 0.5176, 0.0001675, -0.6657, -0.2539, -2.792, 0.2095, 15.49, 15.97, 175.6, 0.2158, -1.658, -1.25
52, 1995, 3, 22, 1995, 3, 24, 1995, 3, 26, 5, -1.985, -1.859, -9.293, 0.1412, 0.1708, 0.0001063, -0.5825, -0.4542, -2.271, 0.1501, 18.23, 18.35, 91.76, 0.1151, -1.415, -1.324
53, 1995, 4, 10, 1995, 4, 16, 1995, 4, 22, 13, -2.723, -2.001, -26.02, 0.399, 0.2037, 0.000291, -1.397, -0.6694, -8.702, 0.4119, 16.43, 17.16, 223.1, 0.4626, -2.053, -1.506
54, 1995, 5, 20, 1995, 5, 25, 1995, 5, 26, 7, -2.501, -1.968, -13.78, 0.4286, 0.2598, 0.0002856, -1.255, -0.7245, -5.072, 0.4285, 15.73, 16.31, 114.2, 0.4459, -2.007, -1.582
55, 1995, 6, 24, 1995, 7, 2, 1995, 7, 11, 18, -1.769, -1.469, -26.45, 0.1658, 0.07288, 0.0001402, -0.6046, -0.311, -5.597, 0.1762, 15.55, 15.86, 285.5, 0.2044, -1.519, -1.271
56, 1995, 12, 16, 1995, 12, 18, 1995, 12, 28, 13, -2.72, -2.228, -28.96, 0.2843, 0.4257, 0.0002572, -1.325, -0.8715, -11.33, 0.2613, 17.6, 18.27, 237.6, 0.4083, -1.95, -1.64
57, 1996, 3, 12, 1996, 3, 13, 1996, 3, 25, 14, -2.184, -1.846, -25.84, 0.2319, 0.4344, 0.0001472, -0.8184, -0.4669, -6.537, 0.2324, 18.47, 18.59, 260.3, 0.2849, -1.599, -1.339
58, 1996, 4, 13, 1996, 4, 15, 1996, 4, 22, 10, -2.048, -1.6, -16.0, 0.2676, 0.3798, 0.0001374, -0.7119, -0.2837, -2.837, 0.2533, 17.15, 17.5, 175.0, 0.2136, -1.533, -1.214
59, 1996, 5, 30, 1996, 6, 7, 1996, 6, 12, 14, -2.403, -1.919, -26.86, 0.3922, 0.1411, 0.0002106, -1.141, -0.6564, -9.189, 0.3917, 15.53, 16.05, 224.6, 0.4256, -1.905, -1.52
60, 1996, 7, 27, 1996, 7, 27, 1996, 8, 1, 6, -1.223, -1.151, -6.907, 0.05667, 0.2132, 2.562e-05, -0.1666, -0.1017, -0.6105, 0.05546, 15.88, 15.94, 95.63, 0.05585, -1.158, -1.097
61, 1996, 8, 13, 1996, 8, 20, 1996, 8, 23, 11, -1.605, -1.339, -14.72, 0.1931, 0.0809, 0.0001111, -0.6447, -0.3628, -3.991, 0.196, 15.41, 15.68, 172.5, 0.1937, -1.671, -1.373
62, 1996, 8, 27, 1996, 8, 30, 1996, 8, 31, 5, -1.278, -1.142, -5.712, 0.08265, 0.1002, 7.498e-05, -0.3022, -0.17, -0.8502, 0.08053, 15.78, 15.91, 79.57, 0.07805, -1.31, -1.175
