# Annual average marine coldspell statistics at Storms_River_Mouth
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1993, 1, 24.0, -5.612, -4.087, -98.08, 24.0, -98.08, 1.01, 0.8941, 0.01528, -3.563, -1.857, -44.57, 1.093, 10.6, 12.31, 295.5, 1.102, -2.739, -1.856, 16.14, 20.4, 10.1
1994, 1, 14.0, -3.875, -2.173, -30.42, 14.0, -30.42, 0.6237, 3.3, 0.005059, -2.503, -0.8194, -11.47, 0.61, 11.9, 13.59, 190.3, 0.6216, -2.825, -1.601, 15.85, 20.9, 10.0
1995, 3, 10.67, -4.991, -4.153, -51.61, 32.0, -154.8, 0.6442, 0.6452, 0.002415, -1.782, -1.101, -14.28, 0.6332, 11.87, 12.68, 132.2, 0.6537, -1.483, -1.32, 16.11, 22.3, 10.2
1996, 4, 6.0, -5.49, -4.521, -29.95, 24.0, -119.8, 0.8178, 1.088, 0.001984, -2.244, -1.272, -8.519, 0.8093, 11.45, 12.42, 73.12, 0.8137, -1.931, -1.456, 15.61, 21.1, 9.7
1997, 2, 7.5, -5.073, -3.117, -23.28, 15.0, -46.55, 1.319, 1.912, 0.002275, -3.701, -1.698, -12.56, 1.352, 10.9, 12.87, 96.65, 1.328, -3.719, -2.258, 17.19, 23.3, 10.9
1998, 1, 5.0, -8.207, -7.487, -37.44, 5.0, -37.44, 0.9057, 0.7991, 0.001095, -2.636, -1.976, -9.881, 0.8652, 9.8, 10.58, 52.9, 0.9516, -1.473, -1.358, 17.26, 22.9, 9.6
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.88, 21.8, 10.3
2000, 3, 16.67, -7.219, -5.763, -81.33, 50.0, -244.0, 1.123, 0.7707, 0.001427, -3.542, -2.11, -41.01, 1.094, 9.9, 11.32, 194.8, 1.097, -2.579, -1.882, 16.13, 22.9, 9.4
2001, 3, 10.33, -4.674, -3.475, -38.69, 31.0, -116.1, 0.7526, 0.721, 0.0009003, -2.806, -1.596, -18.68, 0.7735, 11.8, 12.99, 131.6, 0.7758, -2.528, -1.802, 16.45, 21.7, 10.6
2002, 1, 7.0, -4.013, -2.288, -16.01, 7.0, -16.01, 0.8505, 3.111, 0.0007656, -2.655, -0.8942, -6.26, 0.873, 11.9, 13.67, 95.7, 0.8795, -2.954, -1.652, 17.23, 22.3, 11.3
2003, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.77, 24.4, 10.9
2004, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.93, 22.8, 11.2
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.42, 22.7, 10.2
2006, 1, 6.0, -2.15, -1.628, -9.771, 6.0, -9.771, 0.2889, 0.2358, 0.0001774, -0.9629, -0.4554, -2.732, 0.2794, 13.8, 14.33, 86.0, 0.2981, -1.811, -1.386, 17.12, 22.6, 10.4
2007, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.12, 23.0, 10.6
2008, 3, 13.0, -4.953, -3.354, -46.19, 39.0, -138.6, 0.9316, 1.767, 0.0005715, -3.157, -1.533, -22.0, 0.9411, 11.57, 13.23, 170.1, 0.9459, -3.016, -2.014, 15.99, 22.3, 10.0
