# Annual average marine coldspell statistics at Humewood
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1973, 2, 12.0, -2.996, -2.197, -27.32, 24.0, -54.64, 0.481, 0.156, 0.1068, -1.656, -0.8586, -10.85, 0.483, 13.5, 14.18, 171.5, 0.4648, -2.21, -1.64, 16.87, 22.0, 13.0
1974, 1, 12.0, -4.861, -2.901, -34.81, 12.0, -34.81, 1.173, 0.2945, 0.02084, -3.066, -1.071, -12.85, 1.172, 16.0, 17.92, 215.0, 1.187, -2.708, -1.586, 17.6, 23.0, 13.0
1975, 3, 7.667, -2.88, -2.293, -16.19, 23.0, -48.58, 0.3676, 0.3975, 0.002205, -1.156, -0.6113, -3.862, 0.3703, 14.0, 14.57, 110.0, 0.3855, -1.67, -1.348, 17.18, 24.0, 13.0
1976, 4, 6.25, -3.386, -2.667, -15.76, 25.0, -63.03, 0.4779, 1.208, 0.00228, -1.625, -0.905, -5.119, 0.4811, 15.25, 15.95, 98.0, 0.4686, -1.872, -1.497, 17.6, 23.0, 12.0
1977, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.63, 24.0, 11.0
1978, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.55, 24.0, 12.0
1979, 2, 28.5, -3.26, -1.892, -59.06, 57.0, -118.1, 0.453, 0.5511, 0.0008179, -1.924, -0.4635, -17.57, 0.4998, 13.0, 14.28, 395.0, 0.4365, -2.473, -1.341, 17.94, 24.0, 12.0
1980, 5, 9.8, -3.988, -2.603, -26.81, 49.0, -134.1, 0.7396, 1.287, 0.0009816, -2.464, -1.075, -11.22, 0.7488, 13.4, 14.73, 145.4, 0.721, -2.611, -1.675, 17.95, 25.0, 12.0
1981, 1, 6.0, -2.096, -1.347, -8.085, 6.0, -8.085, 0.3378, 0.2375, 0.0001808, -0.9919, -0.2059, -1.235, 0.353, 14.0, 14.83, 89.0, 0.3727, -1.899, -1.185, 17.61, 23.0, 12.0
1982, 1, 11.0, -6.644, -3.755, -41.31, 11.0, -41.31, 1.192, 1.676, 0.001492, -4.453, -1.625, -17.88, 1.174, 11.5, 14.32, 157.5, 1.173, -3.033, -1.76, 17.72, 24.0, 11.5
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.82, 24.0, 12.0
1984, 4, 8.25, -3.485, -2.323, -17.56, 33.0, -70.23, 0.6474, 2.845, 0.0005959, -2.027, -0.8997, -6.278, 0.63, 14.25, 15.33, 125.2, 0.6225, -2.334, -1.603, 17.26, 23.0, 13.0
1985, 1, 8.0, -2.697, -1.948, -15.59, 8.0, -15.59, 0.4315, 0.271, 0.0003469, -1.217, -0.5148, -4.118, 0.4011, 13.0, 13.75, 110.0, 0.433, -1.823, -1.355, 18.13, 23.0, 13.0
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.22, 24.0, 15.0
