# Annual average marine coldspell statistics at Orient_Beach
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1984, 6, 8.5, -4.086, -3.236, -28.79, 51.0, -172.8, 0.624, 1.766, 0.03499, -2.006, -1.172, -10.93, 0.6162, 14.33, 15.14, 127.3, 0.6142, -1.971, -1.576, 17.22, 24.0, 13.0
1985, 1, 5.0, -2.932, -2.472, -12.36, 5.0, -12.36, 0.5237, 0.3607, 0.001465, -1.202, -0.8016, -4.008, 0.4899, 15.0, 15.4, 77.0, 0.4899, -1.694, -1.474, 18.41, 24.0, 15.0
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.91, 24.0, 14.0
1987, 3, 5.667, -3.566, -2.985, -16.74, 17.0, -50.22, 0.5706, 0.5897, 0.001377, -1.809, -1.215, -6.767, 0.5697, 14.67, 15.23, 86.33, 0.5722, -2.015, -1.668, 17.55, 23.0, 14.0
1988, 3, 10.0, -4.275, -2.652, -28.18, 30.0, -84.55, 0.7547, 1.299, 0.001815, -2.202, -0.5719, -6.33, 0.7565, 14.0, 15.62, 156.0, 0.7591, -2.101, -1.277, 17.62, 22.0, 13.0
1989, 2, 5.5, -2.994, -2.759, -14.86, 11.0, -29.73, 0.2679, 2.985, 0.0005648, -1.061, -0.8102, -4.326, 0.277, 15.0, 15.2, 83.5, 0.2449, -1.522, -1.406, 18.01, 25.0, 14.0
1990, 4, 6.25, -3.244, -2.783, -17.6, 25.0, -70.41, 0.2716, 0.9113, 0.0005938, -1.143, -0.6811, -4.515, 0.27, 15.5, 15.95, 99.75, 0.2702, -1.565, -1.337, 18.25, 26.0, 15.0
1991, 1, 5.0, -2.034, -2.025, -10.12, 5.0, -10.12, 0.006465, 1.996, 0.000202, -0.1274, -0.08613, -0.4306, 0.03373, 17.0, 17.0, 85.0, 0.0, -1.067, -1.045, 18.29, 25.0, 15.0
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.86, 24.0, 12.0
1993, 2, 8.5, -2.752, -2.155, -19.63, 17.0, -39.27, 0.3974, 0.1793, 0.0004504, -1.044, -0.454, -4.729, 0.4006, 15.0, 15.57, 132.8, 0.4015, -1.584, -1.249, 18.01, 23.0, 15.0
1994, 1, 12.0, -3.521, -2.315, -27.79, 12.0, -27.79, 0.6764, 0.2941, 0.0005966, -2.0, -0.789, -9.468, 0.6839, 14.0, 15.25, 183.0, 0.7217, -2.315, -1.519, 17.93, 23.0, 14.0
1995, 3, 12.67, -3.392, -2.8, -35.54, 38.0, -106.6, 0.4562, 1.146, 0.0002991, -1.3, -0.7047, -8.797, 0.4577, 15.33, 15.92, 201.0, 0.4674, -1.636, -1.357, 17.68, 22.0, 14.0
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.68, 24.0, 12.0
1997, 2, 9.5, -3.804, -2.666, -26.06, 19.0, -52.13, 0.7345, 0.6887, 0.0005056, -2.278, -1.16, -11.73, 0.7317, 13.75, 14.91, 141.0, 0.7517, -2.482, -1.766, 17.66, 22.5, 12.5
