# Marine coldspell statistics for individual detected events at Fish_Hoek
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 3, 25, 1992, 4, 1, 1992, 4, 15, 22, -4.779, -2.838, -62.43, 0.709, 0.4014, 0.07401, -2.694, -0.7884, -17.35, 0.6987, 11.0, 12.73, 280.0, 0.808, -2.292, -1.383
2, 1992, 6, 17, 1992, 8, 12, 1992, 8, 16, 61, -2.836, -2.076, -126.6, 0.4325, 0.02869, 0.01064, -1.531, -0.7756, -47.31, 0.4432, 10.5, 11.34, 691.5, 0.4501, -2.172, -1.605
3, 1992, 8, 22, 1992, 8, 24, 1992, 8, 28, 7, -3.504, -2.382, -16.67, 0.8196, 1.017, 0.01488, -2.177, -1.051, -7.355, 0.8225, 10.0, 11.14, 78.0, 0.833, -2.641, -1.791
4, 1992, 9, 20, 1992, 9, 22, 1992, 9, 28, 9, -2.833, -1.903, -17.13, 0.4774, 0.7355, 0.008476, -1.484, -0.5702, -5.132, 0.4643, 11.5, 12.5, 112.5, 0.527, -2.1, -1.425
5, 1992, 10, 11, 1992, 10, 24, 1992, 11, 7, 28, -5.058, -2.765, -77.42, 0.853, 0.2267, 0.01369, -3.614, -1.266, -35.46, 0.9189, 10.5, 12.79, 358.0, 0.9583, -3.504, -1.887
6, 1993, 4, 8, 1993, 4, 10, 1993, 4, 12, 5, -4.208, -3.412, -17.06, 0.9102, 1.339, 0.004029, -2.174, -1.384, -6.919, 0.9288, 11.0, 11.8, 59.0, 0.9798, -2.069, -1.687
7, 1994, 1, 6, 1994, 1, 11, 1994, 1, 17, 12, -5.251, -4.03, -48.36, 1.057, 0.5533, 0.006276, -2.85, -1.64, -19.68, 1.051, 13.0, 14.21, 170.5, 1.05, -2.187, -1.685
8, 1995, 5, 5, 1995, 5, 6, 1995, 5, 10, 6, -2.333, -2.231, -13.39, 0.1731, 0.4866, 0.0009071, -0.6435, -0.5336, -3.202, 0.1691, 12.0, 12.08, 72.5, 0.1863, -1.381, -1.314
9, 1995, 6, 2, 1995, 6, 5, 1995, 6, 17, 16, -3.879, -2.158, -34.53, 0.7422, 0.6261, 0.002231, -2.066, -0.4065, -6.503, 0.7794, 10.0, 11.66, 186.5, 0.7648, -2.14, -1.243
10, 1995, 7, 16, 1995, 7, 16, 1995, 7, 21, 6, -2.339, -1.908, -11.45, 0.4513, 1.491, 0.001031, -1.131, -0.6849, -4.11, 0.4521, 11.0, 11.42, 68.5, 0.4488, -1.935, -1.56
11, 1995, 9, 27, 1995, 10, 14, 1995, 10, 14, 18, -2.661, -1.755, -31.6, 0.397, 0.08117, 0.0005561, -1.372, -0.4567, -8.22, 0.3999, 12.5, 13.06, 235.0, 0.3685, -2.064, -1.352
12, 1996, 2, 22, 1996, 3, 2, 1996, 3, 10, 18, -5.421, -3.469, -62.43, 0.9785, 0.2818, 0.00226, -3.256, -1.311, -23.6, 0.973, 12.0, 13.97, 251.5, 0.9643, -2.505, -1.607
13, 1996, 5, 31, 1996, 5, 31, 1996, 6, 5, 6, -2.463, -2.087, -12.52, 0.2493, 2.482, 0.0007018, -0.6468, -0.2731, -1.639, 0.2484, 11.5, 11.83, 71.0, 0.2357, -1.356, -1.15
14, 1996, 12, 1, 1996, 12, 3, 1996, 12, 5, 5, -3.219, -2.417, -12.08, 0.4061, 0.6478, 0.000802, -1.106, -0.3123, -1.561, 0.4006, 14.0, 14.8, 74.0, 0.4, -1.524, -1.148
15, 1998, 1, 11, 1998, 1, 15, 1998, 1, 15, 5, -5.24, -4.447, -22.23, 0.6753, 0.3867, 0.0008185, -2.85, -2.05, -10.25, 0.6782, 13.0, 13.8, 69.0, 0.6782, -2.192, -1.856
16, 1999, 6, 6, 1999, 6, 11, 1999, 6, 14, 9, -3.791, -2.471, -22.24, 0.6495, 0.3946, 0.0007709, -2.023, -0.7036, -6.332, 0.6706, 10.0, 11.33, 102.0, 0.6667, -2.144, -1.403
17, 2000, 5, 31, 2000, 6, 8, 2000, 6, 11, 12, -2.831, -1.998, -23.97, 0.287, 0.1304, 0.0004298, -1.026, -0.1922, -2.306, 0.2843, 11.0, 11.88, 142.5, 0.2976, -1.568, -1.106
18, 2001, 1, 9, 2001, 1, 11, 2001, 1, 13, 5, -4.251, -3.649, -18.24, 0.585, 0.8038, 0.0003877, -1.85, -1.25, -6.25, 0.5831, 14.0, 14.6, 73.0, 0.5831, -1.77, -1.521
19, 2001, 8, 23, 2001, 8, 28, 2001, 8, 28, 6, -1.586, -1.534, -9.204, 0.03398, 0.06509, 6.866e-05, -0.2419, -0.2016, -1.21, 0.02755, 12.0, 12.0, 72.0, 0.0, -1.18, -1.151
20, 2001, 9, 7, 2001, 9, 13, 2001, 9, 15, 9, -2.04, -1.704, -15.34, 0.2534, 0.1446, 0.0001944, -0.7581, -0.4104, -3.694, 0.2575, 12.0, 12.28, 110.5, 0.2485, -1.591, -1.318
21, 2001, 11, 2, 2001, 11, 7, 2001, 11, 8, 7, -2.524, -2.162, -15.13, 0.248, 0.174, 0.000196, -0.721, -0.3853, -2.697, 0.2433, 13.5, 13.79, 96.5, 0.2474, -1.4, -1.217
22, 2006, 8, 8, 2006, 8, 11, 2006, 8, 12, 5, -2.329, -1.823, -9.115, 0.314, 0.3629, 0.0002347, -1.047, -0.5597, -2.798, 0.3218, 11.0, 11.5, 57.5, 0.3162, -1.816, -1.445
