# Marine coldspell statistics for individual detected events at Hamburg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1995, 12, 13, 1995, 12, 14, 1995, 12, 27, 15, -5.305, -3.822, -57.33, 0.74, 2.069, 0.04099, -2.687, -1.165, -17.48, 0.7461, 13.3, 14.91, 223.6, 0.7612, -2.026, -1.439
2, 1996, 4, 13, 1996, 4, 15, 1996, 4, 21, 9, -3.966, -2.988, -26.89, 0.4557, 0.8844, 0.00978, -1.686, -0.7199, -6.479, 0.4541, 13.19, 14.09, 126.8, 0.4484, -1.74, -1.317
3, 1996, 4, 27, 1996, 5, 1, 1996, 5, 8, 12, -4.494, -3.234, -38.81, 0.7875, 0.5767, 0.01344, -2.36, -1.126, -13.51, 0.7663, 12.29, 13.54, 162.5, 0.7833, -2.106, -1.531
4, 1996, 6, 1, 1996, 6, 2, 1996, 6, 7, 7, -2.536, -2.36, -16.52, 0.09385, 0.257, 0.002389, -0.4858, -0.3233, -2.263, 0.09224, 14.1, 14.27, 99.89, 0.09256, -1.237, -1.159
5, 1996, 6, 25, 1996, 7, 5, 1996, 7, 6, 12, -2.284, -1.897, -22.76, 0.2128, 0.07978, 0.004655, -1.012, -0.5247, -6.297, 0.241, 14.15, 14.58, 174.9, 0.2194, -1.796, -1.389
6, 1996, 7, 14, 1996, 7, 16, 1996, 7, 20, 7, -1.801, -1.382, -9.672, 0.2253, 0.3262, 0.00239, -0.7519, -0.3425, -2.398, 0.2199, 14.56, 14.98, 104.8, 0.2247, -1.717, -1.329
7, 1996, 7, 24, 1996, 8, 6, 1996, 8, 29, 37, -3.259, -2.196, -81.24, 0.4916, 0.1473, 0.006746, -2.143, -0.9878, -36.55, 0.5793, 13.07, 14.18, 524.8, 0.5206, -2.922, -1.869
8, 1997, 3, 16, 1997, 3, 19, 1997, 3, 20, 5, -3.463, -3.163, -15.81, 0.2372, 0.2791, 0.002261, -1.014, -0.7065, -3.532, 0.2376, 14.75, 15.08, 75.38, 0.2199, -1.414, -1.288
9, 1997, 10, 15, 1997, 10, 20, 1997, 10, 22, 8, -4.486, -2.838, -22.71, 0.8992, 0.5891, 0.004922, -3.005, -1.4, -11.2, 0.8866, 12.76, 14.4, 115.2, 0.8998, -3.029, -1.969
10, 1999, 3, 26, 1999, 4, 1, 1999, 4, 5, 11, -4.313, -3.358, -36.94, 0.5755, 0.2504, 0.001759, -1.876, -0.9205, -10.13, 0.5635, 13.45, 14.43, 158.7, 0.526, -1.77, -1.376
