# Marine coldspell statistics for individual detected events at Humewood
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1973, 8, 29, 1973, 9, 2, 1973, 9, 2, 5, -2.118, -2.06, -10.3, 0.0414, 0.1402, 0.1079, -0.8452, -0.7806, -3.903, 0.04562, 14.0, 14.0, 70.0, 0.0, -1.664, -1.61
2, 1973, 9, 12, 1973, 9, 26, 1973, 9, 30, 19, -3.874, -2.334, -44.34, 0.9206, 0.1718, 0.1057, -2.468, -0.9366, -17.8, 0.9204, 13.0, 14.37, 273.0, 0.9297, -2.755, -1.67
3, 1974, 1, 6, 1974, 1, 13, 1974, 1, 17, 12, -4.861, -2.901, -34.81, 1.173, 0.2945, 0.02084, -3.066, -1.071, -12.85, 1.172, 16.0, 17.92, 215.0, 1.187, -2.708, -1.586
4, 1975, 7, 7, 1975, 7, 17, 1975, 7, 19, 13, -2.689, -1.773, -23.05, 0.2645, 0.1883, 0.002204, -1.108, -0.3022, -3.929, 0.2544, 13.0, 13.92, 181.0, 0.2665, -1.701, -1.208
5, 1975, 8, 2, 1975, 8, 3, 1975, 8, 6, 5, -2.682, -2.086, -10.43, 0.4853, 0.6696, 0.00209, -1.022, -0.4252, -2.126, 0.4873, 13.0, 13.6, 68.0, 0.4899, -1.615, -1.256
6, 1975, 11, 30, 1975, 12, 3, 1975, 12, 4, 5, -3.27, -3.02, -15.1, 0.353, 0.3346, 0.002323, -1.339, -1.106, -5.532, 0.3692, 16.0, 16.2, 81.0, 0.4, -1.693, -1.58
7, 1976, 1, 12, 1976, 1, 12, 1976, 1, 16, 5, -4.833, -3.087, -15.44, 0.9472, 3.029, 0.003867, -3.011, -1.294, -6.468, 0.9322, 16.0, 17.8, 89.0, 0.9798, -2.652, -1.717
8, 1976, 2, 9, 1976, 2, 10, 1976, 2, 13, 5, -4.824, -3.787, -18.94, 0.9053, 1.634, 0.003473, -2.582, -1.527, -7.633, 0.9152, 16.0, 17.0, 85.0, 0.8944, -2.151, -1.677
9, 1976, 7, 26, 1976, 8, 1, 1976, 8, 1, 7, -1.677, -1.673, -11.71, 0.002016, 0.0778, 0.0004677, -0.02194, -0.02571, -0.18, 0.003126, 14.0, 14.0, 98.0, 0.0, -1.013, -1.016
10, 1976, 10, 2, 1976, 10, 9, 1976, 10, 9, 8, -2.208, -2.119, -16.95, 0.05723, 0.09177, 0.001311, -0.8871, -0.7742, -6.194, 0.07391, 15.0, 15.0, 120.0, 0.0, -1.671, -1.576
11, 1979, 7, 22, 1979, 9, 1, 1979, 9, 8, 49, -4.089, -2.143, -105.0, 0.599, 0.07017, 0.001061, -2.813, -0.6764, -33.14, 0.6946, 12.0, 13.69, 671.0, 0.5423, -3.204, -1.502
