# Marine coldspell statistics for individual detected events at Muizenberg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1975, 2, 25, 1975, 2, 27, 1975, 3, 2, 6, -4.095, -2.813, -16.88, 0.642, 1.363, 0.003269, -2.089, -0.8118, -4.871, 0.6392, 14.5, 15.75, 94.5, 0.6292, -2.041, -1.405
2, 1976, 1, 4, 1976, 1, 9, 1976, 1, 9, 6, -2.549, -2.357, -14.14, 0.2418, 0.1487, 0.001025, -0.9048, -0.7091, -4.255, 0.2465, 17.0, 17.17, 103.0, 0.2357, -1.55, -1.431
3, 1977, 3, 24, 1977, 3, 27, 1977, 3, 28, 5, -3.233, -2.494, -12.47, 0.3785, 0.6546, 0.001474, -1.208, -0.4726, -2.363, 0.3775, 14.0, 14.8, 74.0, 0.4, -1.596, -1.234
4, 1980, 2, 5, 1980, 2, 11, 1980, 2, 12, 8, -4.1, -2.598, -20.79, 0.6417, 0.5136, 0.0007241, -2.137, -0.6353, -5.082, 0.6412, 15.0, 16.56, 132.5, 0.6818, -2.089, -1.324
5, 1984, 4, 1, 1984, 4, 8, 1984, 5, 6, 36, -5.483, -3.472, -125.0, 0.9392, 0.3381, 0.0009155, -3.353, -1.436, -51.71, 0.9357, 11.0, 12.36, 445.0, 1.084, -2.574, -1.708
6, 1984, 5, 13, 1984, 5, 17, 1984, 6, 24, 43, -4.261, -2.965, -127.5, 0.6446, 0.3902, 0.0005156, -2.555, -1.178, -50.64, 0.6708, 10.0, 10.48, 450.5, 0.6555, -2.498, -1.665
7, 1984, 7, 2, 1984, 7, 2, 1984, 7, 6, 5, -3.534, -3.105, -15.52, 0.5017, 1.984, 0.0005626, -1.74, -1.308, -6.54, 0.5034, 9.0, 9.4, 47.0, 0.4899, -1.97, -1.728
8, 1984, 7, 14, 1984, 9, 13, 1984, 9, 14, 63, -4.989, -2.916, -183.7, 0.8268, 0.06138, 0.0007253, -3.256, -1.198, -75.45, 0.8081, 9.0, 10.03, 632.0, 0.6164, -2.88, -1.694
9, 1984, 9, 22, 1984, 9, 24, 1984, 9, 28, 7, -3.631, -2.831, -19.82, 0.7236, 0.7501, 0.0005378, -1.995, -1.203, -8.418, 0.7126, 11.0, 11.86, 83.0, 0.833, -2.22, -1.735
10, 1984, 10, 3, 1984, 10, 8, 1984, 11, 6, 35, -5.423, -3.757, -131.5, 1.08, 0.5091, 0.0009184, -3.758, -1.919, -67.17, 1.167, 10.0, 12.31, 431.0, 1.469, -3.258, -2.084
11, 1986, 7, 3, 1986, 7, 3, 1986, 7, 7, 5, -2.519, -2.491, -12.46, 0.01871, 0.9842, 0.000116, -0.7242, -0.6919, -3.46, 0.02281, 10.0, 10.0, 50.0, 0.0, -1.404, -1.385
12, 1988, 6, 8, 1988, 6, 10, 1988, 6, 18, 11, -3.06, -2.412, -26.53, 0.4675, 0.5569, 0.0001399, -1.227, -0.5912, -6.503, 0.4696, 10.0, 10.55, 116.0, 0.4979, -1.67, -1.325
