# Marine coldspell statistics for individual detected events at Nahoon_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1984, 2, 6, 1984, 2, 7, 1984, 2, 10, 5, -7.539, -4.137, -20.69, 1.856, 3.337, 0.1394, -5.548, -2.133, -10.66, 1.87, 11.0, 14.4, 72.0, 1.855, -3.788, -2.071
2, 1984, 5, 28, 1984, 5, 30, 1984, 6, 1, 5, -3.434, -2.632, -13.16, 0.401, 0.7953, 0.0101, -1.365, -0.561, -2.805, 0.4033, 15.0, 15.8, 79.0, 0.4, -1.659, -1.271
3, 1987, 6, 21, 1987, 6, 21, 1987, 6, 26, 6, -2.088, -2.05, -12.3, 0.02403, 0.9822, 0.0008455, -0.09032, -0.04731, -0.2839, 0.02404, 16.0, 16.0, 96.0, 0.0, -1.045, -1.024
4, 1988, 2, 12, 1988, 2, 13, 1988, 2, 21, 10, -3.51, -2.569, -25.69, 0.3151, 1.325, 0.001055, -1.394, -0.3806, -3.806, 0.3481, 15.0, 15.9, 159.0, 0.3, -1.659, -1.177
5, 1988, 3, 5, 1988, 3, 5, 1988, 3, 9, 5, -2.426, -2.399, -12.0, 0.02147, 0.9942, 4.426e-05, -0.006452, -0.006452, -0.03226, 1.421e-15, 16.0, 16.0, 80.0, 0.0, -1.003, -1.003
6, 1988, 6, 6, 1988, 6, 8, 1988, 6, 10, 5, -3.339, -2.538, -12.69, 0.401, 0.5862, 0.001567, -1.181, -0.3871, -1.935, 0.3985, 15.0, 15.8, 79.0, 0.4, -1.547, -1.18
7, 1988, 6, 25, 1988, 6, 25, 1988, 7, 4, 10, -2.029, -1.986, -19.86, 0.02537, 0.9868, 0.0003556, -0.02581, -0.1558, -1.558, 0.08063, 16.0, 16.0, 160.0, 0.0, -1.013, -1.088
8, 1988, 7, 25, 1988, 7, 29, 1988, 8, 1, 8, -2.63, -1.767, -14.13, 0.3291, 0.3143, 0.0009327, -1.184, -0.321, -2.568, 0.3332, 15.0, 15.88, 127.0, 0.3307, -1.818, -1.223
9, 1990, 4, 23, 1990, 4, 27, 1990, 4, 28, 6, -3.209, -2.538, -15.23, 0.4746, 0.3371, 0.001086, -1.115, -0.4145, -2.487, 0.4888, 15.0, 15.67, 94.0, 0.4714, -1.532, -1.197
10, 1990, 12, 12, 1990, 12, 14, 1990, 12, 17, 6, -2.773, -2.286, -13.72, 0.4546, 0.2333, 0.0007483, -1.042, -0.5398, -3.239, 0.4393, 16.0, 16.5, 99.0, 0.5, -1.602, -1.307
