# Marine coldspell statistics for individual detected events at Ystervarkpunt
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1995, 12, 9, 1995, 12, 18, 1995, 12, 20, 12, -8.402, -3.647, -43.77, 2.072, 0.6066, 0.1353, -6.422, -1.723, -20.68, 2.05, 11.64, 16.24, 194.9, 2.016, -4.244, -1.885
2, 1996, 2, 28, 1996, 2, 28, 1996, 3, 9, 11, -7.759, -6.24, -68.64, 1.014, 3.176, 0.02347, -2.923, -1.521, -16.73, 0.9906, 11.68, 13.07, 143.8, 0.967, -1.605, -1.321
3, 1996, 7, 4, 1996, 8, 14, 1996, 8, 29, 57, -1.732, -1.322, -75.35, 0.1693, 0.01752, 0.002852, -0.7768, -0.3308, -18.86, 0.1709, 13.34, 13.81, 787.2, 0.2213, -1.813, -1.335
4, 1996, 9, 22, 1996, 9, 26, 1996, 9, 28, 7, -1.288, -1.026, -7.181, 0.1575, 0.1126, 0.001295, -0.5778, -0.3056, -2.139, 0.1671, 14.87, 15.1, 105.7, 0.1222, -1.814, -1.428
5, 1998, 12, 3, 1998, 12, 4, 1998, 12, 7, 5, -6.747, -4.22, -21.1, 1.752, 2.486, 0.0046, -5.0, -2.459, -12.3, 1.768, 12.7, 15.27, 76.37, 1.802, -3.863, -2.406
6, 1999, 4, 9, 1999, 4, 12, 1999, 4, 13, 5, -5.103, -4.911, -24.56, 0.1722, 0.3279, 0.001086, -1.519, -1.255, -6.273, 0.1918, 11.78, 12.0, 60.01, 0.1717, -1.424, -1.344
7, 2000, 1, 14, 2000, 1, 18, 2000, 1, 21, 8, -6.73, -6.147, -49.18, 0.5823, 0.917, 0.00113, -3.341, -2.778, -22.23, 0.5134, 13.89, 14.47, 115.8, 0.5617, -1.986, -1.822
8, 2000, 3, 3, 2000, 3, 3, 2000, 3, 9, 7, -6.979, -6.24, -43.68, 0.4863, 2.441, 0.001259, -2.26, -1.55, -10.85, 0.4832, 12.37, 13.01, 91.1, 0.4936, -1.479, -1.33
9, 2000, 3, 26, 2000, 3, 28, 2000, 3, 30, 5, -6.131, -5.337, -26.69, 0.6554, 1.299, 0.001112, -1.938, -1.145, -5.723, 0.6504, 11.74, 12.53, 62.64, 0.6883, -1.462, -1.273
10, 2000, 5, 11, 2000, 5, 14, 2000, 6, 30, 51, -6.601, -2.944, -150.1, 1.836, 1.427, 0.003293, -5.045, -1.79, -91.31, 1.678, 10.11, 13.16, 671.4, 1.494, -4.242, -2.407
11, 2000, 7, 19, 2000, 7, 20, 2000, 7, 28, 10, -1.503, -1.29, -12.9, 0.1382, 0.3701, 0.0002949, -0.461, -0.2473, -2.473, 0.1357, 13.58, 13.77, 137.7, 0.1237, -1.442, -1.237
12, 2001, 2, 24, 2001, 2, 28, 2001, 3, 2, 7, -5.978, -5.641, -39.48, 0.2338, 0.4625, 0.0006032, -1.143, -0.7876, -5.513, 0.2994, 13.46, 13.83, 96.82, 0.2935, -1.236, -1.163
13, 2001, 11, 10, 2001, 11, 17, 2001, 11, 18, 9, -3.471, -2.817, -25.36, 0.4826, 0.3082, 0.000905, -2.047, -1.458, -13.12, 0.4977, 15.16, 15.66, 141.0, 0.5219, -2.438, -2.079
14, 2003, 8, 20, 2003, 8, 26, 2003, 9, 7, 19, -1.661, -1.174, -22.31, 0.1903, 0.08692, 0.0002495, -0.6945, -0.2167, -4.118, 0.1826, 13.63, 14.19, 269.6, 0.2763, -1.718, -1.225
15, 2003, 10, 9, 2003, 10, 10, 2003, 10, 13, 5, -2.034, -1.754, -8.768, 0.2014, 0.5998, 0.0003117, -1.167, -0.8832, -4.416, 0.2031, 14.65, 14.98, 74.89, 0.2366, -2.347, -2.015
16, 2005, 1, 17, 2005, 1, 19, 2005, 1, 21, 5, -5.581, -4.886, -24.43, 0.636, 0.676, 0.0008692, -2.152, -1.458, -7.292, 0.6727, 15.05, 15.75, 78.74, 0.6495, -1.628, -1.428
