# Marine heatwave statistics for individual detected events at Hout_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 2, 25, 1992, 2, 27, 1992, 3, 1, 6, 3.732, 2.597, 15.58, 0.9556, 1.04, 0.009487, 2.952, 1.815, 10.89, 0.9587, 13.55, 12.42, 74.52, 0.9525, 4.785, 3.325
2, 1992, 3, 28, 1992, 4, 10, 1992, 4, 11, 15, 4.16, 2.669, 40.03, 0.9403, 0.2649, 0.004685, 3.182, 1.778, 26.66, 0.893, 14.54, 12.87, 193.0, 1.033, 4.255, 2.951
3, 1992, 5, 5, 1992, 5, 7, 1992, 5, 9, 5, 2.952, 2.75, 13.75, 0.202, 0.584, 0.002456, 1.06, 0.8602, 4.301, 0.2411, 14.38, 14.18, 70.89, 0.1644, 1.56, 1.458
4, 1992, 5, 18, 1992, 5, 22, 1992, 5, 23, 6, 3.112, 2.693, 16.16, 0.2723, 0.2286, 0.002338, 0.9466, 0.5196, 3.117, 0.2799, 15.39, 14.88, 89.31, 0.3615, 1.437, 1.24
5, 1992, 10, 24, 1992, 10, 28, 1992, 10, 29, 6, 2.801, 2.491, 14.95, 0.2385, 0.1768, 0.001201, 0.81, 0.4704, 2.823, 0.271, 13.27, 12.99, 77.96, 0.2011, 1.407, 1.235
6, 1992, 12, 26, 1992, 12, 27, 1992, 12, 30, 5, 1.552, 1.282, 6.411, 0.2181, 0.6693, 0.00112, 0.6646, 0.4055, 2.027, 0.2173, 11.44, 11.16, 55.82, 0.219, 1.749, 1.462
7, 1993, 7, 11, 1993, 7, 16, 1993, 7, 18, 8, 2.076, 1.877, 15.02, 0.1828, 0.1247, 0.000573, 0.5668, 0.3582, 2.866, 0.1902, 15.5, 15.3, 122.4, 0.1853, 1.376, 1.237
8, 1993, 7, 24, 1993, 8, 11, 1993, 8, 11, 19, 2.039, 1.916, 36.4, 0.07794, 0.01908, 0.0003198, 0.5072, 0.4107, 7.804, 0.07524, 15.16, 15.2, 288.8, 0.09998, 1.331, 1.273
9, 1994, 3, 11, 1994, 3, 13, 1994, 3, 17, 7, 1.885, 1.207, 8.452, 0.2971, 0.4869, 0.001111, 1.14, 0.4719, 3.303, 0.2924, 11.73, 11.06, 77.42, 0.2949, 2.529, 1.64
10, 1994, 6, 28, 1994, 7, 9, 1994, 7, 10, 13, 2.67, 2.161, 28.1, 0.2546, 0.09324, 0.001316, 1.128, 0.5801, 7.541, 0.2647, 16.09, 15.58, 202.5, 0.2561, 1.732, 1.368
11, 1997, 5, 21, 1997, 5, 24, 1997, 5, 25, 5, 3.259, 2.651, 13.25, 0.4039, 0.4164, 0.0008932, 1.114, 0.4972, 2.486, 0.4087, 15.64, 14.98, 74.89, 0.4334, 1.52, 1.231
12, 1997, 8, 30, 1997, 9, 3, 1997, 9, 4, 6, 2.264, 2.044, 12.27, 0.117, 0.2284, 0.0003111, 0.42, 0.2339, 1.404, 0.1152, 14.83, 14.66, 87.99, 0.1218, 1.228, 1.129
13, 1997, 12, 2, 1997, 12, 8, 1997, 12, 9, 8, 2.68, 1.991, 15.93, 0.6004, 0.2726, 0.0004825, 1.627, 0.9152, 7.322, 0.6145, 12.56, 11.87, 94.98, 0.5978, 2.544, 1.859
14, 1998, 5, 2, 1998, 5, 9, 1998, 5, 11, 10, 3.204, 2.595, 25.95, 0.4321, 0.2509, 0.0004939, 1.236, 0.7282, 7.282, 0.3963, 14.74, 14.0, 140.0, 0.5163, 1.628, 1.389
15, 1999, 12, 15, 1999, 12, 20, 1999, 12, 25, 11, 2.768, 1.942, 21.36, 0.5839, 0.3118, 0.0005339, 1.831, 1.005, 11.05, 0.5966, 12.68, 11.85, 130.4, 0.5847, 2.956, 2.081
16, 2001, 6, 30, 2001, 6, 30, 2001, 7, 4, 5, 1.991, 1.781, 8.905, 0.1135, 0.8006, 0.0001119, 0.3731, 0.1819, 0.9093, 0.1048, 15.41, 15.2, 75.99, 0.1118, 1.231, 1.113
17, 2001, 9, 2, 2001, 9, 12, 2001, 9, 12, 11, 2.806, 2.314, 25.45, 0.2506, 0.1253, 0.0003861, 0.7953, 0.3923, 4.315, 0.2088, 15.02, 14.72, 161.9, 0.1715, 1.395, 1.202
18, 2001, 10, 29, 2001, 11, 1, 2001, 11, 2, 5, 4.099, 3.452, 17.26, 0.6406, 0.6756, 0.0003928, 2.222, 1.548, 7.738, 0.6667, 14.46, 13.84, 69.19, 0.6172, 2.184, 1.818
19, 2002, 1, 12, 2002, 1, 18, 2002, 1, 23, 12, 2.607, 1.539, 18.47, 0.6082, 0.1807, 0.0005418, 1.789, 0.7243, 8.692, 0.6072, 12.37, 11.31, 135.7, 0.6117, 3.189, 1.888
20, 2002, 2, 22, 2002, 3, 1, 2002, 3, 3, 10, 1.485, 1.191, 11.91, 0.1628, 0.1093, 0.000206, 0.6919, 0.4111, 4.111, 0.1605, 11.32, 11.01, 110.1, 0.1661, 1.872, 1.527
21, 2003, 9, 28, 2003, 10, 5, 2003, 10, 7, 10, 3.887, 3.36, 33.6, 0.3711, 0.2289, 0.0004703, 1.764, 1.221, 12.21, 0.3685, 15.1, 14.64, 146.4, 0.3871, 1.83, 1.571
22, 2003, 12, 10, 2003, 12, 14, 2003, 12, 17, 8, 4.414, 2.869, 22.95, 1.005, 0.7493, 0.0005101, 3.433, 1.881, 15.05, 1.018, 14.32, 12.77, 102.1, 1.013, 4.5, 2.92
23, 2005, 1, 31, 2005, 1, 31, 2005, 2, 4, 5, 1.803, 1.366, 6.831, 0.2689, 1.503, 0.0002544, 1.046, 0.6278, 3.139, 0.2619, 11.55, 11.11, 55.54, 0.27, 2.38, 1.847
24, 2005, 5, 16, 2005, 5, 17, 2005, 5, 24, 9, 4.728, 3.479, 31.31, 0.6621, 2.189, 0.0005943, 2.557, 1.311, 11.8, 0.6586, 16.72, 15.64, 140.8, 0.6339, 2.178, 1.604
25, 2005, 5, 28, 2005, 5, 30, 2005, 6, 4, 8, 3.572, 3.096, 24.77, 0.4269, 0.6458, 0.0002688, 1.516, 1.063, 8.504, 0.4394, 16.26, 15.84, 126.7, 0.4806, 1.737, 1.524
26, 2005, 6, 12, 2005, 6, 14, 2005, 6, 25, 14, 2.485, 2.147, 30.06, 0.2317, 0.3, 0.0001761, 0.7155, 0.4195, 5.873, 0.1999, 15.68, 15.43, 216.0, 0.1804, 1.404, 1.241
27, 2005, 8, 17, 2005, 8, 18, 2005, 8, 21, 5, 1.793, 1.716, 8.582, 0.05123, 0.09652, 3.987e-05, 0.2114, 0.1275, 0.6377, 0.05981, 14.75, 14.66, 73.3, 0.07206, 1.134, 1.08
28, 2007, 4, 26, 2007, 4, 28, 2007, 5, 1, 6, 2.823, 2.383, 14.3, 0.4463, 0.7498, 0.000214, 1.276, 0.8223, 4.934, 0.4323, 13.78, 13.37, 80.19, 0.4713, 1.824, 1.526
29, 2007, 7, 29, 2007, 8, 2, 2007, 8, 3, 6, 2.557, 1.974, 11.84, 0.3453, 0.2448, 0.0001215, 1.06, 0.4766, 2.86, 0.3456, 15.85, 15.29, 91.73, 0.3259, 1.708, 1.318
30, 2007, 8, 31, 2007, 9, 12, 2007, 9, 13, 14, 3.071, 2.238, 31.34, 0.8233, 0.09769, 0.000231, 1.06, 0.3288, 4.603, 0.8248, 15.28, 14.66, 205.3, 0.8296, 1.527, 1.174
31, 2007, 11, 3, 2007, 11, 8, 2007, 11, 10, 8, 4.679, 3.776, 30.21, 0.8062, 0.6324, 0.0003991, 2.953, 2.019, 16.15, 0.8375, 14.85, 13.98, 111.9, 0.7703, 2.712, 2.159
