# Marine heatwave statistics for individual detected events at Knysna
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1997, 10, 21, 1997, 10, 25, 1997, 10, 30, 10, 2.07, 1.744, 17.44, 0.1854, 0.1402, 0.0006731, 0.6869, 0.3397, 3.397, 0.2074, 19.53, 19.22, 192.2, 0.1978, 1.497, 1.246
2, 1998, 2, 4, 1998, 2, 6, 1998, 2, 8, 5, 4.024, 3.596, 17.98, 0.3615, 0.5009, 0.001493, 1.36, 0.9294, 4.647, 0.3485, 24.18, 23.75, 118.8, 0.3445, 1.511, 1.348
3, 1998, 4, 19, 1998, 4, 21, 1998, 5, 8, 20, 4.035, 2.928, 58.56, 0.4871, 0.3779, 0.001685, 1.166, 0.4922, 9.843, 0.3137, 20.13, 19.09, 381.9, 0.4443, 1.406, 1.206
4, 1998, 7, 14, 1998, 7, 21, 1998, 8, 14, 32, 2.493, 1.549, 49.56, 0.463, 0.2062, 0.001741, 1.565, 0.6284, 20.11, 0.4564, 17.7, 16.82, 538.2, 0.4266, 2.686, 1.679
5, 1999, 6, 2, 1999, 6, 7, 1999, 6, 8, 7, 2.167, 1.678, 11.75, 0.3677, 0.211, 0.0006498, 1.006, 0.5385, 3.769, 0.358, 17.92, 17.51, 122.6, 0.3397, 1.867, 1.47
6, 1999, 7, 6, 1999, 7, 9, 1999, 7, 10, 5, 1.579, 1.339, 6.696, 0.1591, 0.1768, 0.0003193, 0.6083, 0.3582, 1.791, 0.1639, 16.73, 16.49, 82.44, 0.159, 1.627, 1.366
7, 1999, 12, 3, 1999, 12, 4, 1999, 12, 8, 6, 2.43, 2.3, 13.8, 0.1017, 0.4485, 0.0008705, 0.254, 0.1197, 0.7182, 0.1015, 21.48, 21.42, 128.5, 0.08769, 1.117, 1.055
8, 2000, 2, 11, 2000, 2, 11, 2000, 2, 15, 5, 3.347, 3.158, 15.79, 0.1374, 0.8728, 0.000103, 0.5442, 0.2652, 1.326, 0.1637, 23.36, 23.07, 115.4, 0.1652, 1.194, 1.092
9, 2000, 10, 7, 2000, 10, 9, 2000, 10, 11, 5, 1.565, 1.415, 7.074, 0.08744, 0.11, 0.0001899, 0.3421, 0.1906, 0.9531, 0.08952, 18.47, 18.32, 91.58, 0.0852, 1.28, 1.156
10, 2001, 6, 12, 2001, 6, 26, 2001, 6, 30, 19, 2.086, 1.75, 33.25, 0.2347, 0.04768, 0.0004419, 0.9654, 0.5861, 11.14, 0.2243, 17.32, 17.09, 324.6, 0.2875, 1.862, 1.503
11, 2001, 12, 21, 2001, 12, 23, 2001, 12, 28, 8, 2.681, 2.369, 18.95, 0.1731, 0.1983, 0.0002091, 0.6124, 0.3202, 2.561, 0.1631, 22.64, 22.39, 179.1, 0.164, 1.296, 1.156
12, 2002, 3, 23, 2002, 3, 26, 2002, 3, 27, 5, 3.315, 3.124, 15.62, 0.1117, 0.1327, 0.0002233, 0.4498, 0.2785, 1.392, 0.09214, 21.27, 21.16, 105.8, 0.08166, 1.157, 1.098
