# Annual average marine heatwave statistics at Hamburg
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.64, 24.47, 14.76
1983, 2, 11.0, 2.686, 2.058, 22.64, 22.0, 45.27, 0.3465, 0.2987, 0.002301, 0.9308, 0.3016, 3.29, 0.3472, 25.61, 24.91, 273.4, 0.3955, 1.53, 1.172, 20.76, 26.05, 15.24
1984, 2, 6.0, 2.267, 1.922, 11.53, 12.0, 23.07, 0.2738, 0.3248, 0.001518, 0.7928, 0.4453, 2.672, 0.2784, 24.02, 23.67, 142.0, 0.2887, 1.545, 1.306, 20.01, 25.23, 15.03
1985, 2, 6.0, 1.732, 1.525, 9.322, 12.0, 18.64, 0.1486, 0.2817, 0.0004584, 0.4305, 0.2227, 1.425, 0.1457, 22.03, 21.83, 131.4, 0.1737, 1.327, 1.167, 21.57, 25.56, 18.33
1986, 1, 5.0, 1.703, 1.496, 7.48, 5.0, 7.48, 0.1432, 0.3281, 0.000328, 0.4993, 0.2906, 1.453, 0.1442, 21.64, 21.42, 107.1, 0.1534, 1.415, 1.241, 21.75, 25.49, 17.69
1987, 1, 15.0, 2.322, 1.791, 26.86, 15.0, 26.86, 0.2848, 0.1593, 0.0005793, 1.038, 0.5036, 7.554, 0.2904, 21.99, 21.47, 322.0, 0.2751, 1.809, 1.392, 21.7, 25.61, 18.47
1988, 2, 9.5, 2.448, 1.956, 17.91, 19.0, 35.82, 0.3207, 0.3012, 0.0004496, 1.156, 0.6597, 5.685, 0.3234, 22.41, 21.95, 206.7, 0.3004, 1.895, 1.508, 21.98, 25.24, 18.41
1989, 1, 5.0, 2.092, 1.658, 8.292, 5.0, 8.292, 0.2397, 0.1921, 0.000175, 0.7865, 0.3518, 1.759, 0.2404, 22.08, 21.6, 108.0, 0.2681, 1.602, 1.269, 21.99, 25.8, 18.07
1990, 2, 7.5, 2.197, 1.977, 15.3, 15.0, 30.6, 0.1864, 0.1571, 0.0001944, 0.6869, 0.4629, 3.59, 0.188, 23.93, 23.71, 181.2, 0.1813, 1.454, 1.305, 21.74, 26.24, 16.75
1991, 4, 8.25, 2.508, 2.277, 19.14, 33.0, 76.58, 0.2112, 0.1872, 0.0002291, 0.6861, 0.4581, 3.884, 0.2024, 25.07, 24.87, 207.5, 0.205, 1.376, 1.251, 22.18, 26.29, 18.22
1992, 3, 11.67, 2.339, 2.007, 25.84, 35.0, 77.51, 0.2275, 0.1445, 0.0002298, 0.7696, 0.4319, 6.09, 0.2286, 24.51, 24.22, 285.3, 0.2557, 1.474, 1.271, 22.08, 25.83, 17.95
