# Annual average marine heatwave statistics at Muizenberg
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.45, 20.77, 13.3
1983, 2, 5.5, 2.338, 1.943, 10.61, 11.0, 21.22, 0.2936, 0.3563, 0.001961, 0.9131, 0.5216, 2.811, 0.2893, 20.48, 20.08, 110.1, 0.3128, 1.64, 1.364, 16.81, 21.13, 13.28
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.74, 20.32, 13.9
1985, 1, 15.0, 1.45, 1.267, 19.0, 15.0, 19.0, 0.1334, 0.04836, 0.0002034, 0.4498, 0.2853, 4.28, 0.1215, 17.12, 16.91, 253.6, 0.1538, 1.45, 1.289, 17.5, 21.11, 15.0
1986, 4, 11.25, 1.651, 1.363, 14.8, 45.0, 59.19, 0.202, 0.1797, 0.0003803, 0.6933, 0.4044, 4.071, 0.2009, 17.41, 17.14, 192.0, 0.1986, 1.739, 1.43, 18.11, 21.3, 15.78
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.74, 21.11, 14.68
1988, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.09, 21.17, 15.03
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.29, 20.6, 13.81
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.95, 20.39, 14.42
1991, 2, 14.5, 2.1, 1.673, 24.42, 29.0, 48.84, 0.2326, 0.1396, 0.0002731, 0.837, 0.3616, 5.079, 0.2354, 20.19, 19.88, 283.0, 0.2642, 1.663, 1.278, 17.44, 20.81, 13.13
