# Annual average marine heatwave statistics at Orient_Beach
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 1, 6.0, 1.486, 1.37, 8.22, 6.0, 8.22, 0.06353, 0.1194, 0.003121, 0.3785, 0.2574, 1.545, 0.06316, 22.04, 21.93, 131.6, 0.07188, 1.342, 1.231, 21.21, 25.77, 15.4
1983, 1, 10.0, 2.782, 2.1, 21.0, 10.0, 21.0, 0.35, 0.4716, 0.002402, 1.291, 0.5891, 5.891, 0.3619, 26.93, 26.17, 261.7, 0.3929, 1.866, 1.392, 21.85, 26.93, 16.87
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.32, 25.27, 15.17
1985, 2, 8.0, 1.873, 1.603, 12.79, 16.0, 25.57, 0.1874, 0.2307, 0.0004966, 0.692, 0.4216, 3.092, 0.1888, 22.71, 22.43, 180.7, 0.2167, 1.591, 1.364, 22.1, 25.8, 18.29
1986, 1, 5.0, 2.116, 1.754, 8.772, 5.0, 8.772, 0.3381, 0.3809, 0.0005612, 1.009, 0.6401, 3.2, 0.3435, 22.67, 22.32, 111.6, 0.3302, 1.911, 1.576, 22.27, 25.63, 17.89
1987, 1, 5.0, 1.472, 1.251, 6.256, 5.0, 6.256, 0.1134, 0.4064, 0.0002093, 0.34, 0.1029, 0.5146, 0.1216, 21.87, 21.66, 108.3, 0.1093, 1.3, 1.09, 22.29, 25.99, 18.61
1988, 4, 9.25, 2.075, 1.773, 16.41, 37.0, 65.62, 0.2191, 0.2653, 0.0004221, 0.8865, 0.5776, 5.66, 0.2207, 23.2, 22.93, 209.2, 0.2288, 1.766, 1.491, 22.59, 25.81, 18.83
1989, 1, 8.0, 2.147, 1.764, 14.11, 8.0, 14.11, 0.273, 0.3517, 0.0003385, 0.9532, 0.5675, 4.54, 0.2751, 22.77, 22.42, 179.4, 0.2532, 1.798, 1.475, 22.45, 26.1, 18.58
1990, 1, 7.0, 1.465, 1.311, 9.178, 7.0, 9.178, 0.08634, 0.1798, 0.0002879, 0.3203, 0.1799, 1.26, 0.07818, 21.9, 21.73, 152.1, 0.09598, 1.28, 1.159, 22.31, 26.34, 18.1
1991, 4, 7.25, 1.964, 1.739, 12.82, 29.0, 51.28, 0.1438, 0.273, 0.0001878, 0.5278, 0.3186, 2.109, 0.1331, 24.81, 24.59, 181.3, 0.1523, 1.367, 1.226, 22.56, 26.79, 18.8
1992, 4, 9.0, 2.025, 1.761, 16.16, 36.0, 64.65, 0.1584, 0.1949, 0.0001975, 0.5581, 0.3079, 3.193, 0.1534, 25.07, 24.77, 224.1, 0.1963, 1.384, 1.215, 22.64, 26.42, 18.66
1993, 3, 5.667, 1.972, 1.771, 10.19, 17.0, 30.58, 0.1659, 0.2126, 0.0001282, 0.5894, 0.3891, 2.331, 0.1689, 24.52, 24.31, 137.6, 0.1638, 1.431, 1.281, 22.75, 26.65, 18.27
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.02, 25.94, 17.71
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.11, 25.75, 17.97
1996, 1, 9.0, 2.013, 1.841, 16.57, 9.0, 16.57, 0.1221, 0.1119, 0.0001164, 0.4326, 0.2881, 2.593, 0.1152, 24.91, 24.64, 221.8, 0.1713, 1.274, 1.185, 22.6, 26.54, 18.8
1997, 3, 7.333, 2.006, 1.866, 14.26, 22.0, 42.78, 0.113, 0.1508, 0.0001011, 0.5727, 0.4248, 3.225, 0.1165, 24.42, 24.29, 183.2, 0.1203, 1.395, 1.292, 22.5, 26.61, 18.9
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.72, 26.33, 19.17
1999, 11, 8.727, 2.134, 1.838, 15.83, 96.0, 174.1, 0.2, 0.1623, 0.0001103, 0.7477, 0.4504, 4.0, 0.2035, 24.79, 24.49, 211.8, 0.2038, 1.547, 1.328, 23.28, 27.13, 19.54
2000, 5, 12.8, 2.341, 1.923, 23.5, 64.0, 117.5, 0.2335, 0.188, 0.0001148, 0.8417, 0.4446, 5.478, 0.2205, 25.98, 25.56, 317.9, 0.2587, 1.567, 1.297, 22.95, 27.23, 18.65
2001, 3, 14.0, 1.957, 1.678, 24.2, 42.0, 72.61, 0.2265, 0.4336, 9.548e-05, 0.6132, 0.3469, 5.169, 0.2244, 24.67, 24.32, 343.1, 0.3009, 1.45, 1.258, 22.85, 26.29, 18.64
2002, 1, 9.0, 2.144, 1.47, 13.23, 9.0, 13.23, 0.4029, 0.1566, 0.0001838, 1.044, 0.3648, 3.283, 0.4066, 22.53, 21.85, 196.7, 0.4043, 1.95, 1.331, 22.66, 26.09, 19.63
2003, 2, 10.0, 2.131, 1.96, 20.76, 20.0, 41.51, 0.1326, 0.1206, 7.346e-05, 0.6465, 0.4685, 5.268, 0.1359, 25.07, 24.87, 253.1, 0.1581, 1.409, 1.287, 22.55, 27.24, 17.65
2004, 1, 8.0, 2.096, 1.79, 14.32, 8.0, 14.32, 0.1488, 1.198, 5.656e-05, 0.6846, 0.3572, 2.857, 0.1531, 24.09, 23.91, 191.3, 0.1477, 1.485, 1.25, 22.59, 26.35, 19.25
2005, 2, 10.5, 2.616, 2.159, 23.17, 21.0, 46.34, 0.2865, 0.1693, 0.0001259, 0.9878, 0.5389, 5.856, 0.2852, 26.14, 25.65, 272.4, 0.2947, 1.596, 1.331, 22.66, 27.57, 19.29
2006, 9, 8.111, 2.098, 1.773, 14.49, 73.0, 130.4, 0.2284, 0.2642, 7.361e-05, 0.7448, 0.4205, 3.442, 0.2284, 24.07, 23.75, 195.2, 0.2357, 1.547, 1.308, 23.09, 26.64, 18.19
