# Annual average marine heatwave statistics at Pollock_Beach
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.66, 22.47, 14.74
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.74, 22.37, 15.48
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.78, 22.24, 14.35
1985, 2, 10.5, 2.544, 1.975, 20.88, 21.0, 41.77, 0.3216, 0.1585, 0.00076, 1.066, 0.5192, 5.62, 0.3239, 21.46, 20.82, 219.1, 0.353, 1.728, 1.358, 19.63, 23.05, 17.04
1986, 4, 5.75, 2.17, 1.804, 10.6, 23.0, 42.39, 0.2395, 0.4189, 0.0005354, 0.7206, 0.3604, 2.113, 0.2359, 21.48, 21.11, 121.6, 0.2401, 1.48, 1.25, 19.83, 23.32, 16.99
1987, 3, 7.0, 1.938, 1.64, 11.46, 21.0, 34.37, 0.1616, 0.6366, 0.0003086, 0.5859, 0.2754, 2.012, 0.1684, 21.31, 21.02, 147.3, 0.1563, 1.44, 1.198, 19.61, 23.44, 16.99
1988, 4, 7.0, 2.137, 1.829, 13.21, 28.0, 52.85, 0.2941, 0.3622, 0.0003745, 0.9786, 0.6707, 5.087, 0.2947, 20.02, 19.71, 138.5, 0.2943, 1.845, 1.578, 19.84, 23.12, 17.13
1989, 3, 10.33, 1.865, 1.544, 16.18, 31.0, 48.53, 0.2008, 0.1567, 0.0002635, 0.7172, 0.3973, 4.273, 0.2007, 19.8, 19.47, 201.6, 0.2101, 1.625, 1.345, 19.74, 22.95, 16.94
1990, 2, 5.5, 2.697, 2.234, 12.17, 11.0, 24.34, 0.2784, 0.2518, 0.0002367, 0.9423, 0.4773, 2.685, 0.2783, 23.61, 23.17, 127.6, 0.261, 1.589, 1.297, 19.73, 24.15, 16.27
1991, 6, 9.0, 2.749, 2.271, 22.04, 54.0, 132.2, 0.3597, 0.3839, 0.000305, 1.21, 0.7094, 7.184, 0.3697, 23.14, 22.69, 204.2, 0.3587, 1.769, 1.446, 20.26, 24.12, 17.18
