# Annual average marine heatwave statistics at Sodwana
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.34, 27.76, 21.95
1983, 5, 6.6, 1.294, 1.133, 7.487, 33.0, 37.43, 0.1318, 0.4116, 0.0009555, 0.4698, 0.3062, 2.166, 0.134, 25.83, 25.65, 167.0, 0.1479, 1.594, 1.385, 24.76, 28.33, 21.1
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.17, 27.08, 20.98
1985, 4, 7.5, 1.545, 1.268, 9.538, 30.0, 38.15, 0.1933, 0.4333, 0.0006157, 0.6809, 0.3987, 3.183, 0.197, 25.92, 25.67, 196.8, 0.1727, 1.798, 1.466, 24.72, 28.69, 21.53
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.43, 27.69, 20.83
1987, 3, 7.667, 1.26, 1.12, 8.569, 23.0, 25.71, 0.09771, 0.2194, 0.0002522, 0.3988, 0.2634, 2.002, 0.09713, 26.64, 26.47, 202.6, 0.1563, 1.475, 1.318, 24.76, 28.22, 21.1
1988, 3, 8.333, 1.541, 1.199, 10.06, 25.0, 30.17, 0.2084, 0.2172, 0.0002656, 0.765, 0.4224, 3.657, 0.2083, 25.73, 25.41, 208.4, 0.194, 2.012, 1.552, 24.68, 28.52, 21.53
1989, 1, 7.0, 1.596, 1.248, 8.733, 7.0, 8.733, 0.2434, 0.1253, 0.0002771, 0.7497, 0.4116, 2.881, 0.2411, 24.02, 23.65, 165.6, 0.2452, 1.885, 1.492, 24.6, 27.77, 21.9
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.54, 28.37, 21.2
1991, 5, 9.2, 1.561, 1.24, 11.84, 46.0, 59.19, 0.1924, 0.1676, 0.0002467, 0.7257, 0.4048, 4.041, 0.1923, 26.54, 26.22, 241.9, 0.2117, 1.857, 1.478, 24.81, 29.47, 21.6
