# Annual average marine heatwave statistics at Tsitsikamma_East
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.52, 22.31, 14.91
1983, 2, 5.5, 2.282, 1.848, 10.23, 11.0, 20.47, 0.2966, 0.5029, 0.001807, 0.9813, 0.5481, 3.013, 0.2962, 21.02, 20.58, 113.8, 0.3021, 1.757, 1.427, 18.59, 22.5, 14.97
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.78, 21.52, 14.9
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.8, 21.97, 16.34
1986, 1, 11.0, 2.412, 1.916, 21.07, 11.0, 21.07, 0.3145, 0.1876, 0.000641, 1.031, 0.5335, 5.869, 0.3038, 21.0, 20.52, 225.7, 0.3444, 1.747, 1.384, 18.97, 22.38, 16.87
1987, 5, 11.4, 2.144, 1.715, 18.93, 57.0, 94.66, 0.283, 0.2022, 0.000434, 0.8868, 0.4489, 4.828, 0.2863, 21.97, 21.61, 246.0, 0.2929, 1.718, 1.354, 19.09, 23.17, 16.4
1988, 4, 13.0, 2.307, 1.748, 22.25, 52.0, 89.0, 0.2905, 0.2657, 0.000444, 1.084, 0.5055, 6.546, 0.2956, 21.68, 21.16, 266.8, 0.2993, 1.909, 1.412, 19.07, 23.31, 16.32
1989, 1, 17.0, 2.399, 1.784, 30.33, 17.0, 30.33, 0.2896, 0.4018, 0.0004639, 1.238, 0.6252, 10.63, 0.29, 20.01, 19.41, 330.0, 0.2822, 2.067, 1.54, 18.81, 22.28, 16.5
1990, 1, 7.0, 2.747, 2.1, 14.7, 7.0, 14.7, 0.4305, 0.5181, 0.0004893, 1.573, 0.9207, 6.445, 0.4356, 20.45, 19.79, 138.5, 0.4469, 2.34, 1.782, 18.89, 22.98, 16.34
1991, 2, 9.5, 2.555, 1.934, 19.02, 19.0, 38.03, 0.2859, 0.2831, 0.0003105, 1.199, 0.5751, 5.698, 0.2866, 21.89, 21.25, 204.2, 0.2956, 1.863, 1.423, 19.13, 22.87, 16.25
1992, 6, 18.33, 2.559, 1.898, 38.24, 110.0, 229.4, 0.419, 0.1528, 0.0003564, 1.29, 0.6312, 14.4, 0.4138, 21.39, 20.69, 389.9, 0.4312, 2.007, 1.497, 19.75, 23.71, 15.98
1993, 7, 10.71, 1.745, 1.514, 16.54, 75.0, 115.8, 0.1479, 0.1455, 0.0001538, 0.5058, 0.2832, 3.258, 0.1452, 20.5, 20.22, 218.4, 0.195, 1.399, 1.224, 19.46, 23.12, 16.39
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.81, 21.2, 15.75
1995, 1, 10.0, 2.004, 1.57, 15.7, 10.0, 15.7, 0.284, 0.1436, 0.0001498, 0.7477, 0.3243, 3.243, 0.2715, 20.53, 20.03, 200.3, 0.3707, 1.595, 1.258, 18.83, 22.05, 14.7
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.37, 22.46, 15.76
1997, 1, 5.0, 1.483, 1.366, 6.83, 5.0, 6.83, 0.1343, 0.1119, 0.0001791, 0.4243, 0.3124, 1.562, 0.1312, 18.68, 18.55, 92.75, 0.1389, 1.401, 1.296, 18.75, 23.1, 16.08
1998, 3, 9.333, 2.072, 1.692, 15.92, 28.0, 47.76, 0.2761, 0.1977, 0.0001258, 0.8962, 0.5188, 4.821, 0.2754, 19.69, 19.3, 179.8, 0.2905, 1.763, 1.443, 19.07, 22.89, 15.93
1999, 1, 6.0, 2.957, 2.275, 13.65, 6.0, 13.65, 0.5764, 0.711, 0.000259, 1.637, 0.9587, 5.752, 0.5807, 21.41, 20.72, 124.3, 0.5729, 2.24, 1.73, 19.14, 22.61, 16.48
2000, 3, 7.667, 1.633, 1.45, 10.98, 23.0, 32.93, 0.107, 0.2432, 6.242e-05, 0.4441, 0.2577, 2.0, 0.1111, 20.37, 20.18, 151.5, 0.1094, 1.378, 1.218, 19.14, 22.8, 16.68
2001, 1, 9.0, 2.236, 1.857, 16.71, 9.0, 16.71, 0.1935, 0.1101, 7.897e-05, 0.8454, 0.5059, 4.553, 0.1856, 21.01, 20.68, 186.1, 0.1839, 1.608, 1.374, 18.8, 21.54, 16.03
2002, 1, 12.0, 2.219, 1.65, 19.79, 12.0, 19.79, 0.3538, 0.1102, 0.0001441, 1.154, 0.5603, 6.723, 0.367, 19.42, 18.89, 226.7, 0.3347, 2.084, 1.519, 18.93, 22.3, 16.04
2003, 3, 10.67, 2.358, 1.719, 18.29, 32.0, 54.86, 0.2852, 0.136, 0.0001437, 1.09, 0.4526, 4.927, 0.2858, 22.7, 22.12, 235.9, 0.2558, 1.853, 1.365, 19.12, 24.25, 15.85
2004, 5, 13.0, 2.04, 1.578, 23.56, 65.0, 117.8, 0.2373, 0.2291, 0.0001208, 0.838, 0.3496, 6.514, 0.2437, 21.04, 20.68, 271.9, 0.293, 1.691, 1.28, 19.39, 22.42, 16.35
2005, 2, 5.0, 1.826, 1.652, 8.262, 10.0, 16.52, 0.1376, 0.2295, 7.015e-05, 0.5885, 0.4096, 2.048, 0.1425, 21.06, 20.91, 104.6, 0.1253, 1.487, 1.346, 19.23, 22.46, 17.06
2006, 2, 6.0, 1.721, 1.647, 9.822, 12.0, 19.64, 0.05377, 0.1529, 6.258e-05, 0.2871, 0.2201, 1.27, 0.05577, 22.04, 21.97, 132.2, 0.07375, 1.2, 1.154, 19.0, 22.41, 16.06
2007, 7, 12.0, 2.697, 2.052, 22.87, 84.0, 160.1, 0.4471, 0.4461, 0.0001393, 1.469, 0.8189, 8.734, 0.4499, 21.8, 21.17, 244.7, 0.433, 2.204, 1.664, 19.42, 23.8, 16.64
2008, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.42, 22.78, 15.14
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.28, 22.2, 14.53
2010, 1, 9.0, 3.113, 2.418, 21.76, 9.0, 21.76, 0.6873, 0.7477, 0.0001571, 1.789, 1.067, 9.606, 0.703, 21.97, 21.24, 191.2, 0.7085, 2.352, 1.797, 18.52, 23.17, 15.21
2011, 2, 6.0, 2.496, 2.092, 12.8, 12.0, 25.59, 0.3126, 0.3251, 0.0001366, 1.228, 0.8129, 5.122, 0.3208, 20.93, 20.57, 123.8, 0.2838, 1.969, 1.639, 18.52, 21.61, 15.51
2012, 6, 10.5, 2.403, 1.865, 20.06, 63.0, 120.3, 0.3558, 0.2721, 0.0001141, 1.164, 0.6297, 7.162, 0.3546, 21.46, 20.91, 220.1, 0.352, 1.947, 1.516, 19.1, 23.57, 13.39
2013, 2, 9.5, 1.835, 1.541, 14.87, 19.0, 29.73, 0.2158, 0.1466, 6.105e-05, 0.7091, 0.4183, 4.142, 0.2156, 19.4, 19.1, 181.8, 0.2181, 1.632, 1.37, 18.92, 22.34, 15.49
2014, 4, 6.75, 2.176, 1.731, 11.91, 27.0, 47.65, 0.3014, 0.3203, 7.203e-05, 0.984, 0.538, 3.831, 0.3025, 21.35, 20.92, 141.2, 0.2896, 1.816, 1.448, 18.69, 23.43, 15.27
