# Annual average marine heatwave statistics at Tsitsikamma_West
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.46, 22.22, 14.5
1983, 2, 5.5, 2.16, 1.698, 9.426, 11.0, 18.85, 0.3093, 0.4304, 0.001868, 0.8812, 0.4179, 2.327, 0.3085, 20.84, 20.37, 112.7, 0.309, 1.678, 1.325, 18.55, 22.38, 14.83
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.68, 21.51, 15.14
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.71, 21.96, 16.18
1986, 1, 15.0, 2.883, 1.912, 28.68, 15.0, 28.68, 0.4534, 0.2714, 0.001042, 1.57, 0.6109, 9.164, 0.4409, 21.25, 20.26, 303.8, 0.4995, 2.197, 1.467, 18.82, 22.43, 16.56
1987, 4, 12.75, 2.252, 1.802, 22.24, 51.0, 88.94, 0.2766, 0.175, 0.000427, 0.9608, 0.4998, 6.032, 0.2777, 22.38, 22.0, 276.9, 0.2948, 1.753, 1.379, 18.97, 23.33, 16.14
1988, 3, 13.33, 2.299, 1.729, 22.18, 40.0, 66.53, 0.2696, 0.2896, 0.0004412, 1.071, 0.4895, 6.426, 0.273, 21.98, 21.42, 272.1, 0.2743, 1.904, 1.399, 18.88, 23.22, 16.08
1989, 1, 17.0, 2.452, 1.843, 31.34, 17.0, 31.34, 0.262, 0.4374, 0.000484, 1.268, 0.6744, 11.46, 0.2608, 19.97, 19.38, 329.5, 0.2549, 2.071, 1.577, 18.66, 21.84, 16.29
1990, 1, 6.0, 2.44, 2.18, 13.08, 6.0, 13.08, 0.1421, 0.6348, 0.0002706, 1.288, 1.026, 6.155, 0.1435, 19.99, 19.71, 118.3, 0.1513, 2.117, 1.889, 18.72, 22.91, 16.26
1991, 3, 9.333, 2.119, 1.633, 16.25, 28.0, 48.74, 0.2622, 0.2013, 0.0002434, 0.8617, 0.3698, 4.089, 0.2668, 20.73, 20.24, 192.8, 0.2722, 1.65, 1.283, 18.98, 22.84, 15.64
1992, 7, 16.29, 2.65, 2.012, 34.24, 114.0, 239.7, 0.4021, 0.1813, 0.000364, 1.362, 0.727, 13.49, 0.4028, 21.71, 21.06, 342.4, 0.4337, 2.064, 1.57, 19.65, 23.65, 15.92
1993, 7, 8.0, 1.756, 1.501, 12.87, 56.0, 90.07, 0.1515, 0.1423, 0.0001496, 0.5483, 0.2938, 2.934, 0.1492, 20.4, 20.14, 164.8, 0.1794, 1.442, 1.233, 19.33, 23.03, 16.29
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.66, 21.35, 15.73
1995, 1, 9.0, 1.825, 1.553, 13.98, 9.0, 13.98, 0.1864, 0.1131, 0.0001085, 0.5435, 0.2909, 2.618, 0.1708, 20.29, 19.93, 179.3, 0.2767, 1.424, 1.229, 18.66, 21.95, 14.77
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.23, 22.49, 15.41
1997, 1, 5.0, 1.633, 1.526, 7.628, 5.0, 7.628, 0.1546, 0.1276, 0.0001864, 0.5731, 0.4691, 2.345, 0.1535, 18.7, 18.58, 92.92, 0.1604, 1.54, 1.444, 18.65, 23.2, 15.88
1998, 2, 12.5, 2.32, 1.826, 22.16, 25.0, 44.32, 0.3584, 0.2347, 0.0001863, 1.165, 0.6726, 7.655, 0.3584, 19.82, 19.31, 239.6, 0.3819, 2.011, 1.584, 18.93, 22.85, 15.86
1999, 1, 7.0, 3.203, 2.207, 15.45, 7.0, 15.45, 0.7181, 1.015, 0.0003205, 1.926, 0.9419, 6.593, 0.7097, 21.46, 20.42, 142.9, 0.7543, 2.508, 1.741, 18.99, 22.35, 16.22
2000, 4, 6.25, 1.844, 1.594, 9.75, 25.0, 39.0, 0.1849, 0.3361, 7.798e-05, 0.6145, 0.3623, 2.143, 0.1891, 20.41, 20.16, 124.4, 0.1795, 1.501, 1.296, 19.0, 22.77, 16.23
2001, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.68, 21.12, 15.95
2002, 1, 12.0, 2.181, 1.693, 20.32, 12.0, 20.32, 0.3651, 0.1077, 0.0001515, 1.115, 0.6172, 7.407, 0.364, 19.24, 18.77, 225.2, 0.3658, 2.046, 1.573, 18.84, 22.31, 16.11
2003, 3, 12.0, 2.437, 1.76, 21.13, 36.0, 63.39, 0.2942, 0.1127, 0.0001419, 1.12, 0.4399, 5.315, 0.295, 22.72, 22.12, 265.6, 0.2576, 1.849, 1.344, 19.06, 24.23, 15.72
2004, 4, 15.25, 2.081, 1.662, 28.7, 61.0, 114.8, 0.2129, 0.2506, 0.0001115, 0.8749, 0.4298, 8.629, 0.2169, 20.78, 20.48, 318.4, 0.2977, 1.709, 1.344, 19.32, 22.54, 16.08
2005, 2, 5.0, 1.674, 1.52, 7.601, 10.0, 15.2, 0.1709, 0.234, 6.024e-05, 0.5426, 0.3876, 1.938, 0.1731, 19.48, 19.33, 96.64, 0.1685, 1.481, 1.344, 19.13, 22.53, 16.67
2006, 3, 9.0, 1.813, 1.587, 14.41, 27.0, 43.24, 0.1697, 0.07994, 7.629e-05, 0.4671, 0.229, 2.169, 0.1752, 21.44, 21.21, 191.9, 0.1839, 1.352, 1.172, 18.86, 22.31, 15.99
2007, 7, 12.0, 2.707, 2.052, 22.81, 84.0, 159.6, 0.4499, 0.4103, 0.0001347, 1.464, 0.8043, 8.43, 0.4519, 21.69, 21.06, 243.6, 0.4391, 2.19, 1.652, 19.37, 23.62, 16.69
2008, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.37, 22.79, 15.21
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.2, 21.84, 14.3
2010, 1, 8.0, 3.347, 2.53, 20.24, 8.0, 20.24, 0.6457, 0.5301, 0.0001743, 2.082, 1.258, 10.07, 0.6596, 21.95, 21.12, 169.0, 0.668, 2.646, 1.995, 18.46, 23.33, 15.1
2011, 2, 6.5, 2.404, 2.122, 13.87, 13.0, 27.73, 0.2405, 0.3217, 0.0001028, 1.127, 0.8433, 5.545, 0.2459, 20.76, 20.49, 133.3, 0.2269, 1.879, 1.659, 18.43, 21.3, 15.54
