# Marine heatwave statistics for individual detected events at Fish_Hoek
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 3, 31, 1983, 4, 2, 1983, 4, 4, 5, 2.43, 2.114, 10.57, 0.2987, 0.3701, 0.002438, 0.9275, 0.6088, 3.044, 0.3016, 20.98, 20.66, 103.3, 0.3047, 1.617, 1.405
2, 1983, 4, 26, 1983, 4, 27, 1983, 4, 30, 5, 2.193, 1.869, 9.345, 0.2418, 0.3508, 0.001573, 0.7444, 0.4308, 2.154, 0.2269, 19.7, 19.36, 96.79, 0.2714, 1.514, 1.298
3, 1985, 8, 17, 1985, 8, 29, 1985, 9, 1, 16, 1.361, 1.231, 19.69, 0.08595, 0.02962, 0.0002977, 0.3578, 0.2486, 3.978, 0.08549, 17.0, 16.85, 269.5, 0.09284, 1.357, 1.253
4, 1986, 3, 14, 1986, 3, 17, 1986, 3, 18, 5, 1.966, 1.863, 9.317, 0.08405, 0.07714, 0.0001742, 0.2572, 0.1476, 0.7379, 0.08825, 21.17, 21.1, 105.5, 0.07966, 1.15, 1.086
5, 1986, 5, 30, 1986, 6, 4, 1986, 6, 6, 8, 2.537, 1.489, 11.91, 0.4958, 0.2708, 0.00103, 1.444, 0.4004, 3.203, 0.4939, 19.14, 18.13, 145.1, 0.4795, 2.321, 1.367
6, 1986, 6, 21, 1986, 6, 29, 1986, 7, 2, 12, 1.545, 1.26, 15.12, 0.1442, 0.05861, 0.0003266, 0.424, 0.1441, 1.729, 0.1418, 17.53, 17.3, 207.6, 0.1427, 1.378, 1.129
7, 1986, 7, 27, 1986, 8, 1, 1986, 8, 11, 16, 1.654, 1.181, 18.9, 0.3382, 0.1314, 0.0004368, 0.7485, 0.2614, 4.183, 0.3385, 17.21, 16.74, 267.9, 0.3401, 1.827, 1.284
8, 1986, 8, 17, 1986, 8, 20, 1986, 8, 23, 7, 1.845, 1.571, 11.0, 0.2151, 0.2348, 0.0004519, 0.8787, 0.6061, 4.242, 0.2145, 17.43, 17.16, 120.1, 0.2141, 1.91, 1.628
9, 1986, 9, 6, 1986, 9, 9, 1986, 9, 10, 5, 1.145, 1.084, 5.422, 0.04934, 0.06102, 0.0001111, 0.1296, 0.06735, 0.3368, 0.0495, 16.85, 16.79, 83.94, 0.05016, 1.128, 1.066
10, 1986, 9, 16, 1986, 9, 19, 1986, 9, 23, 8, 1.77, 1.489, 11.91, 0.2259, 0.1677, 0.0004106, 0.7745, 0.4959, 3.967, 0.2215, 17.57, 17.3, 138.4, 0.2107, 1.778, 1.498
11, 1986, 11, 10, 1986, 11, 10, 1986, 11, 14, 5, 1.295, 1.209, 6.046, 0.05226, 0.4165, 0.0002931, 0.2065, 0.1093, 0.5467, 0.05949, 18.47, 18.47, 92.36, 0.03043, 1.19, 1.1
12, 1991, 4, 18, 1991, 4, 23, 1991, 4, 27, 10, 2.132, 1.903, 19.03, 0.2019, 0.09311, 0.0002112, 0.6504, 0.4279, 4.279, 0.1918, 19.75, 19.54, 195.4, 0.2557, 1.439, 1.289
13, 1991, 5, 4, 1991, 5, 7, 1991, 5, 10, 7, 2.233, 1.775, 12.42, 0.3045, 0.2317, 0.0002641, 0.9249, 0.4691, 3.283, 0.2923, 19.54, 19.09, 133.6, 0.3204, 1.707, 1.358
14, 1991, 12, 12, 1991, 12, 14, 1991, 12, 17, 6, 2.037, 1.724, 10.34, 0.1866, 0.2531, 0.0002297, 0.6927, 0.3806, 2.284, 0.1861, 20.71, 20.42, 122.5, 0.1861, 1.515, 1.283
15, 1992, 1, 29, 1992, 2, 23, 1992, 2, 24, 27, 2.655, 2.066, 55.79, 0.2637, 0.04985, 0.0002239, 1.072, 0.6965, 18.8, 0.2516, 22.45, 22.04, 595.2, 0.248, 1.677, 1.517
16, 1992, 3, 22, 1992, 3, 24, 1992, 3, 27, 6, 1.919, 1.827, 10.96, 0.07329, 0.09784, 0.0001061, 0.2849, 0.1992, 1.195, 0.06741, 20.85, 20.74, 124.4, 0.1219, 1.174, 1.122
17, 1992, 12, 6, 1992, 12, 9, 1992, 12, 13, 8, 2.218, 1.804, 14.43, 0.2487, 0.2775, 0.000165, 0.8868, 0.4732, 3.785, 0.2413, 20.66, 20.27, 162.2, 0.3198, 1.666, 1.355
18, 1992, 12, 18, 1992, 12, 19, 1992, 12, 22, 5, 1.568, 1.463, 7.313, 0.07487, 0.2241, 7.195e-05, 0.2278, 0.1256, 0.628, 0.07315, 20.47, 20.41, 102.0, 0.07908, 1.17, 1.094
19, 1993, 1, 5, 1993, 1, 8, 1993, 1, 18, 14, 1.753, 1.421, 19.9, 0.2321, 0.1692, 0.0001825, 0.6003, 0.2879, 4.03, 0.2277, 21.38, 21.14, 296.0, 0.2326, 1.521, 1.254
20, 1993, 3, 5, 1993, 3, 10, 1993, 3, 25, 21, 3.113, 2.343, 49.2, 0.3294, 0.2231, 0.0003829, 1.367, 0.6331, 13.29, 0.3174, 22.51, 21.58, 453.3, 0.4286, 1.782, 1.369
21, 1994, 10, 8, 1994, 10, 12, 1994, 10, 14, 7, 1.387, 1.101, 7.707, 0.1704, 0.1101, 0.0001265, 0.4753, 0.1879, 1.315, 0.1716, 17.55, 17.24, 120.7, 0.1891, 1.521, 1.206
22, 1994, 10, 25, 1994, 10, 31, 1994, 11, 1, 8, 1.674, 1.274, 10.19, 0.2096, 0.1117, 0.000114, 0.6571, 0.2756, 2.205, 0.1985, 18.43, 17.94, 143.5, 0.2736, 1.646, 1.274
23, 1994, 11, 23, 1994, 11, 25, 1994, 11, 27, 5, 1.522, 1.43, 7.151, 0.08136, 0.1343, 7.856e-05, 0.3102, 0.2184, 1.092, 0.07188, 19.33, 19.24, 96.22, 0.1283, 1.256, 1.18
24, 1998, 5, 5, 1998, 5, 7, 1998, 5, 9, 5, 1.648, 1.558, 7.788, 0.06768, 0.1992, 7.181e-05, 0.3399, 0.251, 1.255, 0.06908, 18.96, 18.87, 94.34, 0.07506, 1.26, 1.192
25, 1999, 8, 15, 1999, 8, 16, 1999, 8, 23, 9, 1.833, 1.535, 13.82, 0.2305, 0.624, 0.0001239, 0.8761, 0.5723, 5.151, 0.2314, 17.4, 17.12, 154.1, 0.2275, 1.916, 1.595
