# Marine heatwave statistics for individual detected events at Gordons_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 3, 31, 1983, 4, 2, 1983, 4, 12, 13, 2.785, 2.208, 28.71, 0.3497, 0.3587, 0.003089, 1.107, 0.5997, 7.796, 0.334, 20.71, 19.95, 259.4, 0.4135, 1.659, 1.372
2, 1983, 4, 25, 1983, 4, 26, 1983, 5, 2, 8, 2.203, 1.766, 14.13, 0.259, 0.4871, 0.002916, 0.6871, 0.2945, 2.356, 0.2355, 19.14, 18.65, 149.2, 0.2919, 1.453, 1.198
3, 1985, 8, 20, 1985, 8, 29, 1985, 9, 1, 13, 1.429, 1.216, 15.8, 0.1218, 0.05023, 0.0003139, 0.4889, 0.2742, 3.564, 0.1223, 16.71, 16.47, 214.1, 0.1445, 1.52, 1.291
4, 1986, 3, 14, 1986, 3, 16, 1986, 3, 19, 6, 2.093, 2.021, 12.13, 0.06027, 0.07127, 0.0001719, 0.2096, 0.14, 0.8398, 0.05492, 20.73, 20.64, 123.8, 0.1127, 1.111, 1.074
5, 1986, 5, 29, 1986, 6, 4, 1986, 6, 5, 8, 2.491, 1.453, 11.62, 0.5008, 0.2238, 0.0009199, 1.503, 0.4705, 3.764, 0.4982, 18.66, 17.68, 141.5, 0.4741, 2.521, 1.478
6, 1986, 6, 21, 1986, 7, 1, 1986, 7, 2, 12, 1.567, 1.313, 15.76, 0.2001, 0.04878, 0.0002458, 0.581, 0.3179, 3.815, 0.2038, 17.07, 16.92, 203.0, 0.1799, 1.589, 1.32
7, 1986, 7, 24, 1986, 8, 1, 1986, 8, 13, 21, 1.875, 1.376, 28.9, 0.3059, 0.1381, 0.0004794, 1.045, 0.5271, 11.07, 0.3035, 17.02, 16.53, 347.1, 0.2982, 2.258, 1.621
8, 1986, 8, 17, 1986, 8, 20, 1986, 8, 23, 7, 1.746, 1.409, 9.861, 0.2281, 0.2496, 0.0004495, 0.8067, 0.4706, 3.294, 0.2242, 16.94, 16.61, 116.3, 0.2336, 1.858, 1.501
9, 1986, 9, 16, 1986, 9, 17, 1986, 9, 21, 6, 1.513, 1.37, 8.217, 0.1288, 0.322, 0.0003768, 0.6989, 0.5627, 3.376, 0.1229, 17.03, 16.92, 101.5, 0.1086, 1.859, 1.696
10, 1987, 3, 15, 1987, 3, 18, 1987, 3, 20, 6, 2.132, 2.048, 12.29, 0.05681, 0.1122, 0.0001923, 0.2574, 0.1728, 1.037, 0.05431, 20.69, 20.63, 123.8, 0.09793, 1.137, 1.092
11, 1991, 4, 29, 1991, 5, 6, 1991, 5, 10, 12, 2.344, 1.878, 22.54, 0.3016, 0.1311, 0.0002981, 0.9985, 0.5075, 6.09, 0.3079, 19.1, 18.66, 223.9, 0.3047, 1.742, 1.372
12, 1991, 12, 12, 1991, 12, 14, 1991, 12, 17, 6, 2.025, 1.683, 10.1, 0.2139, 0.2894, 0.0002636, 0.7564, 0.4163, 2.498, 0.2129, 20.49, 20.17, 121.0, 0.2229, 1.596, 1.329
13, 1992, 1, 29, 1992, 2, 23, 1992, 2, 24, 27, 3.142, 2.319, 62.61, 0.3765, 0.06593, 0.0002634, 1.443, 0.8071, 21.79, 0.3208, 22.47, 21.87, 590.6, 0.3275, 1.849, 1.533
14, 1992, 3, 21, 1992, 3, 22, 1992, 3, 28, 8, 2.39, 2.146, 17.17, 0.1444, 0.3059, 0.0002124, 0.5477, 0.3269, 2.615, 0.1303, 20.78, 20.43, 163.5, 0.2223, 1.297, 1.179
15, 1992, 4, 10, 1992, 4, 15, 1992, 4, 16, 7, 2.086, 1.896, 13.27, 0.1356, 0.1318, 0.000166, 0.531, 0.3461, 2.423, 0.1336, 19.4, 19.31, 135.2, 0.08425, 1.342, 1.223
16, 1992, 12, 6, 1992, 12, 9, 1992, 12, 13, 8, 2.121, 1.676, 13.41, 0.2637, 0.3021, 0.0001791, 0.8478, 0.4038, 3.23, 0.2625, 20.36, 19.94, 159.5, 0.3197, 1.666, 1.317
17, 1992, 12, 17, 1992, 12, 18, 1992, 12, 23, 7, 1.723, 1.518, 10.63, 0.1695, 0.339, 0.0001345, 0.4683, 0.2741, 1.919, 0.1631, 20.37, 20.25, 141.7, 0.1546, 1.373, 1.22
18, 1992, 12, 30, 1993, 1, 7, 1993, 1, 9, 11, 1.733, 1.458, 16.03, 0.1681, 0.07042, 0.0001632, 0.5747, 0.291, 3.201, 0.1714, 21.07, 20.71, 227.9, 0.2143, 1.496, 1.25
19, 1993, 1, 13, 1993, 1, 17, 1993, 1, 18, 6, 1.508, 1.348, 8.091, 0.134, 0.1073, 8.271e-05, 0.337, 0.1845, 1.107, 0.1267, 21.05, 20.87, 125.2, 0.1605, 1.288, 1.158
20, 1993, 3, 5, 1993, 3, 11, 1993, 3, 25, 21, 3.613, 2.802, 58.85, 0.3477, 0.2468, 0.0003411, 1.703, 0.9212, 19.34, 0.3445, 22.41, 21.45, 450.5, 0.4167, 1.891, 1.49
21, 1994, 10, 27, 1994, 10, 31, 1994, 11, 2, 7, 1.845, 1.277, 8.942, 0.3055, 0.185, 0.0001896, 0.909, 0.3522, 2.465, 0.2974, 18.39, 17.79, 124.5, 0.3422, 1.971, 1.378
22, 1994, 11, 22, 1994, 11, 27, 1994, 12, 5, 14, 1.883, 1.395, 19.53, 0.2506, 0.1518, 0.0001594, 0.6584, 0.1664, 2.329, 0.2584, 19.59, 19.17, 268.4, 0.2684, 1.538, 1.137
23, 1995, 2, 8, 1995, 2, 9, 1995, 2, 12, 5, 2.11, 1.88, 9.399, 0.147, 0.3921, 9.701e-05, 0.6257, 0.3763, 1.882, 0.1523, 21.72, 21.48, 107.4, 0.1519, 1.421, 1.251
24, 1997, 2, 20, 1997, 2, 23, 1997, 2, 24, 5, 1.927, 1.772, 8.86, 0.09445, 0.1053, 7.183e-05, 0.2278, 0.0863, 0.4315, 0.07913, 21.26, 21.13, 105.7, 0.06653, 1.134, 1.051
25, 1998, 5, 5, 1998, 5, 7, 1998, 5, 9, 5, 1.689, 1.646, 8.23, 0.04652, 0.1286, 4.756e-05, 0.3578, 0.3154, 1.577, 0.06613, 18.43, 18.39, 91.93, 0.03056, 1.269, 1.238
