# Marine heatwave statistics for individual detected events at Hamburg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 4, 8, 1983, 4, 10, 1983, 4, 17, 10, 2.607, 2.06, 20.6, 0.2327, 0.3462, 0.001844, 0.8804, 0.3289, 3.289, 0.2367, 26.05, 25.43, 254.3, 0.2925, 1.51, 1.19
2, 1983, 5, 6, 1983, 5, 9, 1983, 5, 17, 12, 2.765, 2.056, 24.67, 0.4602, 0.2512, 0.002758, 0.9812, 0.2743, 3.291, 0.4577, 25.18, 24.39, 292.6, 0.4985, 1.55, 1.154
3, 1984, 6, 25, 1984, 6, 28, 1984, 6, 30, 6, 2.167, 1.808, 10.85, 0.3344, 0.3263, 0.002031, 0.8294, 0.4687, 2.812, 0.3359, 22.79, 22.45, 134.7, 0.3296, 1.62, 1.35
4, 1984, 12, 30, 1985, 1, 2, 1985, 1, 4, 6, 2.366, 2.036, 12.22, 0.2132, 0.3232, 0.001006, 0.7562, 0.4219, 2.532, 0.2209, 25.25, 24.9, 149.4, 0.2479, 1.47, 1.262
5, 1985, 7, 25, 1985, 7, 25, 1985, 7, 29, 5, 1.554, 1.352, 6.762, 0.1343, 0.3285, 0.0004046, 0.3293, 0.1342, 0.671, 0.13, 21.58, 21.34, 106.7, 0.1553, 1.269, 1.11
6, 1985, 10, 29, 1985, 10, 31, 1985, 11, 4, 7, 1.909, 1.697, 11.88, 0.1629, 0.2348, 0.0005123, 0.5317, 0.3112, 2.179, 0.1615, 22.48, 22.31, 156.2, 0.1921, 1.386, 1.224
7, 1986, 7, 30, 1986, 7, 31, 1986, 8, 3, 5, 1.703, 1.496, 7.48, 0.1432, 0.3281, 0.000328, 0.4993, 0.2906, 1.453, 0.1442, 21.64, 21.42, 107.1, 0.1534, 1.415, 1.241
8, 1987, 9, 13, 1987, 9, 20, 1987, 9, 27, 15, 2.322, 1.791, 26.86, 0.2848, 0.1593, 0.0005793, 1.038, 0.5036, 7.554, 0.2904, 21.99, 21.47, 322.0, 0.2751, 1.809, 1.392
9, 1988, 8, 15, 1988, 8, 25, 1988, 8, 28, 14, 2.49, 1.806, 25.29, 0.3196, 0.1126, 0.0004474, 1.217, 0.5303, 7.424, 0.3211, 22.21, 21.55, 301.7, 0.3013, 1.956, 1.416
10, 1988, 10, 19, 1988, 10, 20, 1988, 10, 23, 5, 2.407, 2.105, 10.53, 0.3217, 0.4898, 0.0004518, 1.095, 0.789, 3.945, 0.3257, 22.62, 22.35, 111.7, 0.2995, 1.835, 1.6
11, 1989, 10, 7, 1989, 10, 11, 1989, 10, 11, 5, 2.092, 1.658, 8.292, 0.2397, 0.1921, 0.000175, 0.7865, 0.3518, 1.759, 0.2404, 22.08, 21.6, 108.0, 0.2681, 1.602, 1.269
12, 1990, 3, 21, 1990, 3, 26, 1990, 3, 29, 9, 2.545, 2.292, 20.63, 0.2292, 0.1573, 0.0002642, 0.8026, 0.5412, 4.871, 0.2346, 26.24, 25.98, 233.8, 0.2332, 1.46, 1.31
13, 1990, 8, 14, 1990, 8, 17, 1990, 8, 19, 6, 1.849, 1.662, 9.97, 0.1437, 0.1568, 0.0001245, 0.5713, 0.3846, 2.308, 0.1413, 21.62, 21.44, 128.6, 0.1294, 1.447, 1.301
14, 1991, 2, 26, 1991, 3, 6, 1991, 3, 10, 13, 2.652, 2.447, 31.81, 0.1611, 0.07179, 0.0002322, 0.6798, 0.4784, 6.22, 0.1554, 26.29, 26.09, 339.1, 0.1611, 1.345, 1.243
15, 1991, 5, 1, 1991, 5, 5, 1991, 5, 7, 7, 2.649, 2.444, 17.11, 0.2438, 0.1783, 0.0002331, 0.8462, 0.6422, 4.495, 0.241, 25.19, 25.02, 175.2, 0.2436, 1.469, 1.356
16, 1991, 5, 24, 1991, 5, 27, 1991, 5, 28, 5, 2.216, 2.023, 10.11, 0.1731, 0.1458, 0.0002145, 0.4967, 0.2907, 1.454, 0.1649, 23.94, 23.78, 118.9, 0.2002, 1.289, 1.167
17, 1991, 12, 17, 1991, 12, 19, 1991, 12, 24, 8, 2.514, 2.193, 17.54, 0.2668, 0.3531, 0.0002367, 0.7219, 0.421, 3.368, 0.2483, 24.86, 24.6, 196.8, 0.215, 1.403, 1.236
18, 1992, 1, 12, 1992, 1, 15, 1992, 1, 16, 5, 1.959, 1.743, 8.715, 0.1185, 0.1413, 0.0001465, 0.4852, 0.2633, 1.316, 0.1213, 25.36, 25.11, 125.5, 0.146, 1.329, 1.178
19, 1992, 5, 1, 1992, 5, 18, 1992, 5, 25, 25, 3.072, 2.37, 59.25, 0.4959, 0.07801, 0.0003617, 1.302, 0.5895, 14.74, 0.4998, 25.16, 24.63, 615.8, 0.4988, 1.735, 1.332
20, 1992, 11, 8, 1992, 11, 10, 1992, 11, 12, 5, 1.987, 1.909, 9.545, 0.06822, 0.2143, 0.0001812, 0.5219, 0.443, 2.215, 0.06468, 23.0, 22.92, 114.6, 0.1224, 1.356, 1.302
21, 1993, 4, 22, 1993, 4, 23, 1993, 4, 29, 8, 2.233, 2.011, 16.09, 0.1456, 0.3564, 9.175e-05, 0.4681, 0.2359, 1.887, 0.1454, 25.26, 24.94, 199.5, 0.1687, 1.265, 1.133
22, 1993, 6, 15, 1993, 6, 17, 1993, 6, 20, 6, 2.576, 2.234, 13.4, 0.2265, 0.316, 0.000284, 1.162, 0.8251, 4.95, 0.2158, 23.55, 23.19, 139.2, 0.2645, 1.822, 1.585
23, 1993, 7, 14, 1993, 7, 15, 1993, 7, 18, 5, 1.653, 1.524, 7.62, 0.09933, 0.1643, 0.0001326, 0.3683, 0.2455, 1.227, 0.09284, 21.87, 21.72, 108.6, 0.1209, 1.287, 1.192
24, 1993, 8, 19, 1993, 8, 24, 1993, 8, 26, 8, 2.127, 1.922, 15.38, 0.1709, 0.1642, 0.0001443, 0.8524, 0.645, 5.16, 0.1728, 21.85, 21.65, 173.2, 0.1626, 1.669, 1.505
25, 1993, 11, 17, 1993, 11, 20, 1993, 11, 24, 8, 2.346, 2.069, 16.55, 0.2042, 0.2832, 0.0001989, 0.8194, 0.5334, 4.267, 0.2256, 23.8, 23.54, 188.3, 0.1679, 1.537, 1.35
26, 1994, 4, 11, 1994, 4, 12, 1994, 4, 16, 6, 2.245, 1.98, 11.88, 0.1333, 0.2858, 0.0001036, 0.5169, 0.2474, 1.484, 0.1355, 25.63, 25.32, 151.9, 0.1643, 1.299, 1.143
27, 1994, 10, 11, 1994, 10, 14, 1994, 10, 15, 5, 1.802, 1.605, 8.027, 0.1827, 0.3282, 0.0001152, 0.502, 0.3034, 1.517, 0.1841, 21.86, 21.64, 108.2, 0.1936, 1.386, 1.233
28, 1995, 5, 16, 1995, 5, 19, 1995, 5, 23, 8, 2.187, 2.059, 16.47, 0.1225, 0.1373, 6.572e-05, 0.4165, 0.2897, 2.318, 0.1241, 24.23, 24.08, 192.6, 0.1119, 1.235, 1.164
29, 1995, 6, 3, 1995, 6, 4, 1995, 6, 8, 6, 1.881, 1.699, 10.19, 0.1136, 0.1928, 9.101e-05, 0.312, 0.1512, 0.9074, 0.1027, 23.34, 23.1, 138.6, 0.1606, 1.199, 1.097
30, 1995, 6, 22, 1995, 6, 24, 1995, 6, 28, 7, 1.534, 1.429, 10.0, 0.07183, 0.06229, 4.977e-05, 0.1832, 0.08062, 0.5643, 0.06805, 22.29, 22.15, 155.1, 0.1248, 1.136, 1.06
31, 1996, 12, 17, 1996, 12, 18, 1996, 12, 21, 5, 2.078, 1.934, 9.671, 0.08004, 0.1979, 8.247e-05, 0.2844, 0.1471, 0.7356, 0.07591, 24.39, 24.28, 121.4, 0.07359, 1.159, 1.082
32, 1997, 1, 28, 1997, 2, 1, 1997, 2, 3, 7, 2.142, 1.97, 13.79, 0.1236, 0.1349, 0.0001472, 0.473, 0.3169, 2.218, 0.1287, 25.87, 25.69, 179.8, 0.1244, 1.283, 1.192
33, 1997, 9, 28, 1997, 9, 30, 1997, 10, 8, 11, 2.345, 1.855, 20.4, 0.2718, 0.4131, 0.0001818, 1.021, 0.5362, 5.898, 0.2709, 22.13, 21.69, 238.6, 0.2718, 1.772, 1.407
34, 1997, 11, 1, 1997, 11, 3, 1997, 11, 5, 5, 1.891, 1.765, 8.826, 0.1126, 0.2762, 6.389e-05, 0.4891, 0.3603, 1.801, 0.1091, 22.58, 22.46, 112.3, 0.1465, 1.349, 1.256
35, 1998, 12, 28, 1999, 1, 1, 1999, 1, 1, 5, 2.004, 1.897, 9.483, 0.1112, 0.1034, 5.541e-05, 0.3849, 0.2542, 1.271, 0.1255, 24.85, 24.67, 123.3, 0.1547, 1.238, 1.155
36, 1999, 1, 11, 1999, 1, 12, 1999, 1, 16, 6, 2.234, 1.905, 11.43, 0.2399, 0.5666, 0.0001402, 0.7423, 0.4209, 2.525, 0.239, 25.52, 25.25, 151.5, 0.2243, 1.498, 1.284
37, 1999, 1, 30, 1999, 2, 2, 1999, 2, 6, 8, 2.603, 2.261, 18.09, 0.2559, 0.31, 0.0001103, 0.9196, 0.5682, 4.545, 0.2576, 26.34, 26.0, 208.0, 0.2589, 1.546, 1.336
38, 1999, 2, 14, 1999, 2, 17, 1999, 2, 19, 6, 2.388, 2.147, 12.88, 0.1666, 0.1652, 0.0001385, 0.4824, 0.2478, 1.487, 0.1539, 26.08, 25.84, 155.1, 0.1561, 1.253, 1.13
39, 1999, 3, 15, 1999, 3, 21, 1999, 3, 25, 11, 2.953, 2.626, 28.89, 0.1828, 0.1476, 0.0001494, 1.168, 0.8194, 9.013, 0.1782, 26.64, 26.31, 289.4, 0.1804, 1.654, 1.454
40, 1999, 4, 14, 1999, 4, 15, 1999, 4, 20, 7, 2.529, 2.144, 15.01, 0.274, 0.3681, 0.0001431, 0.7919, 0.3991, 2.794, 0.2802, 25.82, 25.37, 177.6, 0.3276, 1.456, 1.229
41, 1999, 5, 30, 1999, 5, 31, 1999, 6, 4, 6, 2.186, 2.044, 12.26, 0.09563, 0.3355, 7.317e-05, 0.5332, 0.4233, 2.54, 0.09527, 23.78, 23.59, 141.5, 0.1216, 1.323, 1.262
42, 1999, 6, 19, 1999, 6, 22, 1999, 6, 25, 7, 2.299, 1.937, 13.56, 0.28, 0.2233, 0.0001803, 0.9308, 0.5691, 3.983, 0.2743, 23.12, 22.76, 159.3, 0.311, 1.68, 1.415
43, 1999, 7, 15, 1999, 7, 16, 1999, 7, 20, 6, 1.621, 1.445, 8.672, 0.1195, 0.2413, 6.352e-05, 0.3425, 0.1763, 1.058, 0.115, 21.82, 21.61, 129.7, 0.1371, 1.268, 1.139
44, 1999, 8, 13, 1999, 8, 23, 1999, 8, 24, 12, 2.673, 2.162, 25.95, 0.3908, 0.1232, 0.0001809, 1.396, 0.8853, 10.62, 0.3894, 22.4, 21.92, 263.1, 0.3692, 2.094, 1.693
45, 1999, 11, 20, 1999, 11, 23, 1999, 11, 24, 5, 2.311, 1.928, 9.639, 0.2501, 0.2359, 9.148e-05, 0.7397, 0.3715, 1.858, 0.236, 23.87, 23.45, 117.3, 0.2877, 1.471, 1.237
46, 1999, 12, 5, 1999, 12, 10, 1999, 12, 16, 12, 2.692, 2.167, 26.01, 0.284, 0.1489, 0.00011, 0.9843, 0.4495, 5.394, 0.2678, 24.77, 24.26, 291.2, 0.3353, 1.576, 1.261
47, 1999, 12, 24, 1999, 12, 27, 2000, 1, 4, 12, 3.008, 2.538, 30.45, 0.4219, 0.428, 0.0002191, 1.321, 0.8836, 10.6, 0.4185, 25.66, 25.29, 303.4, 0.4155, 1.783, 1.534
48, 2000, 1, 21, 2000, 1, 30, 2000, 2, 6, 17, 3.232, 2.528, 42.98, 0.4484, 0.1651, 0.0002852, 1.592, 0.9063, 15.41, 0.4229, 26.94, 26.22, 445.7, 0.4793, 1.97, 1.556
49, 2000, 2, 16, 2000, 2, 17, 2000, 2, 20, 5, 2.128, 2.079, 10.4, 0.04033, 0.1088, 2.776e-05, 0.2224, 0.1637, 0.8187, 0.05407, 25.82, 25.76, 128.8, 0.05083, 1.117, 1.086
50, 2000, 3, 16, 2000, 3, 17, 2000, 3, 20, 5, 2.371, 2.206, 11.03, 0.1189, 0.3248, 9.554e-05, 0.5202, 0.372, 1.86, 0.09871, 26.04, 25.88, 129.4, 0.113, 1.281, 1.202
51, 2000, 4, 4, 2000, 4, 7, 2000, 4, 22, 19, 2.689, 2.272, 43.17, 0.2338, 0.2499, 0.0001421, 0.9708, 0.538, 10.22, 0.2336, 26.21, 25.62, 486.7, 0.2816, 1.565, 1.31
52, 2000, 6, 21, 2000, 6, 30, 2000, 7, 23, 33, 2.522, 2.029, 66.95, 0.3012, 0.1057, 0.0001876, 1.183, 0.7148, 23.59, 0.2802, 23.08, 22.44, 740.4, 0.4361, 1.884, 1.541
53, 2001, 4, 22, 2001, 4, 26, 2001, 4, 30, 9, 2.832, 2.436, 21.92, 0.4149, 0.2508, 0.0001857, 1.055, 0.6581, 5.923, 0.4107, 25.74, 25.34, 228.1, 0.3871, 1.594, 1.37
54, 2001, 5, 25, 2001, 5, 26, 2001, 5, 31, 7, 2.302, 1.969, 13.79, 0.1509, 1.052, 6.852e-05, 0.5685, 0.2665, 1.865, 0.1527, 24.06, 23.66, 165.6, 0.1682, 1.328, 1.157
55, 2002, 3, 8, 2002, 3, 8, 2002, 3, 12, 5, 2.372, 2.176, 10.88, 0.1536, 0.7302, 9.003e-05, 0.4102, 0.2301, 1.15, 0.1412, 26.01, 25.82, 129.1, 0.1512, 1.209, 1.118
56, 2002, 7, 24, 2002, 7, 28, 2002, 7, 28, 5, 2.735, 2.188, 10.94, 0.4917, 0.3742, 0.0001269, 1.521, 0.9657, 4.829, 0.4962, 22.71, 22.2, 111.0, 0.4674, 2.252, 1.792
57, 2003, 2, 10, 2003, 2, 15, 2003, 2, 22, 13, 2.91, 2.511, 32.64, 0.2885, 0.2101, 0.0001684, 1.026, 0.6219, 8.084, 0.2826, 26.62, 26.21, 340.8, 0.2866, 1.545, 1.329
58, 2003, 5, 20, 2003, 5, 23, 2003, 5, 28, 9, 2.351, 1.975, 17.77, 0.1992, 0.2362, 0.0001217, 0.5875, 0.2272, 2.045, 0.1873, 24.22, 23.81, 214.3, 0.2504, 1.333, 1.129
59, 2004, 11, 20, 2004, 11, 24, 2004, 11, 24, 5, 2.256, 2.016, 10.08, 0.2371, 0.1502, 4.16e-05, 0.6732, 0.4595, 2.298, 0.2191, 23.85, 23.54, 117.7, 0.2838, 1.425, 1.294
60, 2005, 2, 16, 2005, 2, 21, 2005, 2, 25, 10, 2.567, 2.307, 23.07, 0.1954, 0.1178, 4.388e-05, 0.6271, 0.3761, 3.761, 0.1821, 26.23, 25.98, 259.8, 0.1836, 1.323, 1.194
61, 2005, 3, 5, 2005, 3, 10, 2005, 3, 10, 6, 2.701, 2.38, 14.28, 0.2427, 0.1145, 4.738e-05, 0.7533, 0.4165, 2.499, 0.2518, 26.34, 26.02, 156.1, 0.2429, 1.387, 1.213
62, 2006, 3, 14, 2006, 3, 20, 2006, 3, 21, 8, 2.537, 2.325, 18.6, 0.2088, 0.08128, 0.0001155, 0.7354, 0.4832, 3.866, 0.1989, 26.22, 26.0, 208.0, 0.2056, 1.408, 1.262
