# Marine heatwave statistics for individual detected events at Hermanus
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 3, 28, 1983, 4, 2, 1983, 4, 12, 16, 2.535, 1.798, 28.77, 0.3432, 0.1977, 0.002789, 1.151, 0.4504, 7.206, 0.3472, 21.33, 20.46, 327.4, 0.4024, 1.832, 1.337
2, 1983, 4, 25, 1983, 4, 26, 1983, 4, 30, 6, 1.753, 1.349, 8.096, 0.2512, 0.4605, 0.001388, 0.6083, 0.2304, 1.383, 0.238, 19.4, 18.95, 113.7, 0.2847, 1.531, 1.204
3, 1985, 8, 19, 1985, 8, 26, 1985, 8, 29, 11, 1.344, 1.192, 13.12, 0.1259, 0.06927, 0.0004035, 0.4211, 0.2761, 3.037, 0.1195, 17.01, 16.84, 185.3, 0.1425, 1.456, 1.3
4, 1985, 9, 2, 1985, 9, 6, 1985, 9, 6, 5, 1.417, 1.198, 5.991, 0.2071, 0.1479, 0.0004543, 0.513, 0.282, 1.41, 0.2142, 17.17, 16.93, 84.66, 0.2178, 1.567, 1.31
5, 1986, 5, 29, 1986, 6, 4, 1986, 6, 4, 7, 2.13, 1.571, 11.0, 0.3392, 0.1642, 0.0003908, 1.172, 0.6195, 4.336, 0.3359, 18.7, 18.22, 127.5, 0.3005, 2.224, 1.65
6, 1986, 7, 24, 1986, 8, 7, 1986, 8, 25, 33, 2.345, 1.639, 54.08, 0.3765, 0.0974, 0.0008163, 1.509, 0.7802, 25.75, 0.3921, 17.92, 17.24, 568.9, 0.3615, 2.806, 1.919
7, 1986, 9, 16, 1986, 9, 16, 1986, 9, 21, 6, 1.5, 1.217, 7.299, 0.2273, 0.9056, 0.0004767, 0.6479, 0.3705, 2.223, 0.2229, 17.35, 17.11, 102.7, 0.1998, 1.761, 1.437
8, 1987, 3, 16, 1987, 3, 19, 1987, 3, 20, 5, 1.74, 1.669, 8.344, 0.06542, 0.06686, 0.0002204, 0.1819, 0.1048, 0.5241, 0.06459, 21.15, 21.11, 105.6, 0.0873, 1.117, 1.067
9, 1987, 3, 25, 1987, 3, 29, 1987, 3, 30, 6, 2.03, 1.753, 10.52, 0.1858, 0.1074, 0.0002754, 0.5925, 0.2936, 1.762, 0.2015, 21.01, 20.8, 124.8, 0.1502, 1.412, 1.203
10, 1991, 4, 18, 1991, 4, 20, 1991, 4, 24, 7, 1.857, 1.436, 10.05, 0.2401, 0.2372, 0.0002175, 0.6222, 0.2161, 1.513, 0.2257, 19.74, 19.28, 135.0, 0.3015, 1.504, 1.175
11, 1991, 4, 29, 1991, 5, 5, 1991, 5, 12, 14, 1.974, 1.615, 22.61, 0.3137, 0.09464, 0.000284, 0.9543, 0.5875, 8.225, 0.2968, 19.35, 18.98, 265.7, 0.4043, 1.936, 1.568
12, 1991, 12, 11, 1991, 12, 14, 1991, 12, 17, 7, 1.859, 1.542, 10.79, 0.2012, 0.1824, 0.0002059, 0.696, 0.3799, 2.659, 0.2011, 20.89, 20.58, 144.0, 0.2071, 1.599, 1.327
13, 1992, 1, 27, 1992, 2, 23, 1992, 2, 24, 29, 2.813, 2.086, 60.5, 0.4255, 0.06517, 0.0002823, 1.44, 0.8808, 25.54, 0.3893, 22.96, 22.43, 650.4, 0.4064, 2.048, 1.727
