# Marine heatwave statistics for individual detected events at Hout_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1984, 5, 11, 1984, 5, 12, 1984, 5, 16, 6, 1.903, 1.793, 10.76, 0.1059, 0.2628, 0.0005988, 0.4341, 0.3503, 2.102, 0.09466, 17.73, 17.62, 105.7, 0.1051, 1.296, 1.243
2, 1984, 5, 23, 1984, 5, 24, 1984, 5, 28, 6, 1.952, 1.514, 9.086, 0.2888, 0.3211, 0.0009683, 0.682, 0.2703, 1.622, 0.2623, 17.74, 17.28, 103.7, 0.3143, 1.537, 1.213
3, 1986, 5, 31, 1986, 6, 4, 1986, 6, 5, 6, 2.668, 1.874, 11.24, 0.4651, 0.3325, 0.001068, 1.521, 0.7179, 4.307, 0.4672, 18.25, 17.48, 104.9, 0.4604, 2.326, 1.622
4, 1986, 6, 21, 1986, 6, 28, 1986, 7, 2, 12, 1.727, 1.357, 16.29, 0.1861, 0.1086, 0.0003324, 0.692, 0.3256, 3.907, 0.1859, 16.91, 16.56, 198.7, 0.1699, 1.669, 1.316
5, 1986, 7, 29, 1986, 8, 1, 1986, 8, 3, 6, 1.456, 1.217, 7.302, 0.1778, 0.142, 0.0002068, 0.4861, 0.247, 1.482, 0.1755, 16.31, 16.07, 96.44, 0.1737, 1.501, 1.254
6, 1986, 8, 10, 1986, 8, 20, 1986, 8, 28, 19, 1.754, 1.252, 23.79, 0.211, 0.07237, 0.0005837, 0.8326, 0.3206, 6.092, 0.2127, 16.66, 16.16, 307.0, 0.2089, 1.904, 1.345
7, 1986, 9, 6, 1986, 9, 7, 1986, 9, 10, 5, 1.222, 1.097, 5.487, 0.07383, 0.2725, 0.0001753, 0.3054, 0.1785, 0.8924, 0.07495, 16.23, 16.11, 80.55, 0.07294, 1.333, 1.194
8, 1986, 9, 16, 1986, 9, 19, 1986, 9, 21, 6, 1.194, 1.113, 6.68, 0.07153, 0.08944, 0.0001084, 0.2623, 0.182, 1.092, 0.07145, 16.26, 16.18, 97.06, 0.07608, 1.281, 1.195
9, 1986, 10, 19, 1986, 10, 22, 1986, 10, 23, 5, 1.993, 1.446, 7.228, 0.3227, 0.317, 0.0005654, 0.9601, 0.4256, 2.128, 0.3093, 17.28, 16.71, 83.56, 0.3463, 1.93, 1.413
10, 1987, 2, 15, 1987, 2, 19, 1987, 2, 21, 7, 2.488, 2.254, 15.78, 0.1943, 0.1006, 0.0002874, 0.5876, 0.345, 2.415, 0.2016, 20.45, 20.23, 141.6, 0.1846, 1.309, 1.181
