# Marine heatwave statistics for individual detected events at Kommetjie
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 4, 27, 1983, 4, 27, 1983, 5, 2, 6, 1.743, 1.716, 10.29, 0.03208, 0.3843, 0.001607, 0.1229, 0.1296, 0.7774, 0.04487, 17.96, 17.9, 107.4, 0.03484, 1.076, 1.082
2, 1985, 8, 19, 1985, 8, 21, 1985, 8, 24, 6, 1.153, 1.024, 6.142, 0.07852, 0.1583, 0.0001846, 0.2175, 0.08918, 0.5351, 0.07817, 16.04, 15.91, 95.49, 0.07676, 1.233, 1.095
3, 1986, 3, 12, 1986, 3, 17, 1986, 3, 19, 8, 2.8, 2.316, 18.53, 0.3212, 0.1711, 0.0006894, 1.019, 0.5241, 4.193, 0.3277, 20.59, 20.15, 161.2, 0.3124, 1.572, 1.293
4, 1986, 5, 31, 1986, 6, 4, 1986, 6, 5, 6, 2.873, 1.746, 10.48, 0.609, 0.3884, 0.001154, 1.797, 0.6661, 3.997, 0.6116, 18.57, 17.48, 104.9, 0.5914, 2.67, 1.618
5, 1986, 6, 21, 1986, 6, 29, 1986, 7, 3, 13, 2.007, 1.549, 20.13, 0.215, 0.1038, 0.000642, 0.9893, 0.5257, 6.834, 0.2134, 17.18, 16.76, 217.8, 0.2263, 1.972, 1.514
6, 1986, 7, 28, 1986, 8, 1, 1986, 8, 10, 14, 1.687, 1.194, 16.72, 0.2822, 0.1585, 0.0004894, 0.7728, 0.2714, 3.8, 0.2846, 16.51, 16.02, 224.3, 0.2813, 1.846, 1.295
7, 1986, 8, 18, 1986, 8, 20, 1986, 8, 23, 6, 1.609, 1.378, 8.27, 0.1753, 0.2426, 0.0003709, 0.6724, 0.4427, 2.656, 0.1747, 16.49, 16.26, 97.58, 0.1709, 1.718, 1.473
8, 1986, 9, 6, 1986, 9, 8, 1986, 9, 10, 5, 1.22, 1.174, 5.868, 0.04749, 0.1213, 0.0001237, 0.3008, 0.2537, 1.268, 0.05158, 16.27, 16.22, 81.12, 0.05352, 1.327, 1.276
9, 1986, 9, 16, 1986, 9, 19, 1986, 9, 21, 6, 1.215, 1.138, 6.828, 0.04769, 0.1, 0.0001296, 0.3397, 0.2599, 1.559, 0.05253, 16.37, 16.29, 97.73, 0.05956, 1.388, 1.296
10, 1986, 10, 18, 1986, 10, 22, 1986, 10, 23, 6, 1.454, 1.293, 7.761, 0.1668, 0.1501, 0.000237, 0.4754, 0.3316, 1.989, 0.1527, 17.04, 16.84, 101.1, 0.1987, 1.486, 1.343
11, 1987, 8, 6, 1987, 8, 9, 1987, 8, 10, 5, 1.312, 1.186, 5.932, 0.1193, 0.1245, 0.0001328, 0.3694, 0.2481, 1.24, 0.115, 16.14, 16.01, 80.06, 0.1225, 1.392, 1.264
12, 1989, 9, 2, 1989, 9, 14, 1989, 9, 16, 15, 1.285, 1.105, 16.58, 0.1687, 0.03721, 0.0002533, 0.3892, 0.1897, 2.845, 0.1644, 16.39, 16.16, 242.5, 0.1656, 1.434, 1.207
13, 1991, 4, 5, 1991, 4, 9, 1991, 4, 25, 21, 2.491, 2.165, 45.47, 0.1866, 0.1477, 0.000193, 0.8822, 0.54, 11.34, 0.1884, 19.33, 18.75, 393.8, 0.3316, 1.548, 1.332
14, 1991, 5, 5, 1991, 5, 7, 1991, 5, 11, 7, 2.495, 1.904, 13.33, 0.3288, 0.3796, 0.000336, 1.04, 0.4642, 3.249, 0.3139, 18.62, 18.02, 126.2, 0.3352, 1.715, 1.32
15, 1991, 12, 13, 1991, 12, 14, 1991, 12, 17, 5, 1.847, 1.73, 8.649, 0.07992, 0.267, 0.0001881, 0.2713, 0.1621, 0.8103, 0.08215, 19.48, 19.41, 97.04, 0.1175, 1.172, 1.103
16, 1992, 1, 25, 1992, 2, 10, 1992, 2, 24, 31, 3.186, 2.621, 81.25, 0.4015, 0.09537, 0.0003291, 1.492, 0.9559, 29.63, 0.3558, 21.88, 21.28, 659.8, 0.3862, 1.881, 1.571
17, 1992, 3, 22, 1992, 3, 26, 1992, 3, 28, 7, 2.411, 2.142, 15.0, 0.234, 0.1868, 0.0002619, 0.6976, 0.4153, 2.907, 0.237, 19.85, 19.62, 137.4, 0.242, 1.407, 1.241
18, 1992, 12, 6, 1992, 12, 9, 1992, 12, 14, 9, 2.543, 2.058, 18.52, 0.2939, 0.3174, 0.0002646, 0.9861, 0.5008, 4.507, 0.2915, 19.96, 19.52, 175.7, 0.2996, 1.634, 1.321
19, 1992, 12, 18, 1992, 12, 19, 1992, 12, 25, 8, 2.048, 1.799, 14.39, 0.1545, 0.4267, 0.0001251, 0.5075, 0.2716, 2.173, 0.1532, 19.91, 19.77, 158.2, 0.1682, 1.329, 1.178
