# Marine heatwave statistics for individual detected events at Mossel_Bay
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 3, 30, 1983, 4, 2, 1983, 4, 5, 7, 1.64, 1.543, 10.8, 0.09284, 0.07669, 0.0007128, 0.3044, 0.2086, 1.46, 0.1034, 21.12, 21.03, 147.2, 0.1046, 1.228, 1.157
2, 1983, 11, 26, 1983, 12, 1, 1983, 12, 2, 7, 2.224, 1.859, 13.02, 0.2711, 0.1471, 0.001283, 0.8635, 0.5133, 3.593, 0.2683, 21.53, 21.06, 147.4, 0.307, 1.635, 1.381
3, 1986, 5, 23, 1986, 6, 1, 1986, 6, 6, 15, 2.872, 2.293, 34.39, 0.4441, 0.1647, 0.0009139, 1.506, 0.9548, 14.32, 0.4238, 20.58, 20.05, 300.7, 0.4231, 2.102, 1.709
4, 1986, 7, 26, 1986, 8, 2, 1986, 8, 4, 10, 2.26, 1.672, 16.72, 0.3291, 0.1563, 0.0006259, 1.169, 0.5755, 5.755, 0.3338, 19.06, 18.49, 184.9, 0.3152, 2.072, 1.526
5, 1987, 2, 26, 1987, 3, 1, 1987, 3, 3, 6, 2.365, 2.082, 12.49, 0.2906, 0.2323, 0.0002974, 0.8033, 0.526, 3.156, 0.2834, 23.13, 22.88, 137.3, 0.2354, 1.514, 1.337
6, 1987, 3, 16, 1987, 4, 6, 1987, 4, 14, 30, 2.141, 1.734, 52.01, 0.2187, 0.03115, 0.000385, 0.8474, 0.3703, 11.11, 0.24, 21.42, 21.33, 639.9, 0.4629, 1.655, 1.277
7, 1988, 8, 16, 1988, 8, 17, 1988, 8, 27, 12, 1.997, 1.516, 18.19, 0.2432, 0.4648, 0.0004901, 0.9737, 0.5059, 6.071, 0.2349, 18.76, 18.29, 219.5, 0.2337, 1.952, 1.499
8, 1989, 10, 2, 1989, 10, 6, 1989, 10, 14, 13, 1.521, 1.344, 17.47, 0.1179, 0.08759, 0.0001529, 0.5531, 0.364, 4.732, 0.1234, 18.95, 18.81, 244.5, 0.116, 1.572, 1.372
9, 1991, 4, 21, 1991, 4, 22, 1991, 4, 27, 7, 1.522, 1.271, 8.9, 0.1209, 0.3926, 0.0001195, 0.3668, 0.1386, 0.9703, 0.1105, 20.09, 19.78, 138.5, 0.1594, 1.317, 1.122
10, 1991, 5, 6, 1991, 5, 6, 1991, 5, 10, 5, 1.528, 1.412, 7.058, 0.09002, 0.4559, 0.0001013, 0.3979, 0.2611, 1.306, 0.1024, 19.78, 19.63, 98.15, 0.1139, 1.352, 1.228
11, 1991, 10, 3, 1991, 10, 4, 1991, 10, 7, 5, 1.58, 1.424, 7.118, 0.1466, 0.2974, 0.0001465, 0.6167, 0.4579, 2.29, 0.1497, 18.98, 18.84, 94.19, 0.1291, 1.64, 1.475
12, 1991, 12, 11, 1991, 12, 13, 1991, 12, 19, 9, 2.801, 2.252, 20.26, 0.404, 0.5424, 0.0004367, 1.413, 0.8633, 7.77, 0.404, 22.67, 22.22, 200.0, 0.3293, 2.018, 1.622
13, 1992, 1, 2, 1992, 1, 3, 1992, 1, 7, 6, 1.451, 1.372, 8.234, 0.08613, 0.2349, 0.0001024, 0.2285, 0.168, 1.008, 0.08873, 22.23, 22.2, 133.2, 0.09959, 1.187, 1.14
14, 1992, 1, 27, 1992, 2, 11, 1992, 2, 24, 29, 2.84, 1.856, 53.83, 0.3681, 0.1202, 0.0004159, 1.506, 0.5127, 14.87, 0.3918, 24.13, 23.11, 670.2, 0.4243, 2.128, 1.391
15, 1992, 5, 7, 1992, 5, 9, 1992, 5, 18, 12, 3.52, 2.183, 26.19, 0.6971, 1.019, 0.0005418, 2.359, 0.9916, 11.9, 0.7132, 21.72, 20.32, 243.8, 0.7346, 3.033, 1.841
16, 1992, 5, 29, 1992, 6, 6, 1992, 6, 21, 24, 3.019, 2.271, 54.5, 0.3954, 0.1999, 0.0003804, 1.666, 0.9572, 22.97, 0.403, 20.62, 19.8, 475.1, 0.3754, 2.232, 1.732
17, 1992, 6, 25, 1992, 6, 26, 1992, 6, 29, 5, 1.771, 1.466, 7.332, 0.2251, 0.4387, 0.0001853, 0.5955, 0.3036, 1.518, 0.2157, 18.93, 18.6, 93.01, 0.243, 1.507, 1.26
18, 1992, 7, 20, 1992, 7, 23, 1992, 7, 26, 7, 1.414, 1.28, 8.96, 0.1027, 0.09009, 7.935e-05, 0.3097, 0.1756, 1.229, 0.1026, 18.28, 18.14, 127.0, 0.1042, 1.28, 1.159
19, 1992, 8, 2, 1992, 8, 7, 1992, 8, 10, 9, 1.846, 1.531, 13.78, 0.185, 0.1414, 0.0001909, 0.7709, 0.4528, 4.075, 0.1846, 18.62, 18.31, 164.8, 0.1838, 1.717, 1.42
20, 1992, 12, 8, 1992, 12, 11, 1992, 12, 13, 6, 1.634, 1.502, 9.012, 0.08227, 0.1364, 0.0001716, 0.2507, 0.1191, 0.7146, 0.0813, 21.41, 21.26, 127.6, 0.1299, 1.181, 1.086
21, 1992, 12, 19, 1993, 1, 6, 1993, 1, 18, 31, 2.688, 1.635, 50.68, 0.3885, 0.06877, 0.000381, 1.503, 0.3922, 12.16, 0.4181, 23.57, 22.39, 694.1, 0.5273, 2.268, 1.328
22, 1993, 2, 27, 1993, 3, 12, 1993, 3, 14, 16, 2.424, 2.05, 32.81, 0.2682, 0.05482, 0.0002174, 0.8781, 0.4937, 7.899, 0.2642, 22.85, 22.65, 362.5, 0.2779, 1.568, 1.317
23, 1993, 5, 19, 1993, 5, 19, 1993, 5, 26, 8, 1.682, 1.574, 12.59, 0.08568, 0.5401, 0.0001189, 0.4384, 0.3002, 2.401, 0.09833, 19.68, 19.5, 156.0, 0.12, 1.353, 1.237
24, 1997, 8, 23, 1997, 8, 25, 1997, 8, 28, 6, 1.441, 1.319, 7.913, 0.1157, 0.199, 7.45e-05, 0.4418, 0.3205, 1.923, 0.1183, 18.22, 18.11, 108.6, 0.1214, 1.442, 1.321
25, 1998, 6, 28, 1998, 6, 29, 1998, 7, 2, 5, 1.424, 1.272, 6.362, 0.1032, 0.1938, 5.075e-05, 0.2852, 0.1453, 0.7263, 0.08913, 18.52, 18.35, 91.73, 0.128, 1.25, 1.128
26, 1998, 7, 23, 1998, 8, 5, 1998, 8, 7, 16, 2.468, 1.862, 29.78, 0.3225, 0.09252, 0.0002365, 1.386, 0.7665, 12.26, 0.3232, 19.25, 18.68, 298.9, 0.3175, 2.281, 1.7
27, 1998, 10, 21, 1998, 10, 23, 1998, 10, 26, 6, 1.51, 1.299, 7.793, 0.1743, 0.1483, 8.219e-05, 0.4938, 0.2821, 1.693, 0.1762, 19.26, 19.07, 114.4, 0.1475, 1.486, 1.278
28, 1999, 1, 27, 1999, 1, 28, 1999, 1, 31, 5, 2.057, 1.466, 7.33, 0.2971, 0.5496, 0.0001384, 0.864, 0.2605, 1.303, 0.305, 23.44, 22.86, 114.3, 0.2957, 1.724, 1.218
29, 1999, 6, 7, 1999, 6, 13, 1999, 6, 20, 14, 2.033, 1.807, 25.3, 0.181, 0.1064, 0.000123, 0.7417, 0.518, 7.252, 0.1793, 19.48, 19.25, 269.4, 0.2168, 1.574, 1.402
30, 2000, 2, 6, 2000, 2, 11, 2000, 2, 11, 6, 1.515, 1.486, 8.918, 0.04065, 0.06148, 1.952e-05, 0.1806, 0.1733, 1.04, 0.03246, 22.8, 22.81, 136.9, 0.03153, 1.135, 1.132
31, 2000, 10, 12, 2000, 10, 15, 2000, 10, 16, 5, 1.676, 1.393, 6.963, 0.2231, 0.1902, 8.59e-05, 0.6709, 0.3895, 1.948, 0.2212, 19.27, 18.96, 94.82, 0.2397, 1.667, 1.388
32, 2000, 11, 7, 2000, 11, 10, 2000, 11, 12, 6, 1.867, 1.553, 9.318, 0.2408, 0.3015, 0.0001386, 0.7057, 0.3958, 2.375, 0.2365, 20.23, 19.9, 119.4, 0.2718, 1.608, 1.341
33, 2001, 6, 2, 2001, 6, 6, 2001, 6, 15, 14, 1.821, 1.615, 22.61, 0.1444, 0.1152, 8.07e-05, 0.4681, 0.287, 4.018, 0.1325, 19.42, 19.16, 268.3, 0.1973, 1.346, 1.216
34, 2002, 3, 20, 2002, 3, 23, 2002, 3, 24, 5, 1.73, 1.594, 7.971, 0.08666, 0.1372, 3.313e-05, 0.2941, 0.1476, 0.738, 0.09335, 21.7, 21.61, 108.0, 0.08281, 1.205, 1.102
35, 2002, 8, 16, 2002, 8, 19, 2002, 8, 23, 8, 1.633, 1.307, 10.46, 0.2082, 0.1778, 7.807e-05, 0.6159, 0.2907, 2.326, 0.2094, 18.4, 18.07, 144.6, 0.2071, 1.605, 1.286
36, 2002, 8, 27, 2002, 8, 29, 2002, 8, 31, 5, 1.156, 1.121, 5.607, 0.02951, 0.04991, 1.518e-05, 0.1669, 0.1306, 0.6528, 0.03137, 17.97, 17.94, 89.69, 0.03479, 1.169, 1.132
37, 2003, 1, 28, 2003, 2, 7, 2003, 2, 12, 16, 2.876, 1.682, 26.91, 0.4911, 0.1633, 0.0001939, 1.576, 0.4077, 6.524, 0.4819, 24.22, 23.04, 368.6, 0.4928, 2.212, 1.318
38, 2003, 3, 1, 2003, 3, 7, 2003, 3, 12, 12, 2.841, 2.08, 24.96, 0.4922, 0.1945, 0.0001741, 1.275, 0.5182, 6.219, 0.4882, 23.43, 22.68, 272.2, 0.5212, 1.814, 1.331
39, 2003, 4, 19, 2003, 4, 27, 2003, 5, 10, 22, 1.889, 1.55, 34.11, 0.1979, 0.08474, 7.96e-05, 0.783, 0.4186, 9.209, 0.2207, 20.32, 19.95, 438.8, 0.161, 1.708, 1.374
40, 2003, 5, 14, 2003, 5, 16, 2003, 5, 27, 14, 2.475, 1.942, 27.19, 0.3085, 0.3893, 0.0001655, 1.252, 0.6831, 9.564, 0.3314, 20.54, 19.91, 278.7, 0.3708, 2.023, 1.548
41, 2003, 11, 12, 2003, 11, 17, 2003, 11, 23, 12, 1.996, 1.595, 19.14, 0.2466, 0.159, 7.728e-05, 0.762, 0.357, 4.284, 0.2321, 20.65, 20.27, 243.3, 0.3347, 1.618, 1.287
42, 2004, 8, 25, 2004, 8, 28, 2004, 9, 7, 14, 1.291, 1.097, 15.36, 0.1111, 0.08416, 4.574e-05, 0.2995, 0.1055, 1.478, 0.1106, 18.1, 17.94, 251.1, 0.114, 1.302, 1.106
43, 2004, 11, 11, 2004, 11, 20, 2004, 11, 24, 14, 2.861, 2.118, 29.65, 0.4863, 0.1323, 0.0001894, 1.592, 0.8801, 12.32, 0.5051, 21.64, 20.8, 291.1, 0.4438, 2.254, 1.719
44, 2004, 11, 29, 2004, 12, 7, 2004, 12, 20, 22, 2.581, 2.058, 45.27, 0.2456, 0.1386, 0.0001151, 1.206, 0.6799, 14.96, 0.2395, 22.17, 21.77, 478.9, 0.4475, 1.877, 1.493
45, 2004, 12, 25, 2004, 12, 30, 2005, 1, 1, 8, 1.847, 1.534, 12.28, 0.1731, 0.1053, 7.63e-05, 0.5577, 0.2281, 1.825, 0.184, 22.49, 22.12, 176.9, 0.2194, 1.433, 1.176
46, 2005, 3, 2, 2005, 3, 6, 2005, 3, 7, 6, 2.512, 2.138, 12.83, 0.3349, 0.2054, 7.936e-05, 0.9446, 0.5716, 3.43, 0.3339, 23.13, 22.8, 136.8, 0.2918, 1.603, 1.365
47, 2005, 8, 27, 2005, 8, 27, 2005, 9, 4, 9, 1.522, 1.259, 11.33, 0.1823, 0.8749, 5.905e-05, 0.5272, 0.2675, 2.407, 0.1823, 18.32, 18.09, 162.9, 0.163, 1.53, 1.27
48, 2006, 10, 22, 2006, 10, 23, 2006, 10, 31, 10, 1.514, 1.304, 13.04, 0.1643, 0.274, 0.000107, 0.4971, 0.2774, 2.774, 0.1648, 19.27, 19.15, 191.5, 0.1865, 1.489, 1.27
49, 2006, 11, 23, 2006, 11, 29, 2006, 12, 1, 9, 1.686, 1.469, 13.22, 0.134, 0.06677, 3.537e-05, 0.3402, 0.1387, 1.248, 0.1174, 20.89, 20.58, 185.2, 0.2502, 1.253, 1.103
50, 2006, 12, 12, 2006, 12, 25, 2006, 12, 31, 20, 2.575, 2.089, 41.77, 0.2676, 0.1059, 0.0001819, 1.225, 0.7295, 14.59, 0.2741, 23.02, 22.36, 447.2, 0.4258, 1.907, 1.538
51, 2007, 1, 22, 2007, 1, 25, 2007, 1, 29, 8, 1.984, 1.595, 12.76, 0.2345, 0.273, 7.635e-05, 0.8245, 0.4283, 3.427, 0.2396, 23.35, 22.96, 183.7, 0.2368, 1.711, 1.368
52, 2007, 2, 3, 2007, 2, 7, 2007, 2, 9, 7, 1.846, 1.597, 11.18, 0.1752, 0.1254, 9.76e-05, 0.5462, 0.306, 2.142, 0.171, 23.19, 22.95, 160.7, 0.173, 1.42, 1.237
53, 2007, 3, 30, 2007, 4, 4, 2007, 4, 5, 7, 3.355, 2.48, 17.36, 0.6039, 0.3588, 0.0001457, 2.043, 1.146, 8.02, 0.6226, 22.73, 21.96, 153.7, 0.5157, 2.556, 1.865
54, 2007, 5, 11, 2007, 5, 16, 2007, 5, 19, 9, 2.45, 1.995, 17.96, 0.3322, 0.2459, 0.000137, 1.227, 0.7826, 7.044, 0.324, 20.51, 20.08, 180.7, 0.3184, 2.003, 1.644
55, 2007, 6, 15, 2007, 6, 17, 2007, 6, 24, 10, 1.635, 1.409, 14.09, 0.1322, 0.1356, 4.554e-05, 0.3715, 0.1668, 1.668, 0.1152, 19.0, 18.71, 187.1, 0.1873, 1.294, 1.133
56, 2007, 7, 15, 2007, 7, 21, 2007, 7, 26, 12, 2.537, 2.089, 25.07, 0.4451, 0.2021, 0.0001803, 1.434, 0.9872, 11.85, 0.4453, 19.41, 18.96, 227.5, 0.4511, 2.299, 1.896
57, 2007, 8, 31, 2007, 9, 17, 2007, 10, 2, 33, 2.477, 1.83, 60.37, 0.3678, 0.09223, 0.0001509, 1.537, 0.8705, 28.73, 0.3835, 19.53, 18.89, 623.5, 0.4171, 2.635, 1.915
58, 2007, 11, 16, 2007, 11, 18, 2007, 11, 20, 5, 1.702, 1.533, 7.664, 0.1452, 0.1861, 3.911e-05, 0.4559, 0.2875, 1.437, 0.1457, 20.4, 20.23, 101.1, 0.1565, 1.366, 1.231
59, 2010, 5, 17, 2010, 5, 21, 2010, 5, 24, 8, 2.291, 2.044, 16.35, 0.2081, 0.1397, 8.217e-05, 1.032, 0.7873, 6.298, 0.221, 20.25, 20.01, 160.1, 0.2425, 1.819, 1.629
60, 2011, 6, 13, 2011, 6, 15, 2011, 6, 22, 10, 2.323, 1.761, 17.61, 0.2904, 0.2926, 9.159e-05, 1.047, 0.5026, 5.026, 0.2746, 19.73, 19.11, 191.1, 0.3432, 1.821, 1.397
61, 2011, 7, 12, 2011, 7, 16, 2011, 7, 17, 6, 1.565, 1.393, 8.357, 0.1416, 0.1212, 5.79e-05, 0.4676, 0.3003, 1.802, 0.1411, 18.46, 18.29, 109.8, 0.1405, 1.426, 1.275
62, 2011, 11, 15, 2011, 11, 17, 2011, 11, 19, 5, 1.879, 1.769, 8.843, 0.1156, 0.2063, 3.322e-05, 0.6454, 0.5356, 2.678, 0.1058, 20.53, 20.42, 102.1, 0.1582, 1.523, 1.434
63, 2012, 1, 4, 2012, 1, 7, 2012, 1, 23, 20, 2.536, 1.952, 39.04, 0.472, 0.3517, 0.0001317, 1.36, 0.8015, 16.03, 0.4616, 23.45, 23.06, 461.2, 0.3714, 2.157, 1.693
64, 2012, 2, 26, 2012, 3, 2, 2012, 3, 29, 33, 2.321, 1.856, 61.24, 0.2598, 0.135, 7.621e-05, 0.7579, 0.3492, 11.52, 0.2485, 23.06, 22.2, 732.7, 0.4916, 1.485, 1.232
65, 2012, 4, 2, 2012, 4, 3, 2012, 4, 6, 5, 1.887, 1.729, 8.647, 0.07934, 0.3271, 6.692e-05, 0.5621, 0.4156, 2.078, 0.07743, 21.32, 21.11, 105.5, 0.1195, 1.424, 1.316
66, 2012, 7, 17, 2012, 7, 18, 2012, 8, 5, 20, 2.222, 1.558, 31.15, 0.2614, 0.5097, 0.0001177, 1.121, 0.4586, 9.173, 0.2583, 19.1, 18.4, 367.9, 0.2845, 2.019, 1.417
67, 2013, 9, 9, 2013, 9, 19, 2013, 9, 26, 18, 1.834, 1.367, 24.61, 0.2419, 0.07953, 8.884e-05, 0.9024, 0.4218, 7.593, 0.2516, 18.93, 18.44, 331.9, 0.2869, 1.968, 1.449
68, 2013, 10, 1, 2013, 10, 4, 2013, 10, 20, 20, 1.791, 1.384, 27.68, 0.21, 0.2222, 7.174e-05, 0.8284, 0.3973, 7.947, 0.2123, 19.19, 18.9, 377.9, 0.2209, 1.86, 1.403
69, 2013, 12, 31, 2014, 1, 5, 2014, 1, 6, 7, 2.355, 1.897, 13.28, 0.3474, 0.2056, 7.48e-05, 1.16, 0.6717, 4.702, 0.37, 23.2, 22.67, 158.7, 0.3981, 1.97, 1.554
70, 2014, 1, 16, 2014, 1, 29, 2014, 1, 31, 16, 2.49, 1.898, 30.37, 0.3698, 0.1045, 9.949e-05, 1.284, 0.738, 11.81, 0.3592, 23.88, 23.22, 371.6, 0.4179, 2.065, 1.634
71, 2014, 2, 10, 2014, 2, 17, 2014, 2, 18, 9, 2.836, 1.896, 17.07, 0.4313, 0.2412, 9.83e-05, 1.413, 0.519, 4.671, 0.4139, 23.99, 23.12, 208.1, 0.4064, 1.993, 1.374
72, 2014, 4, 5, 2014, 4, 12, 2014, 4, 14, 10, 2.334, 1.879, 18.79, 0.3609, 0.1427, 0.0001035, 1.087, 0.6127, 6.127, 0.3727, 21.31, 20.98, 209.8, 0.3164, 1.871, 1.487
73, 2014, 6, 28, 2014, 7, 4, 2014, 7, 6, 9, 1.833, 1.483, 13.34, 0.2714, 0.09395, 6.414e-05, 0.7473, 0.3745, 3.371, 0.2765, 18.84, 18.52, 166.7, 0.2701, 1.689, 1.34
