# Marine heatwave statistics for individual detected events at Muizenberg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 3, 31, 1983, 4, 2, 1983, 4, 4, 5, 2.448, 2.097, 10.49, 0.2691, 0.3255, 0.002141, 0.9883, 0.6374, 3.187, 0.2667, 21.13, 20.78, 103.9, 0.292, 1.677, 1.436
2, 1983, 4, 25, 1983, 4, 27, 1983, 4, 30, 6, 2.229, 1.79, 10.74, 0.3181, 0.387, 0.001781, 0.8378, 0.4059, 2.435, 0.3119, 19.83, 19.38, 116.3, 0.3335, 1.602, 1.292
3, 1985, 8, 15, 1985, 8, 28, 1985, 8, 29, 15, 1.45, 1.267, 19.0, 0.1334, 0.04836, 0.0002034, 0.4498, 0.2853, 4.28, 0.1215, 17.12, 16.91, 253.6, 0.1538, 1.45, 1.289
4, 1986, 6, 21, 1986, 6, 29, 1986, 7, 2, 12, 1.393, 1.192, 14.3, 0.1556, 0.04921, 0.0002776, 0.3394, 0.1536, 1.843, 0.1521, 17.39, 17.25, 206.9, 0.1551, 1.322, 1.148
5, 1986, 7, 25, 1986, 8, 1, 1986, 8, 13, 20, 1.743, 1.276, 25.51, 0.3334, 0.1093, 0.0004328, 0.8611, 0.3684, 7.368, 0.3359, 17.33, 16.87, 337.4, 0.3308, 1.977, 1.408
6, 1986, 8, 17, 1986, 8, 20, 1986, 8, 23, 7, 1.827, 1.476, 10.33, 0.2153, 0.2391, 0.0004987, 0.8497, 0.4997, 3.498, 0.2152, 17.45, 17.1, 119.7, 0.2145, 1.87, 1.512
7, 1986, 9, 16, 1986, 9, 17, 1986, 9, 21, 6, 1.642, 1.509, 9.051, 0.1035, 0.321, 0.0003122, 0.7229, 0.596, 3.576, 0.1006, 17.46, 17.35, 104.1, 0.09396, 1.787, 1.653
8, 1991, 4, 18, 1991, 5, 7, 1991, 5, 10, 23, 2.215, 1.692, 38.91, 0.2648, 0.03492, 0.0002936, 0.9628, 0.3423, 7.873, 0.2714, 19.58, 19.26, 443.0, 0.3457, 1.769, 1.257
9, 1991, 12, 12, 1991, 12, 14, 1991, 12, 17, 6, 1.986, 1.655, 9.927, 0.2003, 0.2443, 0.0002525, 0.7111, 0.3809, 2.285, 0.1994, 20.81, 20.5, 123.0, 0.1828, 1.558, 1.299
10, 1992, 1, 26, 1992, 2, 23, 1992, 2, 24, 30, 2.696, 1.973, 59.19, 0.3899, 0.05741, 0.0002368, 1.205, 0.6913, 20.74, 0.3352, 22.65, 22.11, 663.2, 0.3698, 1.808, 1.537
11, 1992, 3, 21, 1992, 3, 23, 1992, 3, 27, 7, 1.915, 1.812, 12.68, 0.0633, 0.1313, 7.643e-05, 0.2998, 0.2159, 1.511, 0.06868, 21.03, 20.89, 146.2, 0.1044, 1.186, 1.136
12, 1992, 12, 8, 1992, 12, 9, 1992, 12, 13, 6, 2.05, 1.748, 10.49, 0.208, 0.4991, 0.000167, 0.7902, 0.4823, 2.894, 0.2074, 20.64, 20.41, 122.4, 0.2259, 1.627, 1.381
