# Marine heatwave statistics for individual detected events at Nahoon_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1982, 7, 30, 1982, 8, 2, 1982, 8, 4, 6, 1.383, 1.176, 7.057, 0.1174, 0.1206, 0.002826, 0.3857, 0.1757, 1.054, 0.1212, 22.24, 22.04, 132.2, 0.1102, 1.387, 1.176
2, 1983, 4, 10, 1983, 4, 12, 1983, 4, 14, 5, 2.604, 2.052, 10.26, 0.4763, 0.5389, 0.002633, 1.251, 0.6996, 3.498, 0.4809, 27.0, 26.45, 132.2, 0.4886, 1.925, 1.518
3, 1983, 6, 18, 1983, 6, 20, 1983, 6, 23, 6, 1.683, 1.405, 8.429, 0.2092, 0.3198, 0.001712, 0.6759, 0.3981, 2.389, 0.2085, 23.58, 23.29, 139.7, 0.2288, 1.671, 1.395
4, 1985, 9, 9, 1985, 9, 11, 1985, 9, 14, 6, 1.66, 1.443, 8.659, 0.203, 0.2379, 0.0005216, 0.6321, 0.4131, 2.479, 0.2051, 22.37, 22.15, 132.9, 0.2024, 1.615, 1.401
5, 1985, 10, 25, 1985, 10, 31, 1985, 11, 2, 9, 1.718, 1.483, 13.35, 0.1542, 0.1019, 0.0003786, 0.5458, 0.3184, 2.866, 0.1571, 23.3, 22.99, 206.9, 0.1722, 1.466, 1.274
6, 1986, 7, 30, 1986, 8, 1, 1986, 8, 3, 5, 1.81, 1.504, 7.52, 0.2276, 0.4058, 0.0004955, 0.8083, 0.5015, 2.507, 0.2302, 22.68, 22.37, 111.9, 0.2221, 1.807, 1.501
7, 1988, 5, 22, 1988, 5, 22, 1988, 5, 26, 5, 1.64, 1.477, 7.384, 0.1111, 0.5476, 0.0002595, 0.4508, 0.3062, 1.531, 0.1089, 24.78, 24.52, 122.6, 0.1427, 1.379, 1.261
8, 1988, 7, 26, 1988, 8, 3, 1988, 8, 12, 18, 2.015, 1.577, 28.39, 0.2857, 0.1418, 0.0004348, 1.023, 0.5733, 10.32, 0.2914, 22.86, 22.42, 403.6, 0.2967, 2.03, 1.573
9, 1988, 8, 20, 1988, 8, 29, 1988, 9, 1, 13, 1.914, 1.504, 19.55, 0.3376, 0.09327, 0.0003837, 0.9044, 0.5068, 6.588, 0.3376, 22.6, 22.2, 288.5, 0.3346, 1.896, 1.508
10, 1988, 10, 19, 1988, 10, 24, 1988, 10, 24, 6, 1.776, 1.65, 9.899, 0.2223, 0.146, 0.0002178, 0.6228, 0.5062, 3.037, 0.2165, 23.11, 22.91, 137.4, 0.258, 1.54, 1.442
11, 1989, 10, 5, 1989, 10, 8, 1989, 10, 14, 10, 1.962, 1.554, 15.54, 0.253, 0.3122, 0.0003276, 0.8622, 0.4479, 4.479, 0.2549, 22.89, 22.51, 225.1, 0.2492, 1.784, 1.405
12, 1990, 8, 13, 1990, 8, 14, 1990, 8, 19, 7, 1.251, 1.144, 8.006, 0.08815, 0.1618, 0.0002691, 0.2503, 0.1511, 1.057, 0.08427, 21.99, 21.87, 153.1, 0.09442, 1.25, 1.152
13, 1991, 2, 24, 1991, 2, 25, 1991, 2, 28, 5, 1.784, 1.629, 8.146, 0.08639, 0.302, 8.605e-05, 0.2563, 0.1111, 0.5556, 0.081, 26.64, 26.49, 132.4, 0.08471, 1.168, 1.073
14, 1991, 5, 1, 1991, 5, 5, 1991, 5, 7, 7, 2.047, 1.719, 12.03, 0.2439, 0.1842, 0.000273, 0.6965, 0.3644, 2.551, 0.2437, 25.82, 25.52, 178.6, 0.243, 1.516, 1.269
15, 1991, 5, 24, 1991, 5, 27, 1991, 5, 30, 7, 1.637, 1.437, 10.06, 0.1839, 0.1531, 0.0001679, 0.4949, 0.2933, 2.053, 0.1753, 24.54, 24.34, 170.4, 0.25, 1.433, 1.256
16, 1991, 7, 17, 1991, 7, 21, 1991, 7, 21, 5, 1.179, 1.131, 5.656, 0.02488, 0.0247, 0.0001149, 0.143, 0.09725, 0.4863, 0.02355, 22.24, 22.23, 111.2, 0.01939, 1.138, 1.094
