# Marine heatwave statistics for individual detected events at Pollock_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1985, 6, 5, 1985, 6, 10, 1985, 6, 16, 12, 2.941, 2.075, 24.9, 0.476, 0.2476, 0.001134, 1.496, 0.6317, 7.581, 0.4736, 22.04, 21.15, 253.8, 0.5151, 2.035, 1.438
2, 1985, 10, 31, 1985, 11, 7, 1985, 11, 8, 9, 2.146, 1.874, 16.87, 0.1672, 0.06941, 0.0003861, 0.635, 0.4067, 3.66, 0.1741, 20.89, 20.5, 184.5, 0.191, 1.42, 1.278
3, 1986, 3, 2, 1986, 3, 5, 1986, 3, 6, 5, 2.084, 1.868, 9.338, 0.2081, 0.2873, 0.000259, 0.627, 0.4125, 2.062, 0.2063, 23.32, 23.12, 115.6, 0.1836, 1.43, 1.283
4, 1986, 5, 5, 1986, 5, 7, 1986, 5, 11, 7, 3.152, 2.367, 16.57, 0.4719, 0.8338, 0.001169, 1.218, 0.4462, 3.124, 0.4578, 23.13, 22.33, 156.3, 0.4902, 1.63, 1.231
5, 1986, 7, 23, 1986, 7, 25, 1986, 7, 28, 6, 1.869, 1.573, 9.435, 0.1919, 0.3252, 0.0004086, 0.6416, 0.349, 2.094, 0.1953, 19.92, 19.62, 117.7, 0.1899, 1.523, 1.286
6, 1986, 8, 1, 1986, 8, 2, 1986, 8, 5, 5, 1.575, 1.411, 7.054, 0.08589, 0.2293, 0.0003052, 0.396, 0.2341, 1.17, 0.08422, 19.54, 19.36, 96.81, 0.09662, 1.336, 1.199
7, 1987, 3, 10, 1987, 3, 11, 1987, 3, 17, 8, 2.324, 1.965, 15.72, 0.2232, 0.8163, 0.0003739, 0.8478, 0.4657, 3.726, 0.2327, 23.44, 23.03, 184.3, 0.2392, 1.574, 1.312
8, 1987, 6, 6, 1987, 6, 9, 1987, 6, 10, 5, 1.766, 1.658, 8.292, 0.09264, 0.2019, 0.0002605, 0.3101, 0.1919, 0.9594, 0.1033, 20.9, 20.83, 104.1, 0.06651, 1.213, 1.131
9, 1987, 9, 8, 1987, 9, 9, 1987, 9, 15, 8, 1.723, 1.295, 10.36, 0.1691, 0.8916, 0.0002915, 0.5998, 0.1686, 1.349, 0.1693, 19.59, 19.19, 153.5, 0.1632, 1.534, 1.15
10, 1988, 7, 18, 1988, 7, 22, 1988, 7, 23, 6, 2.128, 1.859, 11.15, 0.2591, 0.1831, 0.0003097, 0.8797, 0.6071, 3.643, 0.2625, 20.2, 19.94, 119.6, 0.2563, 1.705, 1.486
11, 1988, 8, 2, 1988, 8, 5, 1988, 8, 11, 10, 2.566, 2.232, 22.32, 0.3978, 0.4235, 0.0005727, 1.395, 1.066, 10.66, 0.395, 20.49, 20.13, 201.3, 0.4104, 2.191, 1.915
12, 1988, 8, 19, 1988, 8, 22, 1988, 8, 23, 5, 1.965, 1.603, 8.013, 0.32, 0.2449, 0.0002925, 0.8772, 0.5118, 2.559, 0.3228, 19.69, 19.33, 96.67, 0.3136, 1.807, 1.47
