# Marine heatwave statistics for individual detected events at Sodwana
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 4, 13, 1983, 4, 14, 1983, 4, 17, 5, 1.195, 1.109, 5.545, 0.103, 0.3631, 0.001158, 0.3467, 0.2604, 1.302, 0.1028, 27.52, 27.39, 137.0, 0.1098, 1.409, 1.307
2, 1983, 5, 6, 1983, 5, 9, 1983, 5, 11, 6, 0.9488, 0.9137, 5.482, 0.03528, 0.03765, 0.0003942, 0.1272, 0.08737, 0.5242, 0.0392, 26.21, 26.2, 157.2, 0.06472, 1.155, 1.106
3, 1983, 6, 24, 1983, 6, 25, 1983, 7, 1, 8, 1.486, 1.173, 9.385, 0.2687, 0.5289, 0.001571, 0.7554, 0.4358, 3.486, 0.273, 24.79, 24.41, 195.3, 0.3055, 2.035, 1.593
4, 1983, 8, 2, 1983, 8, 4, 1983, 8, 10, 9, 1.37, 1.166, 10.49, 0.1539, 0.3276, 0.001035, 0.6472, 0.4457, 4.011, 0.1529, 23.82, 23.6, 212.4, 0.1621, 1.896, 1.619
5, 1983, 12, 11, 1983, 12, 12, 1983, 12, 15, 5, 1.469, 1.306, 6.529, 0.09832, 0.801, 0.0006193, 0.4726, 0.3017, 1.508, 0.102, 26.79, 26.67, 133.3, 0.09724, 1.474, 1.301
6, 1985, 2, 1, 1985, 2, 3, 1985, 2, 12, 12, 1.496, 1.204, 14.45, 0.1817, 0.3712, 0.0006633, 0.7462, 0.4407, 5.288, 0.1908, 28.69, 28.43, 341.2, 0.1695, 1.995, 1.58
7, 1985, 10, 2, 1985, 10, 4, 1985, 10, 6, 5, 1.636, 1.242, 6.211, 0.2516, 0.3652, 0.0007952, 0.7468, 0.3532, 1.766, 0.251, 24.54, 24.15, 120.7, 0.2439, 1.84, 1.397
8, 1985, 10, 22, 1985, 10, 26, 1985, 10, 29, 8, 1.681, 1.456, 11.65, 0.1974, 0.1247, 0.0006203, 0.7793, 0.5577, 4.462, 0.1985, 25.25, 25.01, 200.1, 0.1886, 1.865, 1.621
9, 1985, 11, 2, 1985, 11, 2, 1985, 11, 6, 5, 1.369, 1.168, 5.841, 0.1425, 0.8719, 0.0003839, 0.4514, 0.2433, 1.217, 0.1478, 25.2, 25.08, 125.4, 0.08868, 1.492, 1.264
10, 1987, 4, 9, 1987, 4, 11, 1987, 4, 15, 7, 1.317, 1.162, 8.137, 0.1044, 0.2435, 0.0002733, 0.4683, 0.3137, 2.196, 0.1048, 27.76, 27.57, 193.0, 0.148, 1.552, 1.37
11, 1987, 5, 22, 1987, 5, 23, 1987, 5, 29, 8, 1.153, 1.014, 8.112, 0.09467, 0.1998, 0.0002011, 0.4123, 0.2866, 2.293, 0.092, 25.78, 25.52, 204.1, 0.1717, 1.557, 1.394
12, 1987, 12, 4, 1987, 12, 5, 1987, 12, 11, 8, 1.311, 1.182, 9.457, 0.09401, 0.215, 0.0002823, 0.3159, 0.1899, 1.519, 0.09458, 26.37, 26.33, 210.7, 0.1491, 1.317, 1.191
13, 1988, 2, 27, 1988, 2, 28, 1988, 3, 3, 6, 1.27, 1.158, 6.946, 0.07918, 0.379, 0.0001499, 0.4212, 0.3152, 1.891, 0.07345, 28.52, 28.39, 170.3, 0.09424, 1.496, 1.374
14, 1988, 7, 8, 1988, 7, 16, 1988, 7, 17, 10, 1.514, 1.268, 12.68, 0.1898, 0.07705, 0.0002116, 0.7648, 0.5114, 5.114, 0.1939, 24.27, 24.11, 241.1, 0.1482, 2.021, 1.678
15, 1988, 7, 22, 1988, 7, 27, 1988, 7, 30, 9, 1.84, 1.172, 10.55, 0.3564, 0.1956, 0.0004354, 1.109, 0.4406, 3.965, 0.3576, 24.39, 23.74, 213.6, 0.3396, 2.518, 1.603
16, 1989, 9, 2, 1989, 9, 7, 1989, 9, 8, 7, 1.596, 1.248, 8.733, 0.2434, 0.1253, 0.0002771, 0.7497, 0.4116, 2.881, 0.2411, 24.02, 23.65, 165.6, 0.2452, 1.885, 1.492
17, 1991, 2, 10, 1991, 2, 15, 1991, 2, 18, 9, 2.174, 1.581, 14.23, 0.4176, 0.263, 0.000427, 1.365, 0.7787, 7.008, 0.4083, 29.47, 28.87, 259.8, 0.4253, 2.689, 1.965
