# Marine heatwave statistics for individual detected events at Tsitsikamma_East
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 10, 11, 1983, 10, 13, 1983, 10, 15, 5, 2.058, 1.708, 8.541, 0.2238, 0.6604, 0.001715, 0.8997, 0.5507, 2.753, 0.2238, 19.68, 19.34, 96.68, 0.2259, 1.777, 1.476
2, 1983, 12, 13, 1983, 12, 16, 1983, 12, 18, 6, 2.506, 1.988, 11.93, 0.3693, 0.3454, 0.001899, 1.063, 0.5455, 3.273, 0.3685, 22.36, 21.82, 130.9, 0.3782, 1.737, 1.378
3, 1986, 5, 22, 1986, 5, 28, 1986, 6, 1, 11, 2.412, 1.916, 21.07, 0.3145, 0.1876, 0.000641, 1.031, 0.5335, 5.869, 0.3038, 21.0, 20.52, 225.7, 0.3444, 1.747, 1.384
4, 1987, 1, 25, 1987, 1, 31, 1987, 2, 3, 10, 2.09, 1.727, 17.27, 0.3233, 0.1733, 0.0004242, 0.7798, 0.426, 4.26, 0.3122, 23.17, 22.79, 227.9, 0.3376, 1.595, 1.325
5, 1987, 2, 23, 1987, 2, 25, 1987, 3, 3, 9, 2.195, 1.964, 17.67, 0.1926, 0.3313, 0.0002526, 0.7594, 0.547, 4.923, 0.1948, 22.96, 22.67, 204.1, 0.2031, 1.529, 1.387
6, 1987, 3, 12, 1987, 3, 23, 1987, 3, 24, 13, 2.082, 1.587, 20.63, 0.2471, 0.06515, 0.0003089, 0.9563, 0.3879, 5.043, 0.2725, 22.06, 21.74, 282.6, 0.2263, 1.85, 1.33
7, 1987, 4, 4, 1987, 4, 22, 1987, 4, 23, 20, 2.218, 1.507, 30.14, 0.3181, 0.06237, 0.0005909, 1.071, 0.3665, 7.329, 0.3183, 21.25, 20.74, 414.8, 0.3594, 1.934, 1.321
8, 1987, 6, 6, 1987, 6, 9, 1987, 6, 10, 5, 2.136, 1.789, 8.945, 0.3337, 0.3788, 0.0005937, 0.8672, 0.517, 2.585, 0.3335, 20.42, 20.09, 100.5, 0.3381, 1.684, 1.406
9, 1988, 1, 11, 1988, 1, 17, 1988, 1, 21, 11, 2.37, 1.815, 19.97, 0.2688, 0.1777, 0.0004958, 1.124, 0.5698, 6.267, 0.2673, 23.27, 22.69, 249.6, 0.3082, 1.903, 1.457
10, 1988, 1, 31, 1988, 2, 1, 1988, 2, 6, 7, 2.235, 1.858, 13.01, 0.2647, 0.6761, 0.0003406, 0.9213, 0.5445, 3.812, 0.2656, 23.31, 22.94, 160.6, 0.2637, 1.701, 1.415
