# Marine heatwave statistics for individual detected events at Tsitsikamma_West
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 10, 11, 1983, 10, 13, 1983, 10, 15, 5, 1.811, 1.52, 7.601, 0.2118, 0.506, 0.001738, 0.6509, 0.3599, 1.799, 0.2104, 19.35, 19.06, 95.3, 0.2061, 1.561, 1.31
2, 1983, 12, 13, 1983, 12, 16, 1983, 12, 18, 6, 2.509, 1.875, 11.25, 0.4069, 0.3548, 0.001998, 1.112, 0.4759, 2.855, 0.4067, 22.34, 21.68, 130.1, 0.4119, 1.795, 1.34
3, 1986, 5, 22, 1986, 5, 28, 1986, 6, 5, 15, 2.883, 1.912, 28.68, 0.4534, 0.2714, 0.001042, 1.57, 0.6109, 9.164, 0.4409, 21.25, 20.26, 303.8, 0.4995, 2.197, 1.467
4, 1987, 1, 25, 1987, 2, 1, 1987, 2, 3, 10, 2.26, 1.867, 18.67, 0.3583, 0.18, 0.0004179, 0.8957, 0.5172, 5.172, 0.3438, 23.33, 22.93, 229.3, 0.3695, 1.657, 1.381
5, 1987, 2, 23, 1987, 2, 25, 1987, 3, 3, 9, 2.464, 2.179, 19.61, 0.1912, 0.3832, 0.0003472, 0.9873, 0.7194, 6.475, 0.188, 23.18, 22.84, 205.6, 0.2159, 1.669, 1.493
6, 1987, 3, 13, 1987, 3, 23, 1987, 3, 25, 13, 2.121, 1.57, 20.41, 0.2842, 0.07361, 0.0005317, 0.9482, 0.334, 4.342, 0.3045, 22.01, 21.61, 281.0, 0.2801, 1.809, 1.276
7, 1987, 4, 5, 1987, 4, 22, 1987, 4, 23, 19, 2.162, 1.592, 30.24, 0.2728, 0.0632, 0.0004112, 1.012, 0.4284, 8.139, 0.2746, 21.0, 20.63, 392.0, 0.3139, 1.88, 1.369
8, 1988, 1, 12, 1988, 1, 17, 1988, 1, 21, 10, 2.297, 1.812, 18.12, 0.2128, 0.1664, 0.0004378, 1.038, 0.5532, 5.532, 0.2099, 23.21, 22.71, 227.1, 0.2402, 1.824, 1.439
9, 1988, 1, 31, 1988, 2, 1, 1988, 2, 6, 7, 2.146, 1.823, 12.76, 0.2451, 0.6312, 0.0003111, 0.7824, 0.4565, 3.195, 0.2475, 23.22, 22.89, 160.2, 0.2453, 1.574, 1.334
10, 1988, 7, 30, 1988, 8, 17, 1988, 8, 21, 23, 2.454, 1.55, 35.65, 0.3508, 0.07126, 0.0005748, 1.394, 0.4587, 10.55, 0.3615, 19.5, 18.65, 429.1, 0.3375, 2.315, 1.424
