# Marine heatwave statistics for individual detected events at Ystervarkpunt
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1983, 4, 11, 1983, 4, 13, 1983, 4, 16, 6, 1.779, 1.535, 9.213, 0.1847, 0.1479, 0.001296, 0.5269, 0.2878, 1.727, 0.175, 21.06, 20.79, 124.8, 0.2497, 1.421, 1.23
2, 1983, 11, 26, 1983, 12, 1, 1983, 12, 2, 7, 2.365, 1.865, 13.05, 0.3874, 0.2314, 0.001733, 1.101, 0.6109, 4.276, 0.3843, 21.9, 21.31, 149.1, 0.4233, 1.872, 1.487
3, 1985, 5, 16, 1985, 5, 19, 1985, 5, 20, 5, 1.44, 1.349, 6.743, 0.07791, 0.08445, 0.0003199, 0.2361, 0.151, 0.755, 0.07611, 19.81, 19.74, 98.7, 0.07844, 1.196, 1.126
4, 1986, 5, 23, 1986, 5, 31, 1986, 6, 2, 11, 2.179, 1.88, 20.68, 0.2612, 0.128, 0.0003743, 0.9026, 0.6202, 6.822, 0.2465, 20.27, 20.04, 220.4, 0.2105, 1.707, 1.49
5, 1986, 7, 26, 1986, 8, 2, 1986, 8, 4, 10, 2.095, 1.63, 16.3, 0.2192, 0.1197, 0.0006117, 1.038, 0.561, 5.61, 0.2259, 19.16, 18.71, 187.1, 0.2116, 1.983, 1.526
6, 1987, 3, 16, 1987, 4, 6, 1987, 4, 15, 31, 2.103, 1.754, 54.39, 0.2241, 0.03735, 0.0005356, 0.8101, 0.4148, 12.86, 0.2382, 21.71, 21.64, 670.8, 0.4538, 1.627, 1.313
7, 1987, 4, 29, 1987, 5, 3, 1987, 5, 4, 6, 1.473, 1.327, 7.963, 0.1305, 0.04681, 0.000217, 0.3517, 0.2115, 1.269, 0.1307, 20.14, 20.03, 120.2, 0.1358, 1.314, 1.19
8, 1988, 8, 16, 1988, 8, 17, 1988, 8, 25, 10, 1.818, 1.323, 13.23, 0.2211, 0.4046, 0.0003373, 0.8571, 0.3678, 3.678, 0.218, 18.84, 18.35, 183.5, 0.2197, 1.892, 1.384
9, 1989, 10, 2, 1989, 10, 11, 1989, 10, 14, 13, 1.8, 1.423, 18.5, 0.1979, 0.07878, 0.0003317, 0.8518, 0.4926, 6.404, 0.1975, 19.54, 19.11, 248.5, 0.2124, 1.898, 1.53
10, 1991, 5, 6, 1991, 5, 8, 1991, 5, 10, 5, 1.602, 1.399, 6.996, 0.1138, 0.1925, 0.0001223, 0.4546, 0.2517, 1.258, 0.116, 20.19, 19.98, 99.92, 0.1232, 1.396, 1.22
