# Annual average marine heatwave statistics at Sodwana
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 23.9, 27.39, 21.12
1995, 1, 10.0, 1.904, 1.428, 14.28, 10.0, 14.28, 0.3086, 0.1816, 0.003544, 1.194, 0.7093, 7.093, 0.3096, 26.63, 26.22, 262.2, 0.358, 2.683, 1.987, 24.51, 28.12, 20.95
1996, 3, 9.0, 1.767, 1.456, 13.92, 27.0, 41.77, 0.2362, 0.317, 0.0009594, 0.7462, 0.4587, 4.506, 0.2233, 26.08, 25.74, 235.2, 0.2297, 1.715, 1.442, 24.44, 28.79, 18.99
1997, 1, 10.0, 1.803, 1.342, 13.42, 10.0, 13.42, 0.2721, 0.1149, 0.0006066, 0.8068, 0.3587, 3.587, 0.2626, 24.16, 23.67, 236.7, 0.3013, 1.81, 1.362, 24.46, 27.96, 20.98
1998, 8, 10.12, 1.771, 1.352, 14.01, 81.0, 112.1, 0.2671, 0.238, 0.0005394, 0.8822, 0.4663, 5.021, 0.2694, 25.86, 25.45, 257.6, 0.2542, 1.977, 1.518, 25.15, 28.97, 21.72
1999, 8, 10.0, 1.792, 1.433, 14.97, 80.0, 119.8, 0.2084, 0.2133, 0.0004483, 0.7602, 0.3996, 4.29, 0.2087, 26.77, 26.42, 266.9, 0.2083, 1.715, 1.381, 24.85, 28.64, 21.55
2000, 5, 13.6, 1.687, 1.255, 17.92, 68.0, 89.59, 0.2241, 0.2276, 0.0003713, 0.7859, 0.3306, 4.992, 0.2317, 27.56, 27.16, 371.1, 0.2551, 1.886, 1.371, 24.91, 29.05, 21.06
2001, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.33, 27.92, 20.74
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
2003, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 23.8, 27.87, 18.62
2004, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.07, 27.5, 19.21
2005, 2, 6.0, 1.628, 1.425, 8.825, 12.0, 17.65, 0.1434, 0.4445, 0.0001451, 0.4892, 0.2907, 1.752, 0.1375, 26.12, 25.96, 157.5, 0.141, 1.469, 1.268, 24.39, 28.05, 20.67
2006, 1, 14.0, 1.721, 1.519, 21.27, 14.0, 21.27, 0.1454, 0.07977, 0.000106, 0.7732, 0.6115, 8.561, 0.1464, 25.31, 24.89, 348.5, 0.2166, 1.816, 1.675, 24.39, 28.05, 19.94
2007, 4, 8.75, 1.539, 1.203, 10.92, 35.0, 43.68, 0.1972, 0.2323, 0.0001302, 0.6993, 0.3624, 3.386, 0.1972, 25.09, 24.73, 215.9, 0.2177, 1.831, 1.431, 24.72, 27.87, 21.59
2008, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 24.09, 27.81, 21.08
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 23.93, 27.47, 19.3
2010, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 26.23, 27.07, 24.95
