# Marine heatwave statistics for individual detected events at Tsitsikamma
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 1, 22, 1992, 1, 27, 1992, 1, 28, 7, 4.21, 3.775, 26.43, 0.2066, 0.1409, 0.001743, 0.7618, 0.3627, 2.539, 0.1826, 23.0, 22.56, 157.9, 0.2127, 1.221, 1.106
2, 1992, 2, 2, 1992, 2, 7, 1992, 2, 7, 6, 4.702, 4.406, 26.44, 0.3174, 0.2322, 0.002058, 0.8471, 0.6406, 3.844, 0.2624, 23.0, 22.84, 137.1, 0.2355, 1.22, 1.169
3, 1992, 5, 10, 1992, 5, 15, 1992, 6, 22, 44, 4.44, 2.721, 119.7, 0.7392, 0.3985, 0.003679, 2.535, 0.8002, 35.21, 0.7211, 20.86, 19.16, 843.2, 0.742, 2.331, 1.414
4, 1992, 6, 29, 1992, 6, 30, 1992, 7, 3, 5, 2.201, 2.046, 10.23, 0.143, 0.3652, 0.0007125, 0.4945, 0.335, 1.675, 0.1477, 18.6, 18.44, 92.19, 0.1458, 1.29, 1.196
5, 1992, 7, 15, 1992, 7, 16, 1992, 7, 22, 8, 2.48, 2.217, 17.74, 0.1412, 0.4039, 0.001037, 0.7441, 0.4957, 3.966, 0.1405, 18.86, 18.58, 148.7, 0.1431, 1.429, 1.288
6, 1992, 7, 27, 1992, 8, 7, 1992, 8, 11, 16, 2.396, 1.965, 31.44, 0.2233, 0.06221, 0.001611, 1.05, 0.518, 8.288, 0.3032, 18.56, 18.16, 290.6, 0.2051, 1.78, 1.373
7, 1992, 12, 21, 1993, 1, 22, 1993, 1, 24, 35, 4.094, 3.26, 114.1, 0.4656, 0.04436, 0.0007266, 0.7351, 0.2656, 9.296, 0.2754, 22.85, 21.85, 764.9, 0.5646, 1.219, 1.085
8, 1993, 2, 13, 1993, 2, 15, 1993, 2, 17, 5, 4.466, 4.332, 21.66, 0.1129, 0.128, 0.0003834, 0.3808, 0.2429, 1.215, 0.1495, 22.45, 22.32, 111.6, 0.1581, 1.093, 1.06
9, 1993, 2, 26, 1993, 3, 2, 1993, 3, 5, 8, 5.368, 4.861, 38.89, 0.3854, 0.2006, 0.0014, 1.183, 0.6488, 5.191, 0.3922, 22.78, 22.28, 178.2, 0.3826, 1.283, 1.155
10, 1993, 5, 22, 1993, 5, 23, 1993, 5, 27, 6, 2.651, 2.355, 14.13, 0.1882, 0.4847, 0.0006531, 0.6789, 0.3699, 2.219, 0.1998, 19.12, 18.83, 113.0, 0.1861, 1.344, 1.187
11, 1993, 6, 3, 1993, 6, 7, 1993, 7, 19, 47, 2.797, 2.204, 103.6, 0.2253, 0.1908, 0.001026, 0.8272, 0.4143, 19.47, 0.1683, 19.26, 18.61, 874.9, 0.2462, 1.42, 1.23
