# Annual average marine heatwave statistics at Hermanus
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.85, 20.0, 13.0
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.38, 20.5, 10.5
1991, 1, 5.0, 3.303, 3.283, 16.41, 5.0, 16.41, 0.01448, 0.9901, 0.0007288, 0.3, 0.2371, 1.185, 0.04425, 20.0, 20.0, 100.0, 0.0, 1.1, 1.078, 15.45, 20.0, 10.5
1992, 3, 18.67, 3.792, 3.209, 59.39, 56.0, 178.2, 0.4652, 0.5562, 0.001967, 1.269, 0.7036, 12.38, 0.4639, 19.67, 19.1, 356.7, 0.469, 1.507, 1.284, 16.09, 21.0, 9.5
1993, 2, 7.5, 3.778, 2.841, 20.64, 15.0, 41.27, 0.5471, 0.7778, 0.001897, 1.888, 0.9821, 7.022, 0.5505, 19.5, 18.6, 138.8, 0.5398, 1.872, 1.455, 16.12, 21.5, 12.0
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.46, 20.0, 10.0
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.63, 20.0, 10.0
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.93, 20.5, 11.0
1997, 2, 6.5, 4.168, 3.142, 20.73, 13.0, 41.46, 0.5788, 0.5143, 0.000495, 1.715, 0.6827, 4.467, 0.5841, 19.75, 18.72, 122.8, 0.5795, 1.705, 1.28, 15.38, 20.5, 10.5
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.26, 20.0, 9.0
