# Annual average marine heatwave statistics at Mossel_Bay
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.24, 22.8, 13.5
1992, 2, 15.0, 2.611, 2.148, 38.25, 30.0, 76.49, 0.319, 0.1078, 0.003701, 0.7608, 0.5386, 11.49, 0.2538, 23.56, 23.33, 357.5, 0.2719, 1.395, 1.307, 19.41, 24.65, 14.35
1993, 3, 39.33, 2.652, 2.148, 72.55, 118.0, 217.6, 0.2798, 0.1402, 0.001602, 0.8951, 0.4152, 24.16, 0.2601, 21.53, 21.23, 726.4, 0.2197, 1.635, 1.317, 18.82, 23.88, 13.3
1994, 1, 5.0, 1.436, 1.181, 5.904, 5.0, 5.904, 0.1542, 0.2542, 0.0007958, 0.4768, 0.2216, 1.108, 0.1522, 20.36, 20.1, 100.5, 0.196, 1.497, 1.231, 18.29, 21.82, 13.49
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.64, 22.75, 10.12
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.3, 23.26, 11.82
1997, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.66, 21.41, 13.78
1998, 2, 10.5, 1.958, 1.715, 17.65, 21.0, 35.29, 0.1817, 0.4896, 0.00023, 0.3009, 0.171, 1.917, 0.154, 18.04, 17.8, 185.3, 0.1842, 1.238, 1.128, 17.98, 23.25, 12.32
1999, 1, 10.0, 1.93, 1.652, 16.52, 10.0, 16.52, 0.1746, 0.2094, 0.0001773, 0.6366, 0.3474, 3.474, 0.1767, 17.71, 17.42, 174.2, 0.173, 1.492, 1.267, 17.87, 23.17, 13.43
2000, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.94, 23.03, 11.61
2001, 1, 20.0, 1.866, 1.627, 32.54, 20.0, 32.54, 0.1983, 0.04268, 0.0001794, 0.5135, 0.2993, 5.987, 0.184, 17.41, 17.28, 345.5, 0.1747, 1.38, 1.224, 17.71, 22.88, 12.86
2002, 1, 5.0, 3.101, 2.933, 14.66, 5.0, 14.66, 0.1636, 0.2435, 8.853e-05, 0.5811, 0.4086, 2.043, 0.162, 22.0, 21.83, 109.1, 0.1156, 1.231, 1.162, 18.12, 22.93, 14.15
2003, 4, 12.5, 2.923, 2.577, 30.6, 50.0, 122.4, 0.218, 0.1427, 0.000225, 0.729, 0.4378, 5.262, 0.2212, 21.94, 21.64, 261.7, 0.2269, 1.335, 1.216, 18.58, 23.97, 13.55
2004, 6, 13.5, 2.004, 1.751, 24.33, 81.0, 146.0, 0.1703, 0.1363, 0.0001153, 0.6541, 0.3856, 7.388, 0.17, 20.35, 20.18, 283.2, 0.2762, 1.574, 1.318, 19.08, 23.55, 14.59
2005, 2, 6.0, 2.173, 2.087, 11.57, 12.0, 23.15, 0.07213, 0.07388, 3.984e-05, 0.2949, 0.2176, 1.295, 0.0642, 19.22, 19.19, 113.7, 0.08587, 1.21, 1.152, 18.39, 23.05, 14.85
2006, 2, 5.5, 3.06, 2.941, 16.23, 11.0, 32.46, 0.09845, 0.08991, 5.145e-05, 0.32, 0.2399, 1.352, 0.08431, 20.7, 20.67, 113.5, 0.1358, 1.117, 1.088, 18.25, 23.08, 14.52
2007, 1, 7.0, 2.28, 1.867, 13.07, 7.0, 13.07, 0.2763, 0.1251, 8.532e-05, 0.7341, 0.3546, 2.482, 0.2578, 23.91, 23.47, 164.3, 0.2942, 1.475, 1.232, 19.52, 23.91, 13.67
