# Annual average marine heatwave statistics at Orient_Beach
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1984, 4, 6.25, 3.885, 2.925, 18.55, 25.0, 74.22, 0.5278, 0.7648, 0.008086, 2.121, 1.166, 7.579, 0.531, 22.25, 21.29, 133.5, 0.5264, 2.194, 1.668, 17.22, 24.0, 13.0
1985, 4, 9.5, 3.693, 2.914, 27.18, 38.0, 108.7, 0.6093, 0.4409, 0.004079, 1.854, 1.044, 10.16, 0.6166, 21.5, 20.76, 195.8, 0.6038, 2.005, 1.557, 18.41, 24.0, 15.0
1986, 1, 6.0, 4.533, 4.166, 25.0, 6.0, 25.0, 0.7588, 0.5578, 0.002518, 2.322, 1.987, 11.92, 0.7506, 23.0, 22.67, 136.0, 0.7454, 2.05, 1.91, 17.91, 24.0, 14.0
1987, 1, 5.0, 3.605, 3.19, 15.95, 5.0, 15.95, 0.4875, 0.3397, 0.001706, 1.306, 0.919, 4.595, 0.4873, 22.0, 21.6, 108.0, 0.4899, 1.568, 1.405, 17.55, 23.0, 14.0
1988, 1, 5.0, 3.653, 3.056, 15.28, 5.0, 15.28, 0.4861, 0.402, 0.0009536, 1.037, 0.4452, 2.226, 0.5031, 22.0, 21.4, 107.0, 0.4899, 1.396, 1.172, 17.62, 22.0, 13.0
1989, 2, 6.5, 3.759, 2.92, 17.47, 13.0, 34.94, 0.5334, 0.6192, 0.001394, 1.742, 0.898, 5.166, 0.5297, 21.5, 20.66, 132.0, 0.5395, 1.876, 1.414, 18.01, 25.0, 14.0
1990, 5, 7.0, 3.308, 2.603, 19.66, 35.0, 98.28, 0.4883, 0.7729, 0.0008113, 1.652, 0.9565, 8.651, 0.4813, 20.8, 20.09, 141.4, 0.4953, 2.092, 1.649, 18.25, 26.0, 15.0
1991, 4, 7.25, 3.804, 2.755, 18.87, 29.0, 75.49, 0.6264, 2.012, 0.0006443, 2.192, 1.127, 7.294, 0.6349, 21.5, 20.48, 146.8, 0.6134, 2.276, 1.656, 18.29, 25.0, 15.0
1992, 3, 8.667, 5.323, 3.631, 31.03, 26.0, 93.08, 0.8989, 0.5816, 0.001349, 2.898, 1.209, 10.48, 0.8915, 23.67, 21.99, 189.7, 0.9011, 2.249, 1.505, 18.86, 24.0, 12.0
1993, 1, 10.0, 2.839, 2.31, 23.1, 10.0, 23.1, 0.3507, 0.3695, 0.000338, 1.253, 0.7374, 7.374, 0.3622, 20.5, 19.95, 199.5, 0.35, 1.79, 1.471, 18.01, 23.0, 15.0
1994, 2, 8.0, 3.806, 2.828, 23.44, 16.0, 46.87, 0.5893, 0.6327, 0.0004521, 1.906, 0.9329, 7.826, 0.5912, 21.5, 20.55, 165.5, 0.5808, 1.979, 1.476, 17.93, 23.0, 14.0
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.68, 22.0, 14.0
1996, 2, 5.0, 4.665, 3.548, 17.74, 10.0, 35.48, 0.8882, 5.843, 0.0007724, 2.476, 1.365, 6.824, 0.8864, 23.5, 22.4, 112.0, 0.8782, 2.255, 1.705, 17.68, 24.0, 12.0
1997, 1, 8.0, 4.427, 3.93, 31.44, 8.0, 31.44, 0.4171, 0.872, 0.0004534, 2.0, 1.516, 12.13, 0.3907, 22.5, 22.0, 176.0, 0.433, 1.824, 1.627, 17.66, 22.5, 12.5
1998, 3, 5.667, 3.977, 3.422, 19.51, 17.0, 58.53, 0.4644, 1.491, 0.000266, 1.496, 0.9537, 5.552, 0.4582, 22.5, 21.93, 124.5, 0.4703, 1.602, 1.389, 18.22, 23.5, 14.0
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.84, 23.0, 15.0
2000, 2, 8.5, 3.008, 2.342, 18.28, 17.0, 36.56, 0.5092, 0.7204, 0.0002076, 1.321, 0.6302, 4.598, 0.517, 21.0, 20.34, 169.3, 0.514, 1.788, 1.359, 17.95, 22.5, 13.0
2001, 1, 5.0, 5.117, 4.119, 20.6, 5.0, 20.6, 0.6327, 1.0, 0.0003179, 2.521, 1.521, 7.605, 0.6325, 24.0, 23.0, 115.0, 0.6325, 1.971, 1.585, 18.02, 24.0, 14.5
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.97, 22.0, 14.5
2003, 3, 9.667, 4.437, 3.218, 31.32, 29.0, 93.97, 0.6677, 0.4493, 0.0003276, 1.894, 0.6936, 6.808, 0.6604, 23.17, 21.95, 212.1, 0.6659, 1.744, 1.273, 18.11, 24.0, 13.0
2004, 1, 5.0, 5.073, 3.784, 18.92, 5.0, 18.92, 1.064, 2.013, 0.0006769, 2.521, 1.221, 6.105, 1.077, 24.0, 22.7, 113.5, 1.077, 1.988, 1.478, 18.01, 24.0, 14.0
2005, 1, 6.0, 3.917, 2.67, 16.02, 6.0, 16.02, 0.8081, 1.212, 0.0003461, 2.571, 1.332, 7.989, 0.8164, 21.0, 19.75, 118.5, 0.8036, 2.909, 1.999, 18.09, 21.0, 15.0
2006, 1, 7.0, 5.434, 3.436, 24.05, 7.0, 24.05, 1.308, 1.153, 0.0004274, 3.237, 1.221, 8.547, 1.32, 24.0, 22.0, 154.0, 1.309, 2.473, 1.555, 18.03, 24.0, 15.0
2007, 3, 6.667, 3.211, 2.543, 17.94, 20.0, 53.81, 0.4285, 0.4353, 0.0002054, 1.448, 0.734, 5.4, 0.4525, 21.0, 20.35, 137.2, 0.4161, 1.815, 1.366, 18.61, 23.0, 15.0
2008, 1, 12.0, 3.053, 2.578, 30.94, 12.0, 30.94, 0.4277, 0.9968, 8.827e-05, 1.565, 1.062, 12.74, 0.4331, 20.5, 20.04, 240.5, 0.431, 2.051, 1.701, 18.2, 24.0, 14.0
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.08, 22.0, 14.5
2010, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.71, 22.0, 13.5
2011, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.46, 22.0, 15.0
