# Annual average marine heatwave statistics at Port_Nolloth
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1973, 2, 6.0, 3.85, 2.999, 17.95, 12.0, 35.89, 0.62, 0.6769, 0.02695, 2.298, 1.456, 8.934, 0.6157, 16.0, 15.14, 90.5, 0.6322, 2.527, 1.989, 11.74, 17.0, 10.0
1974, 1, 16.0, 2.396, 1.692, 27.07, 16.0, 27.07, 0.3872, 0.08922, 0.003203, 1.238, 0.5717, 9.147, 0.3708, 14.0, 13.31, 213.0, 0.3802, 2.069, 1.506, 11.9, 16.0, 10.0
1975, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11.6, 18.0, 10.0
1976, 1, 6.0, 3.682, 2.933, 17.6, 6.0, 17.6, 0.4274, 0.6687, 0.002477, 1.732, 0.9756, 5.854, 0.4317, 16.5, 15.75, 94.5, 0.4276, 1.888, 1.499, 12.14, 16.5, 10.0
1977, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.5, 18.5, 10.0
1978, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.33, 15.5, 9.5
1979, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.29, 17.4, 9.2
1980, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.36, 17.0, 10.4
1981, 1, 8.0, 2.197, 1.696, 13.57, 8.0, 13.57, 0.2746, 0.3709, 0.0004721, 1.031, 0.5306, 4.245, 0.2739, 13.8, 13.3, 106.4, 0.2739, 1.884, 1.455, 12.17, 15.9, 10.0
1982, 1, 5.0, 3.617, 2.709, 13.54, 5.0, 13.54, 0.8037, 0.7218, 0.0006928, 2.22, 1.305, 6.523, 0.8079, 16.0, 15.1, 75.5, 0.8, 2.59, 1.931, 11.77, 16.0, 10.0
1983, 1, 6.0, 3.631, 2.976, 17.86, 6.0, 17.86, 0.7141, 0.693, 0.0005415, 1.876, 1.232, 7.392, 0.6805, 16.0, 15.33, 92.0, 0.7454, 2.068, 1.699, 11.84, 16.0, 10.0
1984, 5, 7.6, 3.535, 2.525, 19.11, 38.0, 95.56, 0.5168, 0.3225, 0.0006284, 2.065, 1.057, 7.83, 0.5249, 15.8, 14.78, 111.9, 0.5155, 2.264, 1.666, 12.62, 20.0, 10.0
1985, 1, 11.0, 7.45, 4.714, 51.85, 11.0, 51.85, 1.523, 0.7239, 0.001118, 5.537, 2.833, 31.16, 1.503, 20.0, 17.23, 189.5, 1.543, 3.894, 2.498, 12.53, 20.0, 11.0
1986, 2, 12.0, 3.321, 2.219, 22.44, 24.0, 44.88, 0.588, 0.3473, 0.0003102, 1.81, 0.7113, 7.555, 0.5899, 15.5, 14.39, 165.0, 0.5911, 2.206, 1.49, 12.38, 17.0, 10.0
1987, 1, 5.0, 7.768, 5.679, 28.4, 5.0, 28.4, 1.895, 1.631, 0.0007615, 5.805, 3.714, 18.57, 1.897, 20.5, 18.4, 92.0, 1.908, 3.956, 2.891, 12.0, 20.5, 10.0
1988, 2, 10.0, 6.136, 4.663, 49.32, 20.0, 98.64, 0.7824, 0.5776, 0.0008255, 4.221, 2.733, 30.09, 0.7899, 19.0, 17.55, 178.5, 0.7674, 3.234, 2.431, 12.0, 21.0, 10.0
1989, 3, 8.667, 4.531, 3.151, 26.22, 26.0, 78.66, 0.9372, 0.4998, 0.0005988, 2.939, 1.563, 12.68, 0.9345, 17.0, 15.63, 134.5, 0.9307, 2.642, 1.866, 12.33, 21.0, 10.0
1990, 4, 7.0, 4.242, 3.207, 24.46, 28.0, 97.84, 0.7031, 0.9905, 0.0003888, 2.479, 1.46, 11.71, 0.6991, 17.12, 16.08, 115.0, 0.7129, 2.324, 1.789, 12.35, 20.0, 9.4
1991, 1, 5.0, 2.866, 2.457, 12.28, 5.0, 12.28, 0.3674, 0.224, 0.0002306, 1.152, 0.7248, 3.624, 0.3532, 15.7, 15.3, 76.5, 0.3742, 1.672, 1.417, 11.82, 16.0, 9.4
1992, 2, 6.5, 3.486, 2.609, 16.64, 13.0, 33.29, 0.5378, 0.4732, 0.000298, 1.988, 1.082, 6.829, 0.5579, 15.85, 14.98, 96.85, 0.5258, 2.324, 1.69, 11.54, 18.1, 9.4
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11.88, 15.4, 9.7
