# Marine heatwave statistics for individual detected events at Hamburg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1995, 11, 12, 1995, 11, 14, 1995, 11, 18, 7, 3.156, 2.652, 18.57, 0.3743, 0.5113, 0.101, 1.423, 0.8928, 6.249, 0.3875, 21.01, 20.54, 143.8, 0.3648, 1.821, 1.51
2, 1997, 2, 17, 1997, 2, 21, 1997, 2, 22, 6, 3.744, 3.503, 21.02, 0.2104, 0.1994, 0.001596, 0.6159, 0.3706, 2.224, 0.2048, 22.62, 22.44, 134.6, 0.2005, 1.197, 1.118
3, 1998, 2, 2, 1998, 2, 9, 1998, 2, 10, 9, 3.648, 3.516, 31.65, 0.1458, 0.0666, 0.002782, 0.5917, 0.4482, 4.034, 0.1633, 22.89, 22.78, 205.0, 0.1464, 1.194, 1.146
4, 1998, 4, 11, 1998, 4, 15, 1998, 4, 15, 5, 3.067, 2.722, 13.61, 0.2965, 0.2283, 0.001751, 1.07, 0.694, 3.47, 0.3172, 20.22, 19.97, 99.83, 0.237, 1.536, 1.344
5, 1998, 5, 13, 1998, 5, 14, 1998, 6, 2, 21, 3.531, 2.259, 47.44, 0.5499, 1.481, 0.002102, 1.783, 0.5818, 12.22, 0.4982, 20.23, 18.94, 397.7, 0.5601, 2.02, 1.339
6, 1998, 7, 16, 1998, 7, 20, 1998, 7, 20, 5, 1.207, 1.109, 5.544, 0.08212, 0.04237, 0.0001968, 0.2259, 0.1217, 0.6083, 0.08637, 17.56, 17.46, 87.32, 0.07948, 1.23, 1.124
7, 1998, 10, 3, 1998, 10, 4, 1998, 10, 7, 5, 1.776, 1.53, 7.651, 0.1743, 0.387, 0.0005445, 0.6766, 0.4226, 2.113, 0.1782, 18.96, 18.72, 93.61, 0.1712, 1.615, 1.382
8, 1999, 12, 6, 1999, 12, 9, 1999, 12, 10, 5, 2.86, 2.438, 12.19, 0.2328, 0.2261, 0.0009673, 0.6335, 0.2341, 1.171, 0.2161, 21.3, 20.86, 104.3, 0.2534, 1.285, 1.106
9, 2002, 1, 20, 2002, 1, 23, 2002, 1, 24, 5, 3.796, 3.493, 17.47, 0.3229, 0.2801, 0.0001879, 0.757, 0.4816, 2.408, 0.2869, 22.98, 22.65, 113.3, 0.3493, 1.249, 1.159
10, 2002, 7, 2, 2002, 7, 9, 2002, 7, 16, 15, 2.159, 1.743, 26.14, 0.2783, 0.09207, 0.0005051, 1.088, 0.681, 10.22, 0.2552, 18.55, 18.14, 272.2, 0.2975, 2.015, 1.637
11, 2002, 7, 20, 2002, 7, 29, 2002, 8, 3, 15, 2.436, 1.584, 23.77, 0.3716, 0.1476, 0.0005568, 1.437, 0.5935, 8.902, 0.3668, 18.77, 17.92, 268.8, 0.369, 2.437, 1.597
12, 2003, 2, 3, 2003, 2, 6, 2003, 2, 10, 8, 4.804, 3.9, 31.2, 0.4936, 0.5457, 0.0009372, 1.75, 0.837, 6.696, 0.503, 24.08, 23.16, 185.3, 0.4965, 1.573, 1.274
13, 2003, 2, 18, 2003, 2, 25, 2003, 2, 25, 8, 4.814, 4.363, 34.9, 0.2636, 0.1969, 0.0005377, 1.88, 1.284, 10.28, 0.3245, 23.57, 23.23, 185.8, 0.2064, 1.641, 1.42
14, 2003, 3, 3, 2003, 3, 7, 2003, 3, 8, 6, 4.809, 4.233, 25.4, 0.4884, 0.4028, 0.000935, 2.271, 1.65, 9.898, 0.5385, 23.28, 22.74, 136.5, 0.4419, 1.895, 1.643
15, 2003, 3, 27, 2003, 4, 5, 2003, 4, 5, 10, 3.645, 3.079, 30.79, 0.3603, 0.1637, 0.0007043, 1.482, 0.9323, 9.323, 0.3415, 21.25, 20.85, 208.5, 0.2753, 1.685, 1.433
16, 2003, 4, 11, 2003, 4, 14, 2003, 4, 17, 7, 3.089, 2.755, 19.28, 0.2519, 0.3058, 0.0005708, 1.077, 0.7408, 5.185, 0.2675, 20.29, 19.96, 139.7, 0.2253, 1.535, 1.369
17, 2003, 5, 6, 2003, 5, 7, 2003, 5, 10, 5, 2.559, 2.235, 11.17, 0.2193, 0.6035, 0.0002037, 0.8817, 0.5483, 2.742, 0.2171, 19.31, 18.98, 94.91, 0.2169, 1.526, 1.325
