# Marine heatwave statistics for individual detected events at Humewood
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1976, 6, 12, 1976, 6, 16, 1976, 6, 18, 7, 2.934, 2.471, 17.3, 0.4836, 0.4774, 0.001889, 1.676, 1.215, 8.505, 0.4802, 19.0, 18.57, 130.0, 0.4949, 2.332, 1.966
2, 1977, 2, 16, 1977, 2, 19, 1977, 2, 20, 5, 3.55, 2.904, 14.52, 0.5126, 0.474, 0.001128, 1.361, 0.729, 3.645, 0.505, 24.0, 23.4, 117.0, 0.4899, 1.622, 1.334
3, 1977, 7, 3, 1977, 7, 5, 1977, 7, 9, 7, 3.28, 1.997, 13.98, 0.6962, 0.6105, 0.001402, 2.0, 0.7143, 5.0, 0.6999, 19.0, 17.71, 124.0, 0.6999, 2.563, 1.558
4, 1977, 10, 31, 1977, 11, 4, 1977, 11, 4, 5, 2.93, 2.212, 11.06, 0.3612, 0.2926, 0.0009953, 1.223, 0.5439, 2.719, 0.3443, 21.0, 20.2, 101.0, 0.4, 1.716, 1.324
5, 1978, 3, 14, 1978, 3, 22, 1978, 3, 26, 13, 5.023, 3.142, 40.85, 0.637, 0.4076, 0.001665, 2.516, 0.6824, 8.871, 0.6048, 24.0, 22.23, 289.0, 0.5756, 2.004, 1.275
6, 1978, 4, 7, 1978, 4, 15, 1978, 4, 16, 10, 3.924, 3.442, 34.42, 0.5182, 0.2592, 0.0008676, 1.606, 1.047, 10.47, 0.5322, 22.0, 21.6, 216.0, 0.4899, 1.693, 1.439
7, 1978, 5, 28, 1978, 5, 30, 1978, 6, 12, 16, 3.298, 2.073, 33.17, 0.5691, 0.4324, 0.00113, 1.766, 0.6778, 10.85, 0.4984, 20.0, 18.56, 297.0, 0.7043, 2.152, 1.473
8, 1978, 11, 6, 1978, 11, 9, 1978, 11, 11, 6, 4.724, 3.244, 19.47, 1.069, 0.9595, 0.001629, 2.924, 1.456, 8.739, 1.052, 23.0, 21.5, 129.0, 1.118, 2.625, 1.809
9, 1979, 4, 4, 1979, 4, 12, 1979, 4, 12, 9, 2.856, 2.754, 24.78, 0.07027, 0.08733, 0.0002386, 0.4435, 0.3038, 2.734, 0.09972, 21.0, 21.0, 189.0, 0.0, 1.184, 1.124
10, 1979, 12, 18, 1979, 12, 22, 1979, 12, 24, 7, 3.785, 2.832, 19.82, 0.4914, 0.5094, 0.0006941, 2.043, 1.079, 7.55, 0.5025, 24.0, 23.0, 161.0, 0.5345, 2.173, 1.617
11, 1980, 3, 9, 1980, 3, 13, 1980, 3, 13, 5, 2.531, 2.427, 12.14, 0.07249, 0.1628, 0.0004071, 0.2258, 0.1506, 0.7532, 0.05883, 22.0, 22.0, 110.0, 0.0, 1.098, 1.066
12, 1983, 2, 22, 1983, 2, 26, 1983, 2, 26, 5, 2.819, 2.748, 13.74, 0.0508, 0.1475, 0.0001394, 0.5871, 0.5226, 2.613, 0.04562, 23.0, 23.0, 115.0, 0.0, 1.263, 1.235
13, 1983, 4, 9, 1983, 4, 11, 1983, 4, 15, 7, 3.832, 2.997, 20.98, 0.3438, 0.6242, 0.000397, 1.411, 0.6009, 4.206, 0.341, 22.0, 21.14, 148.0, 0.3499, 1.583, 1.251
14, 1983, 11, 22, 1983, 11, 29, 1983, 12, 2, 11, 3.924, 2.922, 32.15, 0.5856, 0.2897, 0.0004456, 1.935, 0.9642, 10.61, 0.5738, 23.0, 21.91, 241.0, 0.668, 1.973, 1.491
15, 1983, 12, 11, 1983, 12, 17, 1983, 12, 18, 8, 4.018, 2.898, 23.18, 0.5788, 0.3329, 0.0005513, 2.205, 1.048, 8.381, 0.5986, 24.0, 22.75, 182.0, 0.6614, 2.216, 1.57
16, 1985, 8, 30, 1985, 8, 30, 1985, 9, 11, 13, 2.969, 2.032, 26.41, 0.4203, 1.97, 0.0005346, 1.805, 0.8421, 10.95, 0.4209, 19.0, 18.23, 237.0, 0.4213, 2.55, 1.708
17, 1986, 4, 24, 1986, 4, 28, 1986, 4, 30, 7, 3.298, 2.551, 17.86, 0.467, 0.3656, 0.0003082, 1.445, 0.6618, 4.632, 0.4901, 21.0, 20.29, 142.0, 0.4518, 1.78, 1.354
18, 1987, 9, 12, 1987, 9, 14, 1987, 9, 17, 6, 2.536, 1.685, 10.11, 0.385, 0.5677, 0.0003157, 1.321, 0.4715, 2.829, 0.3838, 19.0, 18.17, 109.0, 0.3727, 2.087, 1.388
19, 1988, 5, 19, 1988, 5, 19, 1988, 5, 24, 6, 2.947, 2.193, 13.16, 0.3398, 3.031, 0.000339, 1.284, 0.5319, 3.192, 0.3389, 20.0, 19.17, 115.0, 0.3727, 1.771, 1.32
20, 1988, 7, 23, 1988, 7, 26, 1988, 8, 28, 37, 3.329, 1.899, 70.27, 0.5681, 0.5728, 0.0004227, 2.0, 0.6393, 23.65, 0.5746, 19.0, 17.65, 653.0, 0.5797, 2.505, 1.513
21, 1988, 10, 21, 1988, 10, 21, 1988, 10, 25, 5, 3.462, 2.792, 13.96, 0.4927, 1.968, 0.0002991, 1.868, 1.187, 5.937, 0.497, 21.0, 20.4, 102.0, 0.4899, 2.171, 1.741
22, 1988, 11, 10, 1988, 11, 13, 1988, 11, 19, 10, 3.071, 2.566, 25.66, 0.1985, 0.2475, 0.0002235, 1.24, 0.7024, 7.024, 0.2309, 21.5, 21.05, 210.5, 0.15, 1.678, 1.379
23, 1989, 4, 7, 1989, 4, 11, 1989, 4, 11, 5, 2.832, 2.784, 13.92, 0.0342, 0.247, 0.0001732, 0.4113, 0.3468, 1.734, 0.04562, 21.0, 21.0, 105.0, 0.0, 1.17, 1.142
24, 1990, 1, 14, 1990, 1, 16, 1990, 1, 20, 7, 3.061, 2.325, 16.28, 0.4596, 0.5741, 0.0003492, 1.383, 0.636, 4.452, 0.4663, 24.0, 23.29, 163.0, 0.4518, 1.824, 1.378
25, 1991, 3, 13, 1991, 3, 19, 1991, 3, 19, 7, 2.86, 2.668, 18.68, 0.1302, 0.1317, 7.381e-05, 0.4194, 0.294, 2.058, 0.09519, 22.0, 21.97, 153.8, 0.06999, 1.172, 1.123
26, 1992, 2, 3, 1992, 2, 11, 1992, 2, 23, 21, 4.211, 2.964, 62.25, 0.4775, 0.171, 0.0003675, 2.103, 0.8382, 17.6, 0.4973, 25.0, 23.65, 496.6, 0.5828, 1.998, 1.397
27, 1992, 5, 9, 1992, 5, 13, 1992, 5, 14, 6, 2.758, 2.542, 15.25, 0.3389, 0.1444, 0.0002126, 1.059, 0.8068, 4.841, 0.3139, 20.0, 19.83, 119.0, 0.3727, 1.623, 1.463
28, 1992, 7, 19, 1992, 7, 25, 1992, 7, 25, 7, 2.829, 2.252, 15.76, 0.4199, 0.2329, 0.0001086, 1.5, 0.9286, 6.5, 0.4165, 18.5, 17.93, 125.5, 0.4165, 2.129, 1.701
29, 1992, 8, 3, 1992, 8, 7, 1992, 8, 7, 5, 2.3, 1.609, 8.047, 0.3974, 0.2735, 0.000145, 1.0, 0.3, 1.5, 0.4, 18.0, 17.3, 86.5, 0.4, 1.769, 1.23
30, 1992, 12, 8, 1992, 12, 8, 1992, 12, 14, 7, 3.883, 2.743, 19.2, 0.6294, 2.35, 0.0003171, 1.993, 0.8642, 6.049, 0.6256, 23.4, 22.41, 156.9, 0.5357, 2.055, 1.459
31, 1993, 1, 3, 1993, 1, 3, 1993, 1, 8, 6, 3.409, 3.179, 19.08, 0.3689, 1.977, 0.0001616, 1.802, 1.555, 9.328, 0.3695, 24.0, 23.83, 143.0, 0.3727, 2.121, 1.957
32, 1993, 3, 8, 1993, 3, 13, 1993, 3, 19, 12, 3.531, 2.896, 34.75, 0.3968, 0.1426, 0.0002302, 1.226, 0.566, 6.792, 0.4154, 23.0, 22.33, 268.0, 0.4714, 1.532, 1.245
33, 1995, 9, 12, 1995, 9, 14, 1995, 9, 17, 6, 2.136, 1.785, 10.71, 0.224, 0.5077, 0.0001392, 0.921, 0.5715, 3.429, 0.2233, 18.6, 18.27, 109.6, 0.2285, 1.758, 1.471
34, 1995, 11, 12, 1995, 11, 15, 1995, 11, 17, 6, 3.998, 3.183, 19.1, 0.5914, 0.5917, 0.000264, 2.116, 1.315, 7.889, 0.5747, 22.5, 21.67, 130.0, 0.6182, 2.124, 1.701
35, 1998, 7, 15, 1998, 7, 16, 1998, 7, 19, 5, 2.609, 1.931, 9.657, 0.3474, 0.7352, 0.000131, 1.3, 0.62, 3.1, 0.3487, 18.3, 17.62, 88.1, 0.3487, 1.993, 1.473
36, 1998, 7, 24, 1998, 7, 26, 1998, 7, 28, 5, 1.829, 1.529, 7.643, 0.2448, 0.2011, 8.25e-05, 0.5, 0.2, 1.0, 0.2449, 17.5, 17.2, 86.0, 0.2449, 1.376, 1.151
37, 1999, 12, 11, 1999, 12, 17, 1999, 12, 21, 11, 5.018, 3.164, 34.81, 0.8745, 0.5124, 0.0003861, 3.205, 1.337, 14.7, 0.8778, 25.0, 23.09, 254.0, 0.9111, 2.767, 1.733
