# Marine heatwave statistics for individual detected events at Kommetjie
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 4, 5, 1992, 4, 8, 1992, 4, 9, 5, 3.41, 2.636, 13.18, 0.3885, 0.4041, 0.06963, 1.336, 0.5837, 2.919, 0.3815, 16.0, 15.2, 76.0, 0.4, 1.645, 1.284
2, 1995, 1, 19, 1995, 1, 19, 1995, 1, 24, 6, 5.132, 3.937, 23.62, 0.7038, 4.996, 0.002426, 2.716, 1.494, 8.965, 0.7196, 18.0, 16.83, 101.0, 0.6872, 2.124, 1.613
3, 1995, 2, 7, 1995, 2, 11, 1995, 2, 11, 5, 5.016, 3.825, 19.12, 0.7431, 0.5519, 0.002331, 2.766, 1.558, 7.791, 0.7559, 18.0, 16.8, 84.0, 0.7483, 2.23, 1.689
4, 1995, 2, 17, 1995, 2, 17, 1995, 3, 8, 20, 5.009, 3.075, 61.5, 0.8344, 3.007, 0.002845, 2.812, 1.071, 21.42, 0.7866, 18.0, 15.9, 318.0, 0.8888, 2.279, 1.529
5, 1995, 3, 26, 1995, 3, 27, 1995, 3, 30, 5, 3.565, 2.763, 13.81, 0.4009, 0.9983, 0.001342, 1.674, 0.8663, 4.331, 0.4039, 16.0, 15.2, 76.0, 0.4, 1.885, 1.457
6, 1997, 12, 4, 1997, 12, 7, 1997, 12, 10, 7, 4.549, 3.969, 27.78, 0.4957, 0.715, 0.001447, 2.161, 1.583, 11.08, 0.4703, 17.5, 16.93, 118.5, 0.4949, 1.905, 1.663
7, 1998, 5, 10, 1998, 5, 10, 1998, 5, 14, 5, 2.477, 2.409, 12.05, 0.04762, 0.4662, 0.0002881, 0.4066, 0.3672, 1.836, 0.02648, 16.0, 16.0, 80.0, 0.0, 1.196, 1.18
8, 1999, 2, 25, 1999, 2, 26, 1999, 3, 2, 6, 2.655, 2.274, 13.65, 0.1746, 0.6877, 0.0003486, 0.6735, 0.316, 1.896, 0.1718, 15.5, 15.08, 90.5, 0.1863, 1.34, 1.161
9, 1999, 12, 18, 1999, 12, 19, 1999, 12, 28, 11, 6.407, 5.246, 57.71, 1.094, 2.664, 0.001215, 3.554, 2.399, 26.39, 1.089, 19.5, 18.32, 201.5, 1.093, 2.246, 1.842
10, 2000, 1, 31, 2000, 2, 4, 2000, 2, 4, 5, 5.03, 3.622, 18.11, 0.8034, 0.78, 0.0005179, 2.698, 1.236, 6.181, 0.8308, 18.0, 16.6, 83.0, 0.8, 2.157, 1.522
11, 2001, 10, 16, 2001, 10, 20, 2001, 10, 28, 13, 3.056, 2.581, 33.55, 0.4163, 0.2893, 0.0002233, 1.088, 0.5929, 7.708, 0.4021, 16.0, 15.54, 202.0, 0.4142, 1.553, 1.297
12, 2001, 11, 3, 2001, 11, 5, 2001, 11, 7, 5, 6.955, 5.555, 27.77, 1.015, 1.592, 0.001127, 4.893, 3.487, 17.44, 1.02, 20.0, 18.6, 93.0, 1.02, 3.372, 2.688
13, 2002, 11, 18, 2002, 11, 20, 2002, 11, 22, 5, 4.344, 3.307, 16.53, 0.7702, 1.029, 0.0007224, 2.214, 1.178, 5.889, 0.7567, 17.5, 16.46, 82.3, 0.7658, 2.039, 1.551
14, 2003, 1, 16, 2003, 1, 22, 2003, 1, 22, 7, 3.6, 3.212, 22.48, 0.2805, 0.3024, 0.0004424, 1.142, 0.77, 5.39, 0.2862, 16.5, 16.09, 112.6, 0.29, 1.465, 1.316
15, 2003, 3, 14, 2003, 3, 18, 2003, 3, 18, 5, 6.543, 4.571, 22.86, 1.463, 0.9836, 0.000979, 4.703, 2.757, 13.79, 1.446, 19.0, 17.06, 85.3, 1.44, 3.556, 2.513
16, 2003, 10, 1, 2003, 10, 5, 2003, 10, 8, 8, 2.535, 2.292, 18.34, 0.2116, 0.1866, 9.704e-05, 0.7358, 0.5016, 4.013, 0.1812, 15.8, 15.56, 124.5, 0.1798, 1.409, 1.279
17, 2003, 11, 24, 2003, 11, 27, 2003, 11, 30, 7, 3.742, 2.906, 20.34, 0.4566, 0.747, 0.0004341, 1.578, 0.7392, 5.175, 0.4581, 16.8, 15.96, 111.8, 0.4604, 1.729, 1.341
18, 2003, 12, 14, 2003, 12, 29, 2003, 12, 30, 17, 4.934, 3.886, 66.06, 0.5917, 0.1444, 0.0006987, 2.098, 1.061, 18.04, 0.5985, 18.0, 16.96, 288.3, 0.5951, 1.74, 1.377
19, 2004, 2, 28, 2004, 3, 3, 2004, 3, 4, 6, 4.275, 3.493, 20.96, 0.6757, 0.3533, 0.0006782, 2.367, 1.569, 9.412, 0.6717, 17.0, 16.25, 97.5, 0.6825, 2.241, 1.814
20, 2004, 4, 18, 2004, 4, 19, 2004, 4, 27, 10, 4.644, 3.759, 37.59, 0.8303, 2.147, 0.0009741, 2.522, 1.649, 16.49, 0.8345, 17.5, 16.7, 167.0, 0.8258, 2.189, 1.782
21, 2004, 6, 24, 2004, 6, 28, 2004, 6, 29, 6, 2.397, 1.895, 11.37, 0.2756, 0.19, 0.0002297, 1.045, 0.5133, 3.08, 0.2822, 16.4, 15.92, 95.5, 0.2734, 1.773, 1.373
22, 2005, 4, 21, 2005, 4, 23, 2005, 4, 26, 6, 4.053, 3.232, 19.39, 0.5354, 0.7359, 0.0003853, 1.948, 1.128, 6.77, 0.5368, 17.0, 16.19, 97.17, 0.5187, 1.925, 1.536
23, 2005, 5, 22, 2005, 5, 23, 2005, 6, 26, 36, 3.056, 2.228, 80.22, 0.3955, 0.8074, 0.0003551, 1.127, 0.5054, 18.19, 0.3544, 17.0, 16.32, 587.4, 0.3826, 1.585, 1.297
24, 2006, 3, 11, 2006, 3, 12, 2006, 3, 16, 6, 6.536, 5.424, 32.54, 1.173, 3.569, 0.0008415, 4.736, 3.623, 21.74, 1.174, 19.1, 17.96, 107.8, 1.156, 3.632, 3.013
25, 2007, 4, 14, 2007, 4, 16, 2007, 4, 18, 5, 5.605, 3.946, 19.73, 1.098, 1.277, 0.000652, 3.443, 1.789, 8.945, 1.089, 18.4, 16.74, 83.7, 1.084, 2.593, 1.827
26, 2007, 4, 30, 2007, 5, 1, 2007, 5, 5, 6, 4.792, 3.821, 22.92, 0.8655, 1.662, 0.0004716, 2.643, 1.682, 10.09, 0.8602, 18.0, 17.08, 102.5, 0.8355, 2.23, 1.785
27, 2007, 7, 24, 2007, 8, 1, 2007, 8, 10, 18, 2.588, 2.027, 36.49, 0.3154, 0.1248, 0.0002087, 1.257, 0.6984, 12.57, 0.3159, 16.3, 15.74, 283.4, 0.3113, 1.945, 1.526
28, 2007, 9, 5, 2007, 9, 7, 2007, 9, 17, 13, 2.27, 1.939, 25.2, 0.2528, 0.3675, 0.0001119, 0.9461, 0.5544, 7.208, 0.2525, 16.0, 15.63, 203.2, 0.2511, 1.715, 1.402
29, 2008, 5, 14, 2008, 5, 26, 2008, 6, 6, 24, 3.988, 2.553, 61.26, 0.499, 0.2183, 0.0004459, 2.067, 0.6382, 15.32, 0.4883, 18.0, 16.52, 396.5, 0.5299, 2.076, 1.333
30, 2008, 11, 3, 2008, 11, 6, 2008, 11, 7, 5, 3.147, 2.695, 13.47, 0.2482, 0.2204, 0.0001503, 1.083, 0.6273, 3.137, 0.2483, 16.2, 15.74, 78.7, 0.2498, 1.525, 1.303
31, 2009, 1, 7, 2009, 1, 13, 2009, 1, 16, 10, 6.098, 4.252, 42.52, 0.7257, 0.4488, 0.0005618, 3.507, 1.611, 16.11, 0.7193, 19.0, 17.2, 172.0, 0.7308, 2.354, 1.611
32, 2009, 6, 5, 2009, 6, 5, 2009, 6, 11, 7, 3.048, 2.448, 17.13, 0.454, 1.894, 0.0002283, 1.251, 0.6936, 4.855, 0.4243, 17.2, 16.6, 116.2, 0.4567, 1.696, 1.391
33, 2009, 8, 9, 2009, 8, 10, 2009, 8, 20, 12, 2.065, 1.732, 20.78, 0.1653, 0.429, 0.0001158, 0.7116, 0.3949, 4.739, 0.1624, 15.8, 15.48, 185.8, 0.1624, 1.526, 1.295
34, 2010, 2, 16, 2010, 2, 19, 2010, 2, 20, 5, 4.031, 3.061, 15.31, 0.5327, 0.5229, 0.0004544, 1.844, 0.8684, 4.342, 0.5337, 17.0, 16.04, 80.2, 0.5314, 1.843, 1.396
35, 2010, 3, 26, 2010, 3, 30, 2010, 3, 30, 5, 4.959, 3.183, 15.91, 1.137, 0.7426, 0.0002806, 3.05, 1.286, 6.431, 1.129, 17.4, 15.62, 78.1, 1.139, 2.597, 1.676
